Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
SRR11647692_1 - polya	(1, 0.17286586830981845)	(2, 0.18496277496215208)	(3, 0.18823800512748978)	(4, 0.19481283473022876)	(5, 0.19827327136324924)	(6, 0.20150463683887263)	(7, 0.20472625460567057)	(8, 0.2110915084686632)	(9, 0.21817809278473618)	(10, 0.22724346199236733)	(12, 0.23420332609370997)	(14, 0.2412265503024178)	(16, 0.248045072625792)	(18, 0.25407159360710163)	(20, 0.26170648654460393)	(22, 0.26862492288343853)	(24, 0.27515101394205044)	(26, 0.2810946793983441)	(28, 0.285919795266922)	(30, 0.2904987814876583)	(32, 0.2952312941223948)	(34, 0.2996591908563372)	(36, 0.30328046468497694)	(38, 0.3069626616937755)	(40, 0.31092510533130463)	(42, 0.31495090907619894)	(44, 0.31909855918141083)	(46, 0.32429408798535425)	(48, 0.32890962811418584)	(50, 0.3333862633922553)	(52, 0.3380944067549283)	(54, 0.34287322100658546)	(56, 0.34726943768684526)	(58, 0.3518874147428832)	(60, 0.3581771238624789)	(62, 0.3643693558938206)	(64, 0.36876069871966766)	(66, 0.3731861585264038)	(68, 0.3776238029691716)	(70, 0.3828242056275277)	(72, 0.387866208017471)	(74, 0.39216494760947673)	(76, 0.39644662871103803)	(78, 0.40067713434126595)	(80, 0.40495637851562083)	(82, 0.40921125341791226)	(84, 0.4137317533856961)	(86, 0.41914173178379854)	(88, 0.42394735223472557)	(90, 0.42983496836527313)	(92, 0.43515965431115333)	(94, 0.44094979335344675)	(96, 0.44687152646488326)	(98, 0.4524935175299384)	(100, 0.4585054169480099)	(102, 0.46442471313224004)	(104, 0.46933512145304024)	(106, 0.4734925192670776)	(108, 0.4784467922775921)	(110, 0.48301846771670937)	(112, 0.48748779221315974)	(114, 0.49049008653138604)
SRR11647692_2 - polya	(1, 0.5055649182298824)	(2, 0.5492054106412423)	(3, 0.5652745086399305)	(4, 0.5821672880343658)	(5, 0.594600490641176)	(6, 0.6045675229151576)	(7, 0.6123998069563744)	(8, 0.624199408489533)	(9, 0.6358186774094217)	(10, 0.6508009058740766)	(12, 0.6641820731641579)	(14, 0.6782748231984943)	(16, 0.6936372123073402)	(18, 0.7092213617919643)	(20, 0.7291383678494829)	(22, 0.7450783087062344)	(24, 0.7593952560435551)	(26, 0.7717480400525558)	(28, 0.782363294963427)	(30, 0.7925788938124566)	(32, 0.8020366083003105)	(34, 0.8113261748109262)	(36, 0.8194898809522069)	(38, 0.8278729105420594)	(40, 0.8368334918798174)	(42, 0.8455942451866545)	(44, 0.8563679003659388)	(46, 0.869437140973607)	(48, 0.8811514500545432)	(50, 0.8934579324466232)	(52, 0.9074142145574038)	(54, 0.9216288109520578)	(56, 0.9338621855279471)	(58, 0.9456715347699312)	(60, 0.9585775012547738)	(62, 0.9714298553410767)	(64, 0.9835925590279819)	(66, 0.9971857389850158)	(68, 1.0141175092147527)	(70, 1.0324383279521108)	(72, 1.046967287956384)	(74, 1.05912268086167)	(76, 1.071926296403846)	(78, 1.084386305209926)	(80, 1.0956546566121)	(82, 1.1072958578768457)	(84, 1.1209548348684513)	(86, 1.1391050687013644)	(88, 1.1570676591393885)	(90, 1.1791803366098308)	(92, 1.1998820332277949)	(94, 1.2231571249756672)	(96, 1.2440805819694096)	(98, 1.2631007988149907)	(100, 1.2847139062081305)	(102, 1.304255625475871)	(104, 1.3194717989523357)	(106, 1.3318733215054634)	(108, 1.3452715472859893)	(110, 1.3588988442239123)	(112, 1.3746292093409176)	(114, 1.3840723022655332)
SRR11647693_1 - polya	(1, 0.1988887224373128)	(2, 0.21022698944168763)	(3, 0.21327291816707128)	(4, 0.21934161266175198)	(5, 0.22212695813116173)	(6, 0.22472699995187895)	(7, 0.22732704177259616)	(8, 0.23344206217945002)	(9, 0.24011878427140312)	(10, 0.24815053929442046)	(12, 0.25407736068307096)	(14, 0.26030240513133596)	(16, 0.2666606365770988)	(18, 0.27271195885471455)	(20, 0.27942342538079756)	(22, 0.2858424595862876)	(24, 0.2935412471155605)	(26, 0.30171197987509724)	(28, 0.30671517838979584)	(30, 0.3117531213386243)	(32, 0.31679395965696355)	(34, 0.3206071613027147)	(36, 0.3241568843229813)	(38, 0.3276950258652045)	(40, 0.3314879599243799)	(42, 0.3349450311203001)	(44, 0.338633731877086)	(46, 0.34343135915651635)	(48, 0.34779178563981267)	(50, 0.3517845001952348)	(52, 0.35580327307625426)	(54, 0.3602795143399834)	(56, 0.36426933352589475)	(58, 0.36817229162648135)	(60, 0.3739253908444826)	(62, 0.3795221401088995)	(64, 0.38344826116557273)	(66, 0.3872904165064321)	(68, 0.3911586301728889)	(70, 0.3957304186304752)	(72, 0.39978104057611363)	(74, 0.40371584774131936)	(76, 0.4076477595370142)	(78, 0.4116810092655878)	(80, 0.41522204617732184)	(82, 0.4188702117609562)	(84, 0.4227673791225212)	(86, 0.427541843445865)	(88, 0.4320065032315509)	(90, 0.4368591425316868)	(92, 0.44180732902567976)	(94, 0.4466831312819023)	(96, 0.45157341038567883)	(98, 0.4563015487968495)	(100, 0.4610731177506824)	(102, 0.4661660727202165)	(104, 0.470523603834002)	(106, 0.4743570730663289)	(108, 0.47896650132755586)	(110, 0.48362804623997757)	(112, 0.4874296664076855)	(114, 0.490122360052749)
SRR11647693_2 - polya	(1, 0.7077904491372464)	(2, 0.746252537718992)	(3, 0.7609957592680923)	(4, 0.7764801954119628)	(5, 0.7876331587676451)	(6, 0.796446663558584)	(7, 0.8031812930407536)	(8, 0.8140620916624187)	(9, 0.8246533533330017)	(10, 0.838151565992449)	(12, 0.8498054282735032)	(14, 0.8623858087980203)	(16, 0.8757450437209482)	(18, 0.8885628445453526)	(20, 0.9041891537952533)	(22, 0.9185154421347954)	(24, 0.9327809277146102)	(26, 0.946901644818884)	(28, 0.9574755342724021)	(30, 0.9683013208733615)	(32, 0.9781803216442827)	(34, 0.9868924885023429)	(36, 0.994295948341512)	(38, 1.0016965128111706)	(40, 1.009951211286521)	(42, 1.0181566884801874)	(44, 1.027557953281823)	(46, 1.0394000145810809)	(48, 1.0496612041274305)	(50, 1.0602032445163294)	(52, 1.072404331634929)	(54, 1.0850860500923245)	(56, 1.0954485775715528)	(58, 1.1055563125338288)	(60, 1.116581879631035)	(62, 1.128012798459756)	(64, 1.1378657409050796)	(66, 1.1488218191340263)	(68, 1.1615180144389763)	(70, 1.175632940804228)	(72, 1.1879643195508147)	(74, 1.1989696190614452)	(76, 1.210452654541361)	(78, 1.2217619678506275)	(80, 1.231507781624051)	(82, 1.2421366830982747)	(84, 1.254598353472848)	(86, 1.269848264686342)	(88, 1.2847015102768535)	(90, 1.3029799779986662)	(92, 1.321484284542323)	(94, 1.3403302446882566)	(96, 1.3583104893504545)	(98, 1.3736125172151432)	(100, 1.3907154649155626)	(102, 1.4065010194885583)	(104, 1.419527286917742)	(106, 1.4304515160820692)	(108, 1.4431071762138679)	(110, 1.4557136150639822)	(112, 1.4698574951243426)	(114, 1.4782656481837666)
SRR11647694_1 - polya	(1, 0.26950732911088593)	(2, 0.2834814899769469)	(3, 0.28724789675023565)	(4, 0.2941699416308745)	(5, 0.29742171925045563)	(6, 0.3011485391657669)	(7, 0.3045473536864074)	(8, 0.3116616775915084)	(9, 0.3197882940077486)	(10, 0.3299281849154164)	(12, 0.3375854143013519)	(14, 0.34552823459126797)	(16, 0.35297056389103976)	(18, 0.3596381218275375)	(20, 0.36741128415469276)	(22, 0.37461891993931223)	(24, 0.3813769621226156)	(26, 0.3875836159269467)	(28, 0.3929872220408767)	(30, 0.39845303607448573)	(32, 0.40416485415409786)	(34, 0.40909907323772315)	(36, 0.41339141969557025)	(38, 0.4175734884776229)	(40, 0.42194500865142504)	(42, 0.42606486951379874)	(44, 0.43042790678946286)	(46, 0.4359163418847733)	(48, 0.44065545431122377)	(50, 0.4454567746573531)	(52, 0.4503146476577361)	(54, 0.45536479968258126)	(56, 0.4601350160688712)	(58, 0.46488543902617235)	(60, 0.4722768709371159)	(62, 0.4793657461478028)	(64, 0.48383340583383605)	(66, 0.48838023923582435)	(68, 0.492870519983559)	(70, 0.49785846408872525)	(72, 0.5025466791263474)	(74, 0.5065421241493633)	(76, 0.5112925471066644)	(78, 0.5156273080552017)	(80, 0.5199026887167728)	(82, 0.5245569721618428)	(84, 0.5291942898106368)	(86, 0.5345215498413245)	(88, 0.5397470150943559)	(90, 0.5452439330878043)	(92, 0.550458087809985)	(94, 0.5557231399209936)	(96, 0.5611578499947631)	(98, 0.5665162139852904)	(100, 0.5725305887651593)	(102, 0.5784714450944983)	(104, 0.5835866326717352)	(106, 0.5879383594165485)	(108, 0.5925926428616186)	(110, 0.597393963207748)	(112, 0.6019577624060124)	(114, 0.6050172610011313)
SRR11647694_2 - polya	(1, 1.0265720563382066)	(2, 1.0645245426077876)	(3, 1.079482719657861)	(4, 1.096912247698816)	(5, 1.1081831916915554)	(6, 1.117356032211487)	(7, 1.1245155982399908)	(8, 1.136521726738027)	(9, 1.148618339482869)	(10, 1.1641929404643063)	(12, 1.1776920590346371)	(14, 1.1914145605892696)	(16, 1.2057789347696803)	(18, 1.2203299327091277)	(20, 1.2382712622710776)	(22, 1.2526921891057419)	(24, 1.2663242064135687)	(26, 1.278027778211348)	(28, 1.2893835511854679)	(30, 1.3002501437002945)	(32, 1.3098669225561166)	(34, 1.3194780461465134)	(36, 1.3275113506832352)	(38, 1.3352929959085287)	(40, 1.343857895395234)	(42, 1.352513279128745)	(44, 1.3622714396202014)	(46, 1.374291706281801)	(48, 1.3854806489258729)	(50, 1.3970400114553057)	(52, 1.4113845922067276)	(54, 1.4254322715233183)	(56, 1.4370651525032807)	(58, 1.4482512675146397)	(60, 1.4601386354387436)	(62, 1.4718393796038103)	(64, 1.4825730733811406)	(66, 1.4945622360829007)	(68, 1.5088615747109198)	(70, 1.5250695654199973)	(72, 1.5383396457406011)	(74, 1.5495851410389265)	(76, 1.561367886552661)	(78, 1.5731958741897984)	(80, 1.5833668690573057)	(82, 1.5940949075692108)	(84, 1.6063866269712275)	(86, 1.6228830362169986)	(88, 1.638508534587264)	(90, 1.65796547528321)	(92, 1.6765345393073747)	(94, 1.6964495565027748)	(96, 1.714325850512333)	(98, 1.7299994186387142)	(100, 1.7474713611703594)	(102, 1.7648839234150384)	(104, 1.778665805256637)	(106, 1.7896907452033735)	(108, 1.801736460559387)	(110, 1.8136351390143415)	(112, 1.8264160388756518)	(114, 1.8342627196533368)
SRR11647702_1 - polya	(1, 0.1768426750178109)	(2, 0.1889890416167656)	(3, 0.19252434357394313)	(4, 0.1983038419145954)	(5, 0.20137922214380158)	(6, 0.2044490611473695)	(7, 0.20727508622285623)	(8, 0.21314878539935808)	(9, 0.21969851410372143)	(10, 0.22811286523534224)	(12, 0.23485653683704294)	(14, 0.24130098225428032)	(16, 0.246905931987329)	(18, 0.25213684898979855)	(20, 0.2579135767176317)	(22, 0.26294223898430663)	(24, 0.2687189667121398)	(26, 0.2741936976426906)	(28, 0.2785186242533129)	(30, 0.2830929060176547)	(32, 0.28796364335364066)	(34, 0.29191730784650294)	(36, 0.295308537937087)	(38, 0.29876903334814875)	(40, 0.3024317834950051)	(42, 0.3058867376804285)	(44, 0.3098404021732909)	(46, 0.3148829175040613)	(48, 0.3194156400761165)	(50, 0.3232612506690337)	(52, 0.3273174278362029)	(54, 0.33179750876469516)	(56, 0.3357456320319192)	(58, 0.3399070924862144)	(60, 0.34477505920938123)	(62, 0.34977878596068424)	(64, 0.354034447250829)	(66, 0.357927158261671)	(68, 0.36191129949554346)	(70, 0.36644956329323686)	(72, 0.3706692066167332)	(74, 0.37440676330970535)	(76, 0.37864303031011637)	(78, 0.3829624156951005)	(80, 0.38653373561892634)	(82, 0.390152155960677)	(84, 0.3940864261638056)	(86, 0.3984473707410763)	(88, 0.40263376671074347)	(90, 0.40742969750061353)	(92, 0.4120289147803272)	(94, 0.4168220749573783)	(96, 0.42170666535745976)	(98, 0.42617843444749465)	(100, 0.43059756189396653)	(102, 0.4351081195634689)	(104, 0.43917814979473363)	(106, 0.44321216205935)	(108, 0.44782800301597825)	(110, 0.4522609835265457)	(112, 0.4564944799141376)	(114, 0.45933435805371986)
SRR11647702_2 - polya	(1, 0.7905444969007648)	(2, 0.8327741774895577)	(3, 0.8487883195839825)	(4, 0.8660769435751955)	(5, 0.8778686717333049)	(6, 0.8864243241186999)	(7, 0.89304608875636)	(8, 0.9044887196992621)	(9, 0.9150447545400509)	(10, 0.9292053566584947)	(12, 0.941631555152179)	(14, 0.9544844280200053)	(16, 0.9671932290212384)	(18, 0.9794753556483292)	(20, 0.9941817684921366)	(22, 1.006873945816455)	(24, 1.0191948610230133)	(26, 1.02969548360742)	(28, 1.0391876031256724)	(30, 1.0496245016152397)	(32, 1.059590395925559)	(34, 1.0685560990081817)	(36, 1.0765991880220422)	(38, 1.0839413119926697)	(40, 1.0925994770523717)	(42, 1.1019364422527542)	(44, 1.1110101992353218)	(46, 1.1215052805940904)	(48, 1.1310694360456395)	(50, 1.141245896930211)	(52, 1.1527023809372086)	(54, 1.1638818036622958)	(56, 1.173687002429107)	(58, 1.1832373048165608)	(60, 1.1934774897959715)	(62, 1.2045904178134004)	(64, 1.2151658469439228)	(66, 1.2267553203662374)	(68, 1.2408992988077667)	(70, 1.2574121512096301)	(72, 1.269458775747097)	(74, 1.279366487188215)	(76, 1.2899613106084713)	(78, 1.3005228866748983)	(80, 1.3097988983932607)	(82, 1.3192771648474175)	(84, 1.3307585843697873)	(86, 1.3450355522266335)	(88, 1.3589883583836444)	(90, 1.3764404485311845)	(92, 1.3939063917428203)	(94, 1.4108514597444641)	(96, 1.4272728819232974)	(98, 1.4424586107848099)	(100, 1.4584727528792345)	(102, 1.4752848314655616)	(104, 1.4887943395715157)	(106, 1.500710745306485)	(108, 1.513632883494789)	(110, 1.527219968759678)	(112, 1.5417075031907763)	(114, 1.550335191509468)
SRR11647703_1 - polya	(1, 0.16519487120466073)	(2, 0.17693833561519348)	(3, 0.18043273234223006)	(4, 0.18695282876883185)	(5, 0.1902545389401302)	(6, 0.19333231608719223)	(7, 0.19638405451050583)	(8, 0.20301872132160062)	(9, 0.21013250064966615)	(10, 0.21912106808761717)	(12, 0.22581822783570815)	(14, 0.2324815372429262)	(16, 0.2389131020087834)	(18, 0.24494106655654024)	(20, 0.2517710237957481)	(22, 0.25739278425302975)	(24, 0.2628583123678209)	(26, 0.2678421240932666)	(28, 0.2720968515537567)	(30, 0.2766041546346064)	(32, 0.28132497525019307)	(34, 0.2856213646686807)	(36, 0.2894047912293246)	(38, 0.29345120889982745)	(40, 0.29819806823916256)	(42, 0.3022418820372906)	(44, 0.3070095723556244)	(46, 0.31396451546882465)	(48, 0.3191696563461317)	(50, 0.3234686496369942)	(52, 0.32781190875822885)	(54, 0.3325509564804394)	(56, 0.3371077331364111)	(58, 0.34154473166314014)	(60, 0.3465155240267116)	(62, 0.3515123551140314)	(64, 0.3560326775567553)	(66, 0.3608810879187092)	(68, 0.3652608012531917)	(70, 0.3702159703825141)	(72, 0.3751086465748402)	(74, 0.37928786173646)	(76, 0.38353217370745074)	(78, 0.38833371436665753)	(80, 0.3921978609709215)	(82, 0.39615053923593013)	(84, 0.4005875377626591)	(86, 0.405829132853214)	(88, 0.41057599219254903)	(90, 0.41601027383884215)	(92, 0.4209289887549168)	(94, 0.4261393373769735)	(96, 0.4311569994432921)	(98, 0.4357450225677619)	(100, 0.44063249101533836)	(102, 0.4455277710800394)	(104, 0.44979551790240374)	(106, 0.4536830993580413)	(108, 0.4582659147377614)	(110, 0.4630466244179694)	(112, 0.46723104732433884)	(114, 0.46986356229530307)
SRR11647703_2 - polya	(1, 0.6144618030149718)	(2, 0.6532907478686003)	(3, 0.6674558135877351)	(4, 0.6833342273295153)	(5, 0.6944631778595857)	(6, 0.7029778405253156)	(7, 0.7100135036821359)	(8, 0.721866330732412)	(9, 0.7338181049329321)	(10, 0.7495689289283451)	(12, 0.7631116691498929)	(14, 0.777682938959503)	(16, 0.7919131014880089)	(18, 0.8063463660617525)	(20, 0.8237975187179365)	(22, 0.8383297304419239)	(24, 0.8519870410479649)	(26, 0.8640429701434786)	(28, 0.8750365193100571)	(30, 0.8866185436333498)	(32, 0.8966668871278611)	(34, 0.9060408276772886)	(36, 0.9150033563914912)	(38, 0.9235023958229721)	(40, 0.9333320140379968)	(42, 0.943299637488888)	(44, 0.9542541285698439)	(46, 0.9686639582922139)	(48, 0.9809620475185877)	(50, 0.992744570014743)	(52, 1.0052171186902314)	(54, 1.0176427976629725)	(56, 1.0288550721090377)	(58, 1.0402678447279656)	(60, 1.0525216681239673)	(62, 1.0651113910563232)	(64, 1.0766126953359958)	(66, 1.0895331100599566)	(68, 1.1045626614075388)	(70, 1.121555532525751)	(72, 1.1358612073531273)	(74, 1.1475525943161633)	(76, 1.1600433700982755)	(78, 1.1725133149013889)	(80, 1.1839599378611898)	(82, 1.1950628496675115)	(84, 1.2089961707452854)	(86, 1.226801450044448)	(88, 1.2437969250350351)	(90, 1.2639639165781784)	(92, 1.2840658113119505)	(94, 1.3060424941556086)	(96, 1.3251809561106895)	(98, 1.3429445734518546)	(100, 1.3618669139998238)	(102, 1.3810366224234032)	(104, 1.3963734307112166)	(106, 1.4096193294820325)	(108, 1.4242713193352627)	(110, 1.4401236943532945)	(112, 1.4578222148850886)	(114, 1.4687714982212947)
