Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647692_1	(1, 0.022044443508664396)	(2, 0.000350917517714755)	(3, 5.848625295245916e-05)	(4, 3.899083530163944e-05)	(5, 1.462156323811479e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.436927206352465e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 2.436927206352465e-06)	(46, 1.949541765081972e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.924312647622958e-05)	(56, 0.0)	(58, 0.0)	(60, 9.74770882540986e-06)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 4.87385441270493e-06)	(70, 2.436927206352465e-06)	(72, 0.0)	(74, 1.462156323811479e-05)	(76, 9.74770882540986e-06)	(78, 6.336010736516409e-05)	(80, 0.00011940943311127077)	(82, 0.0010893064612395517)	(84, 0.000833429104572543)	(86, 0.0013256884002557409)	(88, 0.0014548455421924216)	(90, 0.0016034981017799218)	(92, 0.0)	(94, 0.0)	(96, 1.2184636031762325e-05)	(98, 0.0004167145522862715)	(100, 0.0)	(102, 5.117547133340177e-05)	(104, 0.000104787869873156)	(106, 0.00011697250590491832)	(108, 0.00034848059050840245)	(110, 0.00037041293536557463)	(112, 0.0003241113184448778)	(114, 0.0004288991883180338)	(116, 0.000277809701524181)	(118, 0.0)	(120, 0.0)	(122, 0.0012330851664143472)	(124, 1.2184636031762325e-05)
SRR11647692_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 1.462156323811479e-05)	(106, 9.74770882540986e-06)	(108, 8.28555250159838e-05)	(110, 0.000104787869873156)	(112, 0.00044595767876250104)	(114, 0.00020713881253995952)	(116, 0.00011940943311127077)	(118, 1.462156323811479e-05)	(120, 0.00012915714193668064)	(122, 0.00029974204638135316)	(124, 0.00013403099634938558)
SRR11647693_1	(1, 0.022352252623537745)	(2, 0.00033586286325523035)	(3, 7.527960728134473e-05)	(4, 6.948886825970283e-05)	(5, 4.632591217313522e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.7372217064925708e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 8.686108532462854e-06)	(46, 3.184906461903046e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 3.184906461903046e-05)	(56, 0.0)	(58, 0.0)	(60, 2.026758657574666e-05)	(62, 0.0)	(64, 0.0)	(66, 5.790739021641902e-06)	(68, 8.686108532462854e-06)	(70, 5.790739021641902e-06)	(72, 0.0)	(74, 2.316295608656761e-05)	(76, 1.1581478043283804e-05)	(78, 4.632591217313522e-05)	(80, 0.0001418731060302266)	(82, 0.0010452283934063635)	(84, 0.000833866419116434)	(86, 0.001302916279869428)	(88, 0.001424521799323908)	(90, 0.0015142782541593576)	(92, 0.0)	(94, 0.0)	(96, 1.4476847554104755e-05)	(98, 0.0004980035558612036)	(100, 0.0)	(102, 4.922128168395617e-05)	(104, 0.00015055921456268945)	(106, 0.0001129194109220171)	(108, 0.0003126999071686627)	(110, 0.0003329674937444094)	(112, 0.00034165360227687223)	(114, 0.0004314100571123217)	(116, 0.00025189714744142274)	(118, 0.0)	(120, 0.0)	(122, 0.0012160551945447995)	(124, 1.1581478043283804e-05)
SRR11647693_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 8.686108532462854e-06)	(106, 2.6058325597388562e-05)	(108, 9.265182434627044e-05)	(110, 0.00013029162798694282)	(112, 0.0005414340985235178)	(114, 0.00019398975722500372)	(116, 0.00016793143162761518)	(118, 3.7639803640672363e-05)	(120, 0.00013318699749776376)	(122, 0.00032428138521194654)	(124, 0.00012160551945447994)
SRR11647694_1	(1, 0.021789737683906404)	(2, 0.0003506264563722287)	(3, 7.351845052966084e-05)	(4, 6.22079196789438e-05)	(5, 2.8276327126792636e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 5.655265425358526e-06)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 2.2621061701434105e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.544869441411337e-05)	(56, 0.0)	(58, 0.0)	(60, 8.48289813803779e-06)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 2.827632712679263e-06)	(70, 0.0)	(72, 0.0)	(74, 1.9793428988754843e-05)	(76, 2.8276327126792636e-05)	(78, 4.8069756115547476e-05)	(80, 0.00012724347207056686)	(82, 0.0010151201438518556)	(84, 0.0007691160978487596)	(86, 0.0013572637020860465)	(88, 0.0013883676619255182)	(90, 0.001524094032134123)	(92, 0.0)	(94, 0.0)	(96, 8.48289813803779e-06)	(98, 0.0004213172741892103)	(100, 2.827632712679263e-06)	(102, 6.786318510430233e-05)	(104, 0.000107450043081812)	(106, 0.00011310530850717054)	(108, 0.000322350129245436)	(110, 0.0003704198853609835)	(112, 0.0003336606600961531)	(114, 0.0004411107031779651)	(116, 0.00029124616940596413)	(118, 0.0)	(120, 0.0)	(122, 0.0012385031281535173)	(124, 1.1310530850717053e-05)
SRR11647694_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 5.655265425358526e-06)	(106, 2.544869441411337e-05)	(108, 7.634608324234012e-05)	(110, 0.0001244158393578876)	(112, 0.00046655939759207847)	(114, 0.0001781408608987936)	(116, 0.00014703690105932169)	(118, 2.2621061701434105e-05)	(120, 0.0001244158393578876)	(122, 0.0003053843329693605)	(124, 0.00010179477765645348)
SRR11647702_1	(1, 0.022236938486133832)	(2, 0.0003103086357397195)	(3, 4.4329805105674215e-05)	(4, 7.757715893492988e-05)	(5, 1.6623676914627832e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.6623676914627832e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 1.6623676914627832e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 1.6623676914627832e-05)	(56, 0.0)	(58, 0.0)	(60, 1.1082451276418554e-05)	(62, 0.0)	(64, 0.0)	(66, 5.541225638209277e-06)	(68, 0.0)	(70, 5.541225638209277e-06)	(72, 5.541225638209277e-06)	(74, 2.2164902552837108e-05)	(76, 5.541225638209277e-06)	(78, 2.7706128191046386e-05)	(80, 0.00011636573840239484)	(82, 0.0010168149046114025)	(84, 0.0007840834278066128)	(86, 0.0012550876070544013)	(88, 0.0013853064095523196)	(90, 0.0014573423428490399)	(92, 0.0)	(94, 0.0)	(96, 2.7706128191046384e-06)	(98, 0.00037957395621733553)	(100, 0.0)	(102, 6.095348202030205e-05)	(104, 0.00013298941531702266)	(106, 0.00011082451276418554)	(108, 0.0003213910870161381)	(110, 0.0003435559895689752)	(112, 0.00033247353829255665)	(114, 0.00043221559978032367)	(116, 0.0003130792485588242)	(118, 0.0)	(120, 0.0)	(122, 0.0014240949890197844)	(124, 1.3853064095523193e-05)
SRR11647702_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 5.541225638209277e-06)	(106, 2.493551537194175e-05)	(108, 7.757715893492988e-05)	(110, 0.00013021880249791803)	(112, 0.0004793160177051025)	(114, 0.0002271902511665804)	(116, 0.00013021880249791803)	(118, 2.7706128191046386e-05)	(120, 0.00013021880249791803)	(122, 0.0003546384408453937)	(124, 0.00011082451276418554)
SRR11647703_1	(1, 0.021247598578702304)	(2, 0.0004634892827216924)	(3, 6.249293699618325e-05)	(4, 7.290842649554712e-05)	(5, 4.16619579974555e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 7.811617124522906e-06)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 2.6038723748409687e-06)	(46, 1.5623234249045812e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.3434851373568717e-05)	(56, 0.0)	(58, 0.0)	(60, 1.3019361874204842e-05)	(62, 0.0)	(64, 0.0)	(66, 7.811617124522906e-06)	(68, 2.6038723748409687e-06)	(70, 5.2077447496819375e-06)	(72, 2.6038723748409687e-06)	(74, 1.0415489499363875e-05)	(76, 1.3019361874204842e-05)	(78, 4.6869702747137434e-05)	(80, 0.00013800523586657133)	(82, 0.0009504134168169536)	(84, 0.0008045965638258592)	(86, 0.0012186122714255732)	(88, 0.0014503569127864195)	(90, 0.0016039853829020365)	(92, 0.0)	(94, 0.0)	(96, 7.811617124522906e-06)	(98, 0.00045828153797201047)	(100, 0.0)	(102, 7.030455412070614e-05)	(104, 0.00014321298061625328)	(106, 0.00010415489499363874)	(108, 0.0003697498772274175)	(110, 0.00032548404685512104)	(112, 0.00032288017448028005)	(114, 0.0003905808562261453)	(116, 0.0002317446413608462)	(118, 0.0)	(120, 0.0)	(122, 0.0011118535040570937)	(124, 1.822710662388678e-05)
SRR11647703_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 1.3019361874204842e-05)	(106, 2.3434851373568717e-05)	(108, 9.634327786911584e-05)	(110, 0.00012758974636720746)	(112, 0.0005363977092172395)	(114, 0.00023434851373568718)	(116, 0.0001588362148652991)	(118, 3.1246468498091625e-05)	(120, 0.00015102459774077616)	(122, 0.0003176724297305982)	(124, 0.00014321298061625328)
