Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647692_1	(1, 32.55285704858287)	(2, 32.719382324733026)	(3, 32.78761341093679)	(4, 32.73357074852949)	(5, 32.76466311284698)	(6, 36.210104991596985)	(7, 36.691504462354885)	(8, 36.876998731140745)	(9, 36.98089005549468)	(10, 37.01142558194553)	(12, 37.023257545871985)	(14, 37.0308709694808)	(16, 37.022253946140594)	(18, 37.01022529781931)	(20, 36.981609850683625)	(22, 36.96323183726473)	(24, 36.9613281341004)	(26, 36.92351791692242)	(28, 36.92889855471696)	(30, 36.89157192137381)	(32, 36.88427909990827)	(34, 36.871280359604675)	(36, 36.833539278051546)	(38, 36.72017530084597)	(40, 36.61577919139051)	(42, 36.548864752587065)	(44, 36.4780842506171)	(46, 36.39935658785741)	(48, 36.356740993921235)	(50, 36.32818288768271)	(52, 36.27508000188325)	(54, 36.20085058994596)	(56, 36.13564792192007)	(58, 36.10008667175302)	(60, 36.03053472226487)	(62, 35.95544575736335)	(64, 35.896269074194784)	(66, 35.808095053028026)	(68, 35.75585934777496)	(70, 35.6844625469145)	(72, 35.67057432818059)	(74, 35.62455870903684)	(76, 35.54988799395174)	(78, 35.503228806702054)	(80, 35.40665301597522)	(82, 35.33016808169282)	(84, 35.26127641763123)	(86, 35.14687932950579)	(88, 35.070715265428646)	(90, 34.88640090805757)	(92, 34.732259072460664)	(94, 34.642636395546816)	(96, 34.561680967042896)	(98, 34.39544154245405)	(100, 34.24168369347706)	(102, 34.10834424833029)	(104, 33.98561435568473)	(106, 33.8296412180308)	(108, 33.67623825876287)	(110, 33.5197167393797)	(112, 33.32933036359636)	(114, 33.111743006335715)	(116, 32.74195187731611)	(118, 32.55998311111969)	(120, 32.29482047693395)	(122, 31.991151858483544)	(124, 31.764211257804384)
SRR11647692_2	(1, 31.194506220549126)	(2, 31.46643434952223)	(3, 31.567696083204883)	(4, 31.36084336591895)	(5, 31.382410464126433)	(6, 35.247244395822875)	(7, 35.45454950427539)	(8, 35.4293003065362)	(9, 35.49161804265812)	(10, 35.39580995710911)	(12, 35.434006744049825)	(14, 35.43884640837383)	(16, 35.41162393319856)	(18, 35.37176767193813)	(20, 35.35982436480761)	(22, 35.35335212984026)	(24, 35.33572354464514)	(26, 35.28776201475784)	(28, 35.26927426650684)	(30, 35.241660396452964)	(32, 35.235777946608096)	(34, 35.21709909452558)	(36, 35.183944699883156)	(38, 35.15159254167706)	(40, 35.11559764031364)	(42, 35.0556037579757)	(44, 34.99646699167478)	(46, 34.926224075846534)	(48, 34.88525606402529)	(50, 34.81579481696775)	(52, 34.76512495929113)	(54, 34.691344892361414)	(56, 34.61894458924666)	(58, 34.560565634199094)	(60, 34.492543977519446)	(62, 34.388333001423845)	(64, 34.32819923946426)	(66, 34.25368558433762)	(68, 34.15074600190412)	(70, 34.07688495588333)	(72, 33.9844044944346)	(74, 33.881999671307256)	(76, 33.813958957856855)	(78, 33.70886401078643)	(80, 33.59993497303442)	(82, 33.47241688396747)	(84, 33.335396094736424)	(86, 33.21052009777732)	(88, 33.1029186492288)	(90, 33.01852564246905)	(92, 32.8575561948103)	(94, 32.69175200542051)	(96, 32.53882120079881)	(98, 32.283558169111245)	(100, 32.111492807019445)	(102, 31.954374386686347)	(104, 31.84665140857804)	(106, 31.658514389713986)	(108, 31.40792501886913)	(110, 31.282441861496558)	(112, 30.999974777803416)	(114, 30.721769124346743)	(116, 30.37142399209422)	(118, 30.16027948045882)	(120, 29.884124866785374)	(122, 29.556279030504577)	(124, 29.302135303852168)
SRR11647693_1	(1, 32.582512095550896)	(2, 32.73564448290524)	(3, 32.80103964612099)	(4, 32.74804048629932)	(5, 32.77759717106185)	(6, 36.21236139793768)	(7, 36.684741570609404)	(8, 36.87108865256626)	(9, 36.97289661973137)	(10, 37.00229822850291)	(12, 37.01573503037503)	(14, 37.02086018185353)	(16, 37.00933357106247)	(18, 37.00022856046918)	(20, 36.9722033814094)	(22, 36.948627111325166)	(24, 36.947624937076384)	(26, 36.91162512863403)	(28, 36.91669628147115)	(30, 36.88201461895229)	(32, 36.87733069283355)	(34, 36.866921260368244)	(36, 36.82684558235812)	(38, 36.708799803902416)	(40, 36.60161166111229)	(42, 36.52640605947563)	(44, 36.45361481961298)	(46, 36.382943627213535)	(48, 36.33411142528444)	(50, 36.30951074451358)	(52, 36.25383093578401)	(54, 36.17661221268018)	(56, 36.10948686350585)	(58, 36.067770176918074)	(60, 35.99985355221014)	(62, 35.92493586611765)	(64, 35.86397461386339)	(66, 35.77798309486394)	(68, 35.72443303308545)	(70, 35.653350292863735)	(72, 35.63958935437488)	(74, 35.591394828626846)	(76, 35.51765932190562)	(78, 35.47033161188174)	(80, 35.37278247268378)	(82, 35.29380979263769)	(84, 35.224632668813214)	(86, 35.10999804099299)	(88, 35.03287362007413)	(90, 34.846094346310394)	(92, 34.686037711724616)	(94, 34.604312114347636)	(96, 34.522549890546344)	(98, 34.356471813896306)	(100, 34.20599954728003)	(102, 34.07342880022894)	(104, 33.947779433993475)	(106, 33.79540021910998)	(108, 33.64237417867777)	(110, 33.479563381752214)	(112, 33.28688071013917)	(114, 33.07296840752303)	(116, 32.71243195809265)	(118, 32.531597891313965)	(120, 32.26563851323239)	(122, 31.9767159016531)	(124, 31.759082672817513)
SRR11647693_2	(1, 31.355110874411437)	(2, 31.612637257163186)	(3, 31.6991220023588)	(4, 31.51914849730612)	(5, 31.540227366418797)	(6, 35.44531819618711)	(7, 35.634836228924826)	(8, 35.59704789282824)	(9, 35.648994006758834)	(10, 35.55701584803664)	(12, 35.58926954054482)	(14, 35.59164235376632)	(16, 35.56193470443749)	(18, 35.52427483588612)	(20, 35.51640319479704)	(22, 35.50032865339317)	(24, 35.479533240955604)	(26, 35.434593284259904)	(28, 35.416899594318195)	(30, 35.3956361453992)	(32, 35.38819730414461)	(34, 35.36589737084813)	(36, 35.338284202869744)	(38, 35.30590430120459)	(40, 35.271401775197376)	(42, 35.21423840808415)	(44, 35.160542853987735)	(46, 35.0933553991374)	(48, 35.04896440450096)	(50, 34.98561707823283)	(52, 34.935149948002056)	(54, 34.86101641483418)	(56, 34.791647964992436)	(58, 34.73544756882482)	(60, 34.67543750336225)	(62, 34.572158920115186)	(64, 34.508358005259495)	(66, 34.43086772544925)	(68, 34.32751904530634)	(70, 34.25814767114139)	(72, 34.16181603482273)	(74, 34.060408699936815)	(76, 33.992068337900974)	(78, 33.892788288902054)	(80, 33.78269580095562)	(82, 33.658577390302696)	(84, 33.52014884747211)	(86, 33.393181045776196)	(88, 33.28811156067192)	(90, 33.199732809510806)	(92, 33.03861603537864)	(94, 32.876699444372804)	(96, 32.72153384168687)	(98, 32.473254574264004)	(100, 32.29986456040503)	(102, 32.142758423165546)	(104, 32.030303516374154)	(106, 31.843334161602037)	(108, 31.59161258936775)	(110, 31.46254283626807)	(112, 31.17980916387925)	(114, 30.903307542732904)	(116, 30.55641589852031)	(118, 30.34441960667795)	(120, 30.05795443997097)	(122, 29.738951834543762)	(124, 29.495430383069547)
SRR11647694_1	(1, 32.535621442413905)	(2, 32.697217145678955)	(3, 32.763183780970216)	(4, 32.715222153529595)	(5, 32.745749672164266)	(6, 36.22467606074117)	(7, 36.697491765368014)	(8, 36.89267946249643)	(9, 36.995932337237505)	(10, 37.02440204616552)	(12, 37.037140446707156)	(14, 37.04109986768941)	(16, 37.03154450501611)	(18, 37.02162358598571)	(20, 36.99244074808756)	(22, 36.970849764707026)	(24, 36.96873540234612)	(26, 36.934180684373075)	(28, 36.939902116403914)	(30, 36.9049259963277)	(32, 36.90062151932551)	(34, 36.88673023637426)	(36, 36.846924321690494)	(38, 36.73049207708624)	(40, 36.62605221868504)	(42, 36.552605844513224)	(44, 36.48052657420534)	(46, 36.41183630653258)	(48, 36.36280207317506)	(50, 36.3379659288355)	(52, 36.28212216210298)	(54, 36.203075859277995)	(56, 36.13744902060982)	(58, 36.09411419202431)	(60, 36.025260374075444)	(62, 35.946641750698255)	(64, 35.88597282667584)	(66, 35.79711820115508)	(68, 35.743270516907096)	(70, 35.671556237429755)	(72, 35.65668059897857)	(74, 35.60777564498868)	(76, 35.53348657971583)	(78, 35.486019957657895)	(80, 35.383346125543724)	(82, 35.306754971374176)	(84, 35.23424219669511)	(86, 35.120792737010476)	(88, 35.04076046693491)	(90, 34.85393376869828)	(92, 34.69741793587788)	(94, 34.60902899318857)	(96, 34.52758706337675)	(98, 34.36239291472154)	(100, 34.207485043519526)	(102, 34.06612716000035)	(104, 33.933909373014295)	(106, 33.778320127157514)	(108, 33.62806085585882)	(110, 33.45920099243122)	(112, 33.261802029968834)	(114, 33.04931162412663)	(116, 32.692822834785495)	(118, 32.51628362988414)	(120, 32.24753888503954)	(122, 31.953263246497862)	(124, 31.730801504933993)
SRR11647694_2	(1, 30.812870660234143)	(2, 31.127643864862684)	(3, 31.227999829889615)	(4, 30.98348153521907)	(5, 30.986283606132027)	(6, 34.70874449940609)	(7, 34.952840458854666)	(8, 34.89332110891159)	(9, 34.959846201663595)	(10, 34.801844674063304)	(12, 34.86097737350924)	(14, 34.87620355358783)	(16, 34.85170839347708)	(18, 34.8045545358735)	(20, 34.79253265746125)	(22, 34.785593901271284)	(24, 34.764035859811855)	(26, 34.70831939310406)	(28, 34.678478678178976)	(30, 34.655267517806735)	(32, 34.643173704418274)	(34, 34.610952151025444)	(36, 34.573162932268694)	(38, 34.54207073538131)	(40, 34.49720816511746)	(42, 34.43937682707488)	(44, 34.367309545929686)	(46, 34.2818883734303)	(48, 34.22060231856834)	(50, 34.14876427360717)	(52, 34.09283836414435)	(54, 34.00576837073386)	(56, 33.918254241053205)	(58, 33.8443314107693)	(60, 33.77325628939033)	(62, 33.658136490509676)	(64, 33.586223117413034)	(66, 33.49142701348374)	(68, 33.377879717707245)	(70, 33.29482928902682)	(72, 33.19154658276062)	(74, 33.07942424421336)	(76, 33.00009107804968)	(78, 32.877043614990434)	(80, 32.753308924076705)	(82, 32.61172717687566)	(84, 32.46854979653486)	(86, 32.33400319952297)	(88, 32.21474654570733)	(90, 32.11918273949654)	(92, 31.949424197840187)	(94, 31.786216913586866)	(96, 31.624470073353315)	(98, 31.358815422089783)	(100, 31.172542911588522)	(102, 31.00307298640316)	(104, 30.889978564281932)	(106, 30.696985930152046)	(108, 30.444465265246652)	(110, 30.30693995510624)	(112, 30.010870494647968)	(114, 29.72559752968958)	(116, 29.374224550004875)	(118, 29.14904466166696)	(120, 28.866319450335347)	(122, 28.53509456961055)	(124, 28.27732417836345)
SRR11647702_1	(1, 32.562177621882164)	(2, 32.71651616051357)	(3, 32.78037335559281)	(4, 32.72746988911841)	(5, 32.75624514138409)	(6, 36.20403579653927)	(7, 36.68645805910039)	(8, 36.88603954141038)	(9, 36.99106161515977)	(10, 37.02990940262318)	(12, 37.042658654571575)	(14, 37.04968542739113)	(16, 37.04293934535628)	(18, 37.032425562360984)	(20, 37.00733176187868)	(22, 36.98682640099223)	(24, 36.98624692732112)	(26, 36.952338145093556)	(28, 36.96021909784524)	(30, 36.92614870577194)	(32, 36.923639389447814)	(34, 36.91096613540905)	(36, 36.873128901265275)	(38, 36.761132197629586)	(40, 36.66046730042403)	(42, 36.5887047712003)	(44, 36.52076410841762)	(46, 36.4507179461292)	(48, 36.403005305889785)	(50, 36.37743737043576)	(52, 36.32430640894279)	(54, 36.25118093215495)	(56, 36.186446755000084)	(58, 36.14546695326625)	(60, 36.07896941958266)	(62, 36.00318465319879)	(64, 35.945786837139885)	(66, 35.860096298743876)	(68, 35.81130331344791)	(70, 35.74137157746891)	(72, 35.73014081528828)	(74, 35.68069673597982)	(76, 35.601428145624965)	(78, 35.55283395179876)	(80, 35.45585083885013)	(82, 35.37934219445502)	(84, 35.305380214244835)	(86, 35.1924649416351)	(88, 35.12155933525019)	(90, 34.93633816083064)	(92, 34.78055760134528)	(94, 34.69616648036143)	(96, 34.61002233723467)	(98, 34.44769975134858)	(100, 34.3005368505635)	(102, 34.167878135592574)	(104, 34.04795487491819)	(106, 33.88957060432995)	(108, 33.73300493629004)	(110, 33.57492557164254)	(112, 33.39029248749996)	(114, 33.179812494898606)	(116, 32.81321234879866)	(118, 32.63038617521832)	(120, 32.36508268145893)	(122, 32.07273856070765)	(124, 31.859377851133754)
SRR11647702_2	(1, 31.208936124020166)	(2, 31.492483853838205)	(3, 31.582269662748264)	(4, 31.361580599149455)	(5, 31.39765591748317)	(6, 35.248564587057615)	(7, 35.424357366053755)	(8, 35.406971604377105)	(9, 35.465240972110514)	(10, 35.369639674599284)	(12, 35.404485921380314)	(14, 35.410492000437316)	(16, 35.38024413975215)	(18, 35.34294872665129)	(20, 35.332463536380274)	(22, 35.32223160782707)	(24, 35.30467149148571)	(26, 35.259932882458585)	(28, 35.24158535795404)	(30, 35.22193802815153)	(32, 35.214892304340296)	(34, 35.19535596528732)	(36, 35.167794047493516)	(38, 35.13280760770383)	(40, 35.09830306060178)	(42, 35.03958540771424)	(44, 34.98799338311164)	(46, 34.91989072259743)	(48, 34.86741415214621)	(50, 34.798852207144975)	(52, 34.741928858531345)	(54, 34.6705430218265)	(56, 34.60790763929436)	(58, 34.54616386767354)	(60, 34.489986700504346)	(62, 34.37588507919159)	(64, 34.30689213766023)	(66, 34.22586894591315)	(68, 34.124161605634406)	(70, 34.041981876978255)	(72, 33.946609099612346)	(74, 33.82877790097154)	(76, 33.75527919493084)	(78, 33.64806107804877)	(80, 33.5362438547115)	(82, 33.4044678292786)	(84, 33.2550170395459)	(86, 33.11948314882807)	(88, 33.010772419701965)	(90, 32.91704408416257)	(92, 32.7518598985324)	(94, 32.582646272148764)	(96, 32.41668202047937)	(98, 32.16255775550218)	(100, 31.978942012680648)	(102, 31.81100120582611)	(104, 31.697257242922177)	(106, 31.50208361166448)	(108, 31.232592225804503)	(110, 31.103114174349898)	(112, 30.815886350348755)	(114, 30.53058429619979)	(116, 30.17521233561054)	(118, 29.944481352085653)	(120, 29.651279449605575)	(122, 29.316231707236657)	(124, 29.074230369473966)
SRR11647703_1	(1, 32.491096995808284)	(2, 32.65807926916593)	(3, 32.726571007339274)	(4, 32.66828056412374)	(5, 32.70071538789627)	(6, 36.13197633392476)	(7, 36.63080776808038)	(8, 36.83024074883203)	(9, 36.937889728088024)	(10, 36.96700641125456)	(12, 36.982282575354766)	(14, 36.986824483899476)	(16, 36.97286447312986)	(18, 36.963358542289754)	(20, 36.935710443142625)	(22, 36.9153193623429)	(24, 36.91400300070252)	(26, 36.875357394502814)	(28, 36.882327804617915)	(30, 36.84696958729144)	(32, 36.83987783672366)	(34, 36.830253507806674)	(36, 36.78568479499974)	(38, 36.666337033783165)	(40, 36.556041869226235)	(42, 36.476404750088136)	(44, 36.402418034003446)	(46, 36.32547701639971)	(48, 36.277398517980004)	(50, 36.25153482653263)	(52, 36.19487565728249)	(54, 36.11405203161934)	(56, 36.04461214539815)	(58, 35.998839584276155)	(60, 35.932960102946694)	(62, 35.8529427403257)	(64, 35.79350245310816)	(66, 35.70166257251134)	(68, 35.64943305886783)	(70, 35.57801873434096)	(72, 35.56143711882564)	(74, 35.515076160663085)	(76, 35.43616950584231)	(78, 35.38816287430015)	(80, 35.28374441534473)	(82, 35.20416773208445)	(84, 35.13135046716074)	(86, 35.016180827479396)	(88, 34.939243038677404)	(90, 34.7425323544162)	(92, 34.57802891548195)	(94, 34.496987111352524)	(96, 34.41103565378288)	(98, 34.24516252590202)	(100, 34.08796570908392)	(102, 33.9511031305316)	(104, 33.8140519795419)	(106, 33.65257950012941)	(108, 33.4959399901157)	(110, 33.33412072698034)	(112, 33.139993995470306)	(114, 32.927881926886386)	(116, 32.54942045612553)	(118, 32.36154887702796)	(120, 32.09393784660796)	(122, 31.804911502189597)	(124, 31.588966038734164)
SRR11647703_2	(1, 31.2055308853114)	(2, 31.496322915587143)	(3, 31.59144664379078)	(4, 31.395832970961095)	(5, 31.418408179908834)	(6, 35.278620957943815)	(7, 35.4765606178885)	(8, 35.426902636524936)	(9, 35.4779275467304)	(10, 35.36159509576261)	(12, 35.38888531869054)	(14, 35.39561075649263)	(16, 35.365624588262676)	(18, 35.323463155466285)	(20, 35.315624796572465)	(22, 35.30571549986277)	(24, 35.28765975407988)	(26, 35.2391686981211)	(28, 35.21962397999809)	(30, 35.19770695187054)	(32, 35.19234599527033)	(34, 35.172533052253996)	(36, 35.14150101264596)	(38, 35.10622281231757)	(40, 35.066052430532594)	(42, 35.002224722518335)	(44, 34.94822309145269)	(46, 34.875275034019595)	(48, 34.82558650923308)	(50, 34.75638878314274)	(52, 34.70019026495443)	(54, 34.62266017330333)	(56, 34.55236736264703)	(58, 34.48756554597736)	(60, 34.42241697162352)	(62, 34.31227913303549)	(64, 34.24698958503127)	(66, 34.16835899275968)	(68, 34.0695899994636)	(70, 33.99150835556606)	(72, 33.885177925203244)	(74, 33.7759593316797)	(76, 33.706864198160936)	(78, 33.601361616942256)	(80, 33.4765326522992)	(82, 33.33790897070487)	(84, 33.18745264207118)	(86, 33.052778514095024)	(88, 32.94621860445981)	(90, 32.851630024106655)	(92, 32.68120077053791)	(94, 32.51666723083902)	(96, 32.34421981994743)	(98, 32.08463858511824)	(100, 31.899971565713667)	(102, 31.73761150432477)	(104, 31.609141076242945)	(106, 31.406100195967433)	(108, 31.147057415906637)	(110, 31.013603306292985)	(112, 30.7238918830528)	(114, 30.435483151123023)	(116, 30.070638006017028)	(118, 29.842247829281796)	(120, 29.54752595670177)	(122, 29.219136483012075)	(124, 28.964766976857305)
