Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11647692_1	(0.0, 31057.0)	(1.0, 20423.0)	(2.0, 9252.0)	(3.0, 8510.5)	(4.0, 8093.5)	(5.0, 7662.5)	(6.0, 7128.5)	(7.0, 6467.0)	(8.0, 5747.5)	(9.0, 5158.5)	(10.0, 4799.0)	(11.0, 4486.0)	(12.0, 4178.5)	(13.0, 4076.0)	(14.0, 4257.0)	(15.0, 4482.0)	(16.0, 4908.0)	(17.0, 5748.0)	(18.0, 6918.5)	(19.0, 8990.5)	(20.0, 12378.5)	(21.0, 17536.5)	(22.0, 25723.5)	(23.0, 36105.0)	(24.0, 51796.5)	(25.0, 72197.5)	(26.0, 104374.0)	(27.0, 134731.5)	(28.0, 153693.5)	(29.0, 182377.0)	(30.0, 221264.5)	(31.0, 261943.0)	(32.0, 299895.0)	(33.0, 334551.5)	(34.0, 382292.5)	(35.0, 443619.5)	(36.0, 499256.0)	(37.0, 535915.0)	(38.0, 559234.5)	(39.0, 580970.0)	(40.0, 617258.0)	(41.0, 655137.5)	(42.0, 664412.5)	(43.0, 674535.0)	(44.0, 705639.5)	(45.0, 720696.5)	(46.0, 743518.5)	(47.0, 748323.0)	(48.0, 713220.5)	(49.0, 683288.0)	(50.0, 662533.5)	(51.0, 658954.0)	(52.0, 637325.0)	(53.0, 613948.0)	(54.0, 606196.0)	(55.0, 574009.0)	(56.0, 522868.0)	(57.0, 493851.0)	(58.0, 488974.5)	(59.0, 467141.0)	(60.0, 426642.5)	(61.0, 387437.5)	(62.0, 343561.0)	(63.0, 309177.0)	(64.0, 281034.0)	(65.0, 233343.0)	(66.0, 181465.0)	(67.0, 149097.0)	(68.0, 120509.0)	(69.0, 88454.0)	(70.0, 66394.5)	(71.0, 50055.0)	(72.0, 37854.5)	(73.0, 29858.5)	(74.0, 24435.5)	(75.0, 19291.5)	(76.0, 14941.0)	(77.0, 12885.0)	(78.0, 10850.5)	(79.0, 8052.0)	(80.0, 5139.5)	(81.0, 3271.0)	(82.0, 2078.0)	(83.0, 1341.5)	(84.0, 810.0)	(85.0, 440.5)	(86.0, 254.0)	(87.0, 142.0)	(88.0, 78.0)	(89.0, 57.5)	(90.0, 41.0)	(91.0, 32.0)	(92.0, 35.0)	(93.0, 31.5)	(94.0, 19.5)	(95.0, 17.0)	(96.0, 11.0)	(97.0, 4.0)	(98.0, 2.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11647692_2	(0.0, 76368.0)	(1.0, 41371.0)	(2.0, 4735.0)	(3.0, 2645.5)	(4.0, 1994.5)	(5.0, 1712.0)	(6.0, 1553.5)	(7.0, 1422.5)	(8.0, 1395.0)	(9.0, 1429.0)	(10.0, 1472.5)	(11.0, 1557.0)	(12.0, 1656.5)	(13.0, 1798.5)	(14.0, 1992.5)	(15.0, 2227.0)	(16.0, 2762.0)	(17.0, 3562.5)	(18.0, 4623.5)	(19.0, 6346.5)	(20.0, 9483.0)	(21.0, 14302.5)	(22.0, 21707.0)	(23.0, 31661.0)	(24.0, 46567.5)	(25.0, 65986.5)	(26.0, 98143.0)	(27.0, 127869.0)	(28.0, 146414.0)	(29.0, 175564.5)	(30.0, 215356.5)	(31.0, 255794.5)	(32.0, 292774.5)	(33.0, 328163.5)	(34.0, 375698.0)	(35.0, 435011.5)	(36.0, 486830.5)	(37.0, 525459.5)	(38.0, 552023.0)	(39.0, 573650.5)	(40.0, 609582.5)	(41.0, 647108.0)	(42.0, 659103.5)	(43.0, 673555.0)	(44.0, 706845.0)	(45.0, 721894.0)	(46.0, 746692.0)	(47.0, 752868.5)	(48.0, 719906.5)	(49.0, 689534.0)	(50.0, 666615.0)	(51.0, 661564.5)	(52.0, 641406.0)	(53.0, 618665.5)	(54.0, 609337.0)	(55.0, 581203.0)	(56.0, 533980.5)	(57.0, 504390.0)	(58.0, 494423.0)	(59.0, 470248.5)	(60.0, 431105.5)	(61.0, 394342.5)	(62.0, 352354.5)	(63.0, 316270.5)	(64.0, 287505.0)	(65.0, 241193.0)	(66.0, 190682.5)	(67.0, 156743.0)	(68.0, 127220.5)	(69.0, 95549.0)	(70.0, 71726.5)	(71.0, 54273.0)	(72.0, 41105.5)	(73.0, 32327.0)	(74.0, 26072.0)	(75.0, 20593.5)	(76.0, 16206.5)	(77.0, 13601.0)	(78.0, 11278.5)	(79.0, 8492.0)	(80.0, 5798.5)	(81.0, 3917.0)	(82.0, 2580.0)	(83.0, 1704.0)	(84.0, 1072.0)	(85.0, 647.5)	(86.0, 390.0)	(87.0, 221.5)	(88.0, 150.5)	(89.0, 117.5)	(90.0, 87.5)	(91.0, 59.0)	(92.0, 48.0)	(93.0, 42.5)	(94.0, 41.5)	(95.0, 49.5)	(96.0, 54.0)	(97.0, 48.0)	(98.0, 38.5)	(99.0, 38.5)	(100.0, 46.5)
SRR11647693_1	(0.0, 29500.0)	(1.0, 19269.0)	(2.0, 8835.5)	(3.0, 8873.5)	(4.0, 9048.0)	(5.0, 8755.0)	(6.0, 8277.0)	(7.0, 7461.0)	(8.0, 6512.0)	(9.0, 5976.5)	(10.0, 5573.5)	(11.0, 5003.0)	(12.0, 4516.0)	(13.0, 4309.0)	(14.0, 4260.5)	(15.0, 4378.5)	(16.0, 4674.5)	(17.0, 5092.5)	(18.0, 5944.0)	(19.0, 7576.0)	(20.0, 10079.5)	(21.0, 14165.5)	(22.0, 20546.0)	(23.0, 28081.0)	(24.0, 38997.0)	(25.0, 52956.0)	(26.0, 74185.5)	(27.0, 97647.5)	(28.0, 117528.5)	(29.0, 141198.0)	(30.0, 170615.5)	(31.0, 203550.5)	(32.0, 233533.0)	(33.0, 262598.0)	(34.0, 299564.0)	(35.0, 343504.5)	(36.0, 386023.0)	(37.0, 423003.5)	(38.0, 451948.0)	(39.0, 473859.5)	(40.0, 501856.0)	(41.0, 540292.0)	(42.0, 566608.0)	(43.0, 586141.5)	(44.0, 602768.5)	(45.0, 611402.5)	(46.0, 628098.0)	(47.0, 629457.5)	(48.0, 605003.5)	(49.0, 580247.0)	(50.0, 563888.0)	(51.0, 553093.5)	(52.0, 531229.5)	(53.0, 507738.0)	(54.0, 492772.0)	(55.0, 474708.5)	(56.0, 448817.0)	(57.0, 426760.0)	(58.0, 417459.0)	(59.0, 405433.5)	(60.0, 384685.0)	(61.0, 352604.0)	(62.0, 315306.0)	(63.0, 282746.5)	(64.0, 253709.5)	(65.0, 214714.5)	(66.0, 172538.5)	(67.0, 148644.5)	(68.0, 122162.5)	(69.0, 86743.5)	(70.0, 62023.5)	(71.0, 45901.5)	(72.0, 35265.5)	(73.0, 28024.0)	(74.0, 22685.5)	(75.0, 17723.5)	(76.0, 13454.5)	(77.0, 12043.0)	(78.0, 10330.5)	(79.0, 7251.5)	(80.0, 4867.0)	(81.0, 3241.0)	(82.0, 2090.0)	(83.0, 1493.0)	(84.0, 988.0)	(85.0, 528.0)	(86.0, 264.0)	(87.0, 134.5)	(88.0, 76.0)	(89.0, 56.5)	(90.0, 42.0)	(91.0, 35.0)	(92.0, 29.0)	(93.0, 26.0)	(94.0, 22.5)	(95.0, 23.0)	(96.0, 18.5)	(97.0, 9.0)	(98.0, 7.0)	(99.0, 1.5)	(100.0, 1.0)
SRR11647693_2	(0.0, 99539.0)	(1.0, 52528.5)	(2.0, 4030.5)	(3.0, 2096.5)	(4.0, 1505.0)	(5.0, 1305.5)	(6.0, 1191.0)	(7.0, 1150.0)	(8.0, 1171.5)	(9.0, 1153.5)	(10.0, 1177.5)	(11.0, 1249.0)	(12.0, 1315.0)	(13.0, 1426.0)	(14.0, 1593.5)	(15.0, 1803.5)	(16.0, 2180.5)	(17.0, 2756.0)	(18.0, 3661.0)	(19.0, 5185.5)	(20.0, 7681.0)	(21.0, 11589.0)	(22.0, 17620.5)	(23.0, 25068.5)	(24.0, 35694.5)	(25.0, 49382.5)	(26.0, 70135.5)	(27.0, 92980.5)	(28.0, 113142.0)	(29.0, 137506.5)	(30.0, 166836.5)	(31.0, 200080.0)	(32.0, 231446.0)	(33.0, 260442.0)	(34.0, 297052.0)	(35.0, 341610.5)	(36.0, 384630.5)	(37.0, 421816.0)	(38.0, 449455.0)	(39.0, 471253.0)	(40.0, 500113.0)	(41.0, 536269.0)	(42.0, 561090.0)	(43.0, 584005.0)	(44.0, 600846.5)	(45.0, 607826.0)	(46.0, 625233.5)	(47.0, 628956.0)	(48.0, 607742.0)	(49.0, 584272.5)	(50.0, 566252.0)	(51.0, 553994.5)	(52.0, 533863.0)	(53.0, 511178.0)	(54.0, 495741.5)	(55.0, 479647.5)	(56.0, 455822.5)	(57.0, 432989.0)	(58.0, 421445.0)	(59.0, 408127.5)	(60.0, 387479.5)	(61.0, 355976.5)	(62.0, 319296.0)	(63.0, 285745.0)	(64.0, 255475.0)	(65.0, 216740.5)	(66.0, 176566.5)	(67.0, 151911.5)	(68.0, 125172.0)	(69.0, 91071.0)	(70.0, 65632.0)	(71.0, 49013.0)	(72.0, 37677.0)	(73.0, 29544.5)	(74.0, 23491.5)	(75.0, 18372.0)	(76.0, 14243.5)	(77.0, 12264.0)	(78.0, 10395.0)	(79.0, 7595.5)	(80.0, 5149.0)	(81.0, 3608.5)	(82.0, 2483.0)	(83.0, 1710.0)	(84.0, 1149.0)	(85.0, 697.0)	(86.0, 397.5)	(87.0, 251.0)	(88.0, 164.0)	(89.0, 103.5)	(90.0, 75.0)	(91.0, 62.0)	(92.0, 51.5)	(93.0, 44.5)	(94.0, 51.0)	(95.0, 45.5)	(96.0, 37.0)	(97.0, 33.0)	(98.0, 26.0)	(99.0, 28.0)	(100.0, 28.0)
SRR11647694_1	(0.0, 33791.0)	(1.0, 20384.5)	(2.0, 7716.0)	(3.0, 9605.5)	(4.0, 11308.0)	(5.0, 11804.5)	(6.0, 11208.5)	(7.0, 10036.5)	(8.0, 8936.5)	(9.0, 8266.5)	(10.0, 7691.0)	(11.0, 7088.5)	(12.0, 6618.0)	(13.0, 6324.0)	(14.0, 6296.0)	(15.0, 6285.5)	(16.0, 6517.0)	(17.0, 7032.5)	(18.0, 8050.5)	(19.0, 9932.0)	(20.0, 12788.5)	(21.0, 17544.0)	(22.0, 24986.0)	(23.0, 34397.0)	(24.0, 46462.0)	(25.0, 62665.0)	(26.0, 89772.0)	(27.0, 118702.5)	(28.0, 140083.0)	(29.0, 163693.0)	(30.0, 193634.0)	(31.0, 227027.5)	(32.0, 261091.5)	(33.0, 295006.0)	(34.0, 335961.5)	(35.0, 380208.0)	(36.0, 414258.0)	(37.0, 446002.0)	(38.0, 480785.5)	(39.0, 502653.5)	(40.0, 526219.0)	(41.0, 556266.5)	(42.0, 569835.0)	(43.0, 582446.0)	(44.0, 600505.0)	(45.0, 608678.0)	(46.0, 619329.5)	(47.0, 617271.5)	(48.0, 588269.5)	(49.0, 565009.0)	(50.0, 551885.0)	(51.0, 545221.5)	(52.0, 528706.5)	(53.0, 511036.0)	(54.0, 515919.0)	(55.0, 502666.5)	(56.0, 463351.0)	(57.0, 440471.5)	(58.0, 431182.5)	(59.0, 410099.0)	(60.0, 378744.5)	(61.0, 346039.0)	(62.0, 313546.5)	(63.0, 282609.0)	(64.0, 250427.0)	(65.0, 212497.5)	(66.0, 171201.0)	(67.0, 137294.0)	(68.0, 109000.0)	(69.0, 81032.0)	(70.0, 58916.5)	(71.0, 43210.5)	(72.0, 32544.0)	(73.0, 24964.0)	(74.0, 19393.5)	(75.0, 14619.5)	(76.0, 10858.0)	(77.0, 8645.5)	(78.0, 6466.5)	(79.0, 4329.0)	(80.0, 2704.0)	(81.0, 1551.0)	(82.0, 861.5)	(83.0, 446.0)	(84.0, 219.5)	(85.0, 122.0)	(86.0, 75.0)	(87.0, 59.0)	(88.0, 42.0)	(89.0, 30.5)	(90.0, 23.5)	(91.0, 21.5)	(92.0, 16.0)	(93.0, 12.5)	(94.0, 10.5)	(95.0, 7.5)	(96.0, 6.0)	(97.0, 4.0)	(98.0, 1.5)	(99.0, 0.0)	(100.0, 0.0)
SRR11647694_2	(0.0, 157501.0)	(1.0, 82303.0)	(2.0, 5032.5)	(3.0, 2437.0)	(4.0, 1680.5)	(5.0, 1285.0)	(6.0, 1062.0)	(7.0, 1005.5)	(8.0, 979.5)	(9.0, 958.0)	(10.0, 1014.5)	(11.0, 1104.5)	(12.0, 1212.0)	(13.0, 1389.5)	(14.0, 1624.5)	(15.0, 1910.5)	(16.0, 2412.5)	(17.0, 3208.5)	(18.0, 4358.0)	(19.0, 6227.0)	(20.0, 9388.0)	(21.0, 14157.0)	(22.0, 21189.0)	(23.0, 30308.5)	(24.0, 42194.0)	(25.0, 58136.0)	(26.0, 84134.0)	(27.0, 112306.5)	(28.0, 134033.5)	(29.0, 158523.0)	(30.0, 189073.0)	(31.0, 222490.5)	(32.0, 257124.0)	(33.0, 290910.5)	(34.0, 331879.0)	(35.0, 375681.5)	(36.0, 408963.5)	(37.0, 441457.5)	(38.0, 475055.5)	(39.0, 497175.0)	(40.0, 521814.5)	(41.0, 550200.5)	(42.0, 563038.5)	(43.0, 576759.5)	(44.0, 594658.5)	(45.0, 602359.5)	(46.0, 615851.0)	(47.0, 617931.5)	(48.0, 592090.0)	(49.0, 569190.0)	(50.0, 554160.0)	(51.0, 545865.5)	(52.0, 530481.5)	(53.0, 513290.0)	(54.0, 514784.5)	(55.0, 502175.0)	(56.0, 468079.0)	(57.0, 446910.5)	(58.0, 434522.0)	(59.0, 412365.5)	(60.0, 381760.0)	(61.0, 349903.5)	(62.0, 318895.5)	(63.0, 287295.5)	(64.0, 254429.0)	(65.0, 216823.5)	(66.0, 178226.5)	(67.0, 145623.0)	(68.0, 116323.0)	(69.0, 88310.0)	(70.0, 65833.0)	(71.0, 49381.0)	(72.0, 37562.0)	(73.0, 28696.0)	(74.0, 21938.5)	(75.0, 16614.0)	(76.0, 12708.0)	(77.0, 9921.5)	(78.0, 7389.5)	(79.0, 5131.0)	(80.0, 3345.0)	(81.0, 2090.5)	(82.0, 1242.0)	(83.0, 736.0)	(84.0, 431.0)	(85.0, 292.5)	(86.0, 200.5)	(87.0, 131.0)	(88.0, 87.0)	(89.0, 66.0)	(90.0, 61.5)	(91.0, 57.5)	(92.0, 43.0)	(93.0, 42.5)	(94.0, 48.0)	(95.0, 49.5)	(96.0, 50.5)	(97.0, 50.0)	(98.0, 55.0)	(99.0, 62.0)	(100.0, 50.0)
SRR11647702_1	(0.0, 23081.0)	(1.0, 15520.5)	(2.0, 8594.5)	(3.0, 9936.0)	(4.0, 11300.5)	(5.0, 11794.0)	(6.0, 11176.5)	(7.0, 9811.5)	(8.0, 8320.0)	(9.0, 7190.0)	(10.0, 6326.0)	(11.0, 5721.0)	(12.0, 5195.5)	(13.0, 4966.0)	(14.0, 4839.5)	(15.0, 4708.0)	(16.0, 4943.5)	(17.0, 5361.5)	(18.0, 5986.0)	(19.0, 7316.0)	(20.0, 9288.5)	(21.0, 12336.0)	(22.0, 17266.5)	(23.0, 24305.0)	(24.0, 34218.5)	(25.0, 45354.5)	(26.0, 61020.5)	(27.0, 83478.5)	(28.0, 105304.0)	(29.0, 127468.0)	(30.0, 155481.5)	(31.0, 192202.5)	(32.0, 231687.0)	(33.0, 270051.5)	(34.0, 311715.0)	(35.0, 360888.5)	(36.0, 411906.0)	(37.0, 460441.5)	(38.0, 495630.0)	(39.0, 517675.5)	(40.0, 550930.0)	(41.0, 587377.0)	(42.0, 611831.5)	(43.0, 635960.0)	(44.0, 639925.5)	(45.0, 621086.0)	(46.0, 618879.0)	(47.0, 616486.0)	(48.0, 596599.5)	(49.0, 583535.0)	(50.0, 582267.0)	(51.0, 565747.5)	(52.0, 525981.0)	(53.0, 492466.0)	(54.0, 483904.0)	(55.0, 487144.5)	(56.0, 480863.5)	(57.0, 468100.0)	(58.0, 465553.5)	(59.0, 460916.0)	(60.0, 439678.5)	(61.0, 397150.5)	(62.0, 344855.5)	(63.0, 289232.0)	(64.0, 242595.0)	(65.0, 215775.0)	(66.0, 188572.5)	(67.0, 165875.5)	(68.0, 138453.0)	(69.0, 104965.5)	(70.0, 81799.0)	(71.0, 61717.0)	(72.0, 45511.0)	(73.0, 36390.5)	(74.0, 30230.0)	(75.0, 23474.0)	(76.0, 18102.5)	(77.0, 15618.5)	(78.0, 13325.5)	(79.0, 10250.0)	(80.0, 7149.0)	(81.0, 4625.0)	(82.0, 2730.0)	(83.0, 1830.0)	(84.0, 1213.0)	(85.0, 688.5)	(86.0, 380.0)	(87.0, 183.0)	(88.0, 82.5)	(89.0, 67.0)	(90.0, 57.5)	(91.0, 38.0)	(92.0, 25.5)	(93.0, 19.0)	(94.0, 18.0)	(95.0, 20.0)	(96.0, 15.0)	(97.0, 9.5)	(98.0, 6.5)	(99.0, 2.0)	(100.0, 0.5)
SRR11647702_2	(0.0, 119011.0)	(1.0, 63158.0)	(2.0, 5237.0)	(3.0, 2515.0)	(4.0, 1687.0)	(5.0, 1395.0)	(6.0, 1195.5)	(7.0, 1059.0)	(8.0, 975.5)	(9.0, 962.0)	(10.0, 1027.0)	(11.0, 1068.5)	(12.0, 1080.0)	(13.0, 1211.5)	(14.0, 1364.5)	(15.0, 1536.0)	(16.0, 1960.0)	(17.0, 2556.0)	(18.0, 3299.0)	(19.0, 4562.0)	(20.0, 6684.0)	(21.0, 9658.0)	(22.0, 14324.0)	(23.0, 21305.5)	(24.0, 31153.5)	(25.0, 42325.5)	(26.0, 57700.5)	(27.0, 79188.0)	(28.0, 100896.0)	(29.0, 124331.0)	(30.0, 152615.5)	(31.0, 188346.0)	(32.0, 227499.0)	(33.0, 266859.5)	(34.0, 309356.0)	(35.0, 357734.0)	(36.0, 407390.0)	(37.0, 455887.0)	(38.0, 492203.5)	(39.0, 514540.5)	(40.0, 548196.5)	(41.0, 584363.5)	(42.0, 607072.0)	(43.0, 631841.0)	(44.0, 637673.0)	(45.0, 620978.0)	(46.0, 619110.0)	(47.0, 615663.0)	(48.0, 597582.5)	(49.0, 585773.5)	(50.0, 583650.5)	(51.0, 568810.5)	(52.0, 530918.0)	(53.0, 496954.5)	(54.0, 486792.0)	(55.0, 488643.0)	(56.0, 482821.5)	(57.0, 470625.5)	(58.0, 465254.5)	(59.0, 460012.5)	(60.0, 441528.5)	(61.0, 401168.5)	(62.0, 350277.0)	(63.0, 295681.5)	(64.0, 249178.0)	(65.0, 219766.0)	(66.0, 192567.5)	(67.0, 168886.0)	(68.0, 141448.0)	(69.0, 109754.5)	(70.0, 85613.5)	(71.0, 65294.5)	(72.0, 48654.0)	(73.0, 38547.5)	(74.0, 31720.0)	(75.0, 24897.0)	(76.0, 19348.5)	(77.0, 16184.0)	(78.0, 13361.5)	(79.0, 10183.5)	(80.0, 7515.5)	(81.0, 5227.5)	(82.0, 3307.0)	(83.0, 2211.5)	(84.0, 1492.5)	(85.0, 914.5)	(86.0, 545.0)	(87.0, 320.0)	(88.0, 189.0)	(89.0, 121.5)	(90.0, 86.0)	(91.0, 64.0)	(92.0, 50.0)	(93.0, 43.0)	(94.0, 42.5)	(95.0, 55.0)	(96.0, 58.5)	(97.0, 40.5)	(98.0, 32.5)	(99.0, 30.5)	(100.0, 36.0)
SRR11647703_1	(0.0, 27774.0)	(1.0, 18641.0)	(2.0, 9315.0)	(3.0, 9009.0)	(4.0, 8775.5)	(5.0, 8470.0)	(6.0, 7909.0)	(7.0, 6965.0)	(8.0, 6183.5)	(9.0, 5759.5)	(10.0, 5451.5)	(11.0, 5204.0)	(12.0, 4956.0)	(13.0, 4812.0)	(14.0, 4838.5)	(15.0, 5003.5)	(16.0, 5307.0)	(17.0, 5727.5)	(18.0, 6675.0)	(19.0, 8501.0)	(20.0, 11141.0)	(21.0, 15095.5)	(22.0, 21603.5)	(23.0, 30743.5)	(24.0, 43356.5)	(25.0, 57848.5)	(26.0, 80817.5)	(27.0, 111014.0)	(28.0, 138274.0)	(29.0, 165769.5)	(30.0, 198755.5)	(31.0, 235565.0)	(32.0, 271513.0)	(33.0, 305536.0)	(34.0, 344347.5)	(35.0, 393702.5)	(36.0, 446102.5)	(37.0, 489119.0)	(38.0, 520185.0)	(39.0, 548103.0)	(40.0, 583001.0)	(41.0, 622642.0)	(42.0, 640023.5)	(43.0, 644984.5)	(44.0, 640555.5)	(45.0, 640528.5)	(46.0, 648055.5)	(47.0, 640725.5)	(48.0, 624845.5)	(49.0, 610135.5)	(50.0, 602482.5)	(51.0, 587844.0)	(52.0, 564114.5)	(53.0, 548189.0)	(54.0, 528474.5)	(55.0, 509044.5)	(56.0, 492245.0)	(57.0, 471648.5)	(58.0, 466067.0)	(59.0, 461318.5)	(60.0, 444705.5)	(61.0, 411978.5)	(62.0, 373998.5)	(63.0, 332939.0)	(64.0, 297821.0)	(65.0, 257168.0)	(66.0, 209108.0)	(67.0, 177751.0)	(68.0, 143757.5)	(69.0, 105819.0)	(70.0, 78300.5)	(71.0, 59417.0)	(72.0, 46970.5)	(73.0, 38762.0)	(74.0, 31559.5)	(75.0, 23623.5)	(76.0, 16990.0)	(77.0, 13457.0)	(78.0, 10720.0)	(79.0, 7647.5)	(80.0, 4962.0)	(81.0, 3130.0)	(82.0, 1909.0)	(83.0, 1143.5)	(84.0, 680.5)	(85.0, 386.0)	(86.0, 192.0)	(87.0, 94.0)	(88.0, 66.5)	(89.0, 57.5)	(90.0, 36.5)	(91.0, 27.5)	(92.0, 25.5)	(93.0, 16.5)	(94.0, 13.5)	(95.0, 12.5)	(96.0, 6.0)	(97.0, 4.0)	(98.0, 3.5)	(99.0, 1.5)	(100.0, 0.5)
SRR11647703_2	(0.0, 93029.0)	(1.0, 49493.0)	(2.0, 4420.5)	(3.0, 2409.5)	(4.0, 1729.0)	(5.0, 1469.5)	(6.0, 1334.0)	(7.0, 1254.5)	(8.0, 1273.0)	(9.0, 1298.0)	(10.0, 1327.0)	(11.0, 1368.5)	(12.0, 1459.5)	(13.0, 1603.0)	(14.0, 1808.5)	(15.0, 2121.0)	(16.0, 2575.0)	(17.0, 3185.5)	(18.0, 4075.0)	(19.0, 5782.0)	(20.0, 8413.5)	(21.0, 12119.5)	(22.0, 18335.0)	(23.0, 27288.5)	(24.0, 39463.5)	(25.0, 53939.0)	(26.0, 76797.5)	(27.0, 106109.0)	(28.0, 133353.0)	(29.0, 161869.5)	(30.0, 195320.0)	(31.0, 231922.5)	(32.0, 267534.5)	(33.0, 302985.5)	(34.0, 341677.0)	(35.0, 390575.0)	(36.0, 442156.5)	(37.0, 485282.5)	(38.0, 518574.5)	(39.0, 546198.5)	(40.0, 579841.5)	(41.0, 616859.0)	(42.0, 633685.5)	(43.0, 642698.5)	(44.0, 640331.5)	(45.0, 636856.0)	(46.0, 644692.5)	(47.0, 640423.5)	(48.0, 625059.5)	(49.0, 611382.5)	(50.0, 604172.5)	(51.0, 590711.0)	(52.0, 569376.0)	(53.0, 552711.0)	(54.0, 532372.0)	(55.0, 512344.0)	(56.0, 496269.5)	(57.0, 477311.5)	(58.0, 469344.5)	(59.0, 464470.0)	(60.0, 448370.5)	(61.0, 415810.5)	(62.0, 378997.0)	(63.0, 337759.0)	(64.0, 300267.0)	(65.0, 259941.5)	(66.0, 215218.0)	(67.0, 182393.5)	(68.0, 147909.0)	(69.0, 111763.0)	(70.0, 84089.0)	(71.0, 64466.0)	(72.0, 50299.0)	(73.0, 41064.5)	(74.0, 33296.0)	(75.0, 24907.5)	(76.0, 18412.5)	(77.0, 14412.0)	(78.0, 11274.5)	(79.0, 8201.0)	(80.0, 5625.5)	(81.0, 3716.0)	(82.0, 2342.5)	(83.0, 1463.0)	(84.0, 898.0)	(85.0, 574.0)	(86.0, 372.0)	(87.0, 231.0)	(88.0, 150.0)	(89.0, 107.0)	(90.0, 74.0)	(91.0, 58.5)	(92.0, 61.0)	(93.0, 49.0)	(94.0, 39.0)	(95.0, 40.0)	(96.0, 38.0)	(97.0, 34.5)	(98.0, 30.5)	(99.0, 31.5)	(100.0, 36.0)
