Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
SRR11647692_1	(20.0, 81.0)	(21.0, 3151.0)	(22.0, 23384.0)	(23.0, 56224.0)	(24.0, 81340.0)	(25.0, 111131.0)	(26.0, 149709.0)	(27.0, 200690.0)	(28.0, 267015.0)	(29.0, 350729.0)	(30.0, 459271.0)	(31.0, 608052.0)	(32.0, 821561.0)	(33.0, 1150074.0)	(34.0, 1704884.0)	(35.0, 2745049.0)	(36.0, 4977185.0)	(37.0, 6808112.0)	
SRR11647692_2	(19.0, 2.0)	(20.0, 965.0)	(21.0, 26449.0)	(22.0, 149726.0)	(23.0, 296672.0)	(24.0, 367269.0)	(25.0, 422831.0)	(26.0, 484582.0)	(27.0, 554554.0)	(28.0, 635753.0)	(29.0, 738957.0)	(30.0, 871450.0)	(31.0, 1048598.0)	(32.0, 1286163.0)	(33.0, 1616826.0)	(34.0, 2084346.0)	(35.0, 2749518.0)	(36.0, 3713137.0)	(37.0, 3469844.0)
SRR11647693_1	(20.0, 63.0)	(21.0, 2582.0)	(22.0, 19132.0)	(23.0, 46717.0)	(24.0, 68666.0)	(25.0, 94213.0)	(26.0, 126658.0)	(27.0, 170293.0)	(28.0, 226633.0)	(29.0, 298047.0)	(30.0, 392758.0)	(31.0, 521671.0)	(32.0, 705784.0)	(33.0, 989334.0)	(34.0, 1461648.0)	(35.0, 2333872.0)	(36.0, 4160835.0)	(37.0, 5650047.0)	
SRR11647693_2	(19.0, 1.0)	(20.0, 759.0)	(21.0, 20755.0)	(22.0, 115231.0)	(23.0, 227648.0)	(24.0, 283011.0)	(25.0, 329823.0)	(26.0, 380281.0)	(27.0, 436670.0)	(28.0, 504872.0)	(29.0, 590551.0)	(30.0, 700289.0)	(31.0, 849485.0)	(32.0, 1051653.0)	(33.0, 1332556.0)	(34.0, 1733266.0)	(35.0, 2316350.0)	(36.0, 3207152.0)	(37.0, 3188600.0)
SRR11647694_1	(20.0, 69.0)	(21.0, 2355.0)	(22.0, 18181.0)	(23.0, 43845.0)	(24.0, 64015.0)	(25.0, 88292.0)	(26.0, 121380.0)	(27.0, 165691.0)	(28.0, 224314.0)	(29.0, 301817.0)	(30.0, 405173.0)	(31.0, 547496.0)	(32.0, 745200.0)	(33.0, 1043791.0)	(34.0, 1531752.0)	(35.0, 2397422.0)	(36.0, 4188329.0)	(37.0, 5793514.0)	
SRR11647694_2	(19.0, 5.0)	(20.0, 1308.0)	(21.0, 34918.0)	(22.0, 188493.0)	(23.0, 359751.0)	(24.0, 432319.0)	(25.0, 488919.0)	(26.0, 548373.0)	(27.0, 616742.0)	(28.0, 697091.0)	(29.0, 793903.0)	(30.0, 915349.0)	(31.0, 1063365.0)	(32.0, 1252742.0)	(33.0, 1489410.0)	(34.0, 1791963.0)	(35.0, 2177561.0)	(36.0, 2645939.0)	(37.0, 2184485.0)
SRR11647702_1	(20.0, 62.0)	(21.0, 2412.0)	(22.0, 18196.0)	(23.0, 44808.0)	(24.0, 67334.0)	(25.0, 92732.0)	(26.0, 125533.0)	(27.0, 168406.0)	(28.0, 226148.0)	(29.0, 299576.0)	(30.0, 395576.0)	(31.0, 527491.0)	(32.0, 714910.0)	(33.0, 1004765.0)	(34.0, 1490923.0)	(35.0, 2399773.0)	(36.0, 4345699.0)	(37.0, 6122205.0)	
SRR11647702_2	(19.0, 2.0)	(20.0, 1183.0)	(21.0, 28393.0)	(22.0, 144303.0)	(23.0, 271894.0)	(24.0, 333354.0)	(25.0, 382235.0)	(26.0, 435269.0)	(27.0, 494713.0)	(28.0, 570430.0)	(29.0, 661743.0)	(30.0, 778995.0)	(31.0, 936752.0)	(32.0, 1146150.0)	(33.0, 1434327.0)	(34.0, 1833303.0)	(35.0, 2393798.0)	(36.0, 3196591.0)	(37.0, 3003114.0)
SRR11647703_1	(20.0, 68.0)	(21.0, 2955.0)	(22.0, 22073.0)	(23.0, 53377.0)	(24.0, 78204.0)	(25.0, 108117.0)	(26.0, 147481.0)	(27.0, 197007.0)	(28.0, 263424.0)	(29.0, 348323.0)	(30.0, 458240.0)	(31.0, 606232.0)	(32.0, 822720.0)	(33.0, 1147543.0)	(34.0, 1689113.0)	(35.0, 2669936.0)	(36.0, 4657720.0)	(37.0, 5929637.0)	
SRR11647703_2	(19.0, 3.0)	(20.0, 1088.0)	(21.0, 27891.0)	(22.0, 146863.0)	(23.0, 282115.0)	(24.0, 350603.0)	(25.0, 405151.0)	(26.0, 466013.0)	(27.0, 533824.0)	(28.0, 616803.0)	(29.0, 718341.0)	(30.0, 848704.0)	(31.0, 1024204.0)	(32.0, 1256343.0)	(33.0, 1574353.0)	(34.0, 2007001.0)	(35.0, 2601087.0)	(36.0, 3390501.0)	(37.0, 2951282.0)
SRR11647704_1	(20.0, 59.0)	(21.0, 2485.0)	(22.0, 17173.0)	(23.0, 41611.0)	(24.0, 63341.0)	(25.0, 89044.0)	(26.0, 124819.0)	(27.0, 170957.0)	(28.0, 231074.0)	(29.0, 312329.0)	(30.0, 419374.0)	(31.0, 564043.0)	(32.0, 772238.0)	(33.0, 1088305.0)	(34.0, 1599804.0)	(35.0, 2481429.0)	(36.0, 4137033.0)	(37.0, 4962977.0)	
SRR11647704_2	(19.0, 4.0)	(20.0, 1418.0)	(21.0, 33549.0)	(22.0, 156812.0)	(23.0, 283443.0)	(24.0, 344899.0)	(25.0, 399062.0)	(26.0, 457159.0)	(27.0, 526064.0)	(28.0, 607280.0)	(29.0, 707052.0)	(30.0, 835576.0)	(31.0, 1005268.0)	(32.0, 1217494.0)	(33.0, 1490034.0)	(34.0, 1832433.0)	(35.0, 2250714.0)	(36.0, 2734372.0)	(37.0, 2195462.0)
