Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11647692_1	(1.0, 31.71442001863155)	(2.0, 9.687249085113494)	(3.0, 4.650304815986883)	(4.0, 2.851593908655295)	(5.0, 2.1370324213591365)	(6.0, 1.6353280472884015)	(7.0, 1.3218093887489624)	(8.0, 1.1414785695859964)	(9.0, 0.9542040667947419)	('>10', 13.846357986530332)	('>50', 5.3864915483419855)	('>100', 12.384947840976322)	('>500', 4.316733850364286)	('>1k', 6.134239120202374)	('>5k', 1.0524570363759513)	('>10k+', 0.7853522950441816)
SRR11647692_2	(1.0, 35.268036641572905)	(2.0, 9.374501628609316)	(3.0, 4.479687517179793)	(4.0, 2.786062986580238)	(5.0, 2.0866668064945615)	(6.0, 1.5432652474739466)	(7.0, 1.262079234530079)	(8.0, 1.012288862547214)	(9.0, 0.9642402185881116)	('>10', 12.919580308720318)	('>50', 5.3051144211760555)	('>100', 11.817379889573917)	('>500', 3.9174955313494078)	('>1k', 5.557259476290534)	('>5k', 0.8996564951102378)	('>10k+', 0.8066847342034105)
SRR11647693_1	(1.0, 33.266934049199264)	(2.0, 10.909547189376585)	(3.0, 5.0640707666249085)	(4.0, 3.244193408687775)	(5.0, 2.3352691121453155)	(6.0, 1.7820788572216986)	(7.0, 1.3901838841762546)	(8.0, 1.2004808652560386)	(9.0, 1.0278423756471917)	('>10', 14.321391534375108)	('>50', 5.73223632040896)	('>100', 11.985501369852672)	('>500', 3.521566336904859)	('>1k', 3.7633148740252373)	('>5k', 0.21718991404356092)	('>10k+', 0.23819914205465167)
SRR11647693_2	(1.0, 36.21759209159484)	(2.0, 10.6876850547835)	(3.0, 5.109525230110091)	(4.0, 2.9718046628475188)	(5.0, 2.147307053735158)	(6.0, 1.727989621502789)	(7.0, 1.3260400469806914)	(8.0, 1.1479688285739982)	(9.0, 1.0023031317688498)	('>10', 13.709260371029483)	('>50', 5.472522434912806)	('>100', 11.392469933472494)	('>500', 3.2540635744927653)	('>1k', 3.1055609690871577)	('>5k', 0.1164720637902919)	('>10k+', 0.6114349313176737)
SRR11647694_1	(1.0, 39.26253356213474)	(2.0, 10.497948658356492)	(3.0, 4.849437786208584)	(4.0, 2.9774623650418044)	(5.0, 2.1600553317301032)	(6.0, 1.6212882402373219)	(7.0, 1.270417886033638)	(8.0, 1.0690947338384844)	(9.0, 0.960538354925034)	('>10', 13.098609191444652)	('>50', 5.186480217586027)	('>100', 10.3247133877855)	('>500', 3.007294555704054)	('>1k', 3.084871387125813)	('>5k', 0.42988707748780797)	('>10k+', 0.19936726435998156)
SRR11647694_2	(1.0, 43.586983668654156)	(2.0, 10.043480621703573)	(3.0, 4.396280222990398)	(4.0, 2.780314074156226)	(5.0, 1.9282597055839235)	(6.0, 1.5724596671076403)	(7.0, 1.2386243757296747)	(8.0, 1.0378921810713848)	(9.0, 0.9091341900194166)	('>10', 11.979594566498793)	('>50', 4.7265475999900985)	('>100', 9.462831929022835)	('>500', 2.5729136909633024)	('>1k', 2.57529147511884)	('>5k', 0.26064076946117076)	('>10k+', 0.9287512619286777)
SRR11647702_1	(1.0, 31.339033823894397)	(2.0, 10.90199561732576)	(3.0, 5.503500683852665)	(4.0, 3.5321715349699483)	(5.0, 2.5410541799088757)	(6.0, 2.119958744352609)	(7.0, 1.6422474916372176)	(8.0, 1.367026494911304)	(9.0, 1.1800302013464314)	('>10', 14.8860205570682)	('>50', 5.304938893522015)	('>100', 11.265530347560079)	('>500', 3.7110329179767567)	('>1k', 4.144304402511695)	('>5k', 0.305312242824361)	('>10k+', 0.2558418663375178)
SRR11647702_2	(1.0, 34.795797378220406)	(2.0, 10.665795118779675)	(3.0, 5.291199627812058)	(4.0, 3.331999144421175)	(5.0, 2.48481337544164)	(6.0, 1.9846231133023546)	(7.0, 1.5899917275564779)	(8.0, 1.3662179917238102)	(9.0, 1.1091953090587787)	('>10', 13.877637999921197)	('>50', 5.017007549172136)	('>100', 10.60926866782417)	('>500', 3.4485622679398795)	('>1k', 3.4053526172605473)	('>5k', 0.2675865420021175)	('>10k+', 0.7549515695637163)
SRR11647703_1	(1.0, 32.474531311030475)	(2.0, 12.310419376329024)	(3.0, 5.908155250353637)	(4.0, 3.6178827699786273)	(5.0, 2.5694206022599344)	(6.0, 1.8915664734465432)	(7.0, 1.5227351733123167)	(8.0, 1.3443812436821976)	(9.0, 1.1067924088105763)	('>10', 14.461255764780395)	('>50', 5.123023924457274)	('>100', 10.828301355776155)	('>500', 3.2033113820643715)	('>1k', 3.132327437722577)	('>5k', 0.2157461925997582)	('>10k+', 0.2901493333958993)
SRR11647703_2	(1.0, 36.22887556776819)	(2.0, 12.163641383343458)	(3.0, 5.536840169947022)	(4.0, 3.3919644377370837)	(5.0, 2.399065060206114)	(6.0, 1.776801489257217)	(7.0, 1.490713786938103)	(8.0, 1.274163392899724)	(9.0, 1.09521418985339)	('>10', 13.347550688258425)	('>50', 4.962775269501219)	('>100', 10.04374693766823)	('>500', 2.9099801968955274)	('>1k', 2.6580810150596585)	('>5k', 0.1324724824386993)	('>10k+', 0.5881139322279526)
SRR11647704_1	(1.0, 32.861440132070854)	(2.0, 11.037146356394729)	(3.0, 5.275515261927913)	(4.0, 3.2930227842347475)	(5.0, 2.3591162429625587)	(6.0, 1.8106483062790533)	(7.0, 1.4580188001503644)	(8.0, 1.272197539340581)	(9.0, 1.1240667587145334)	('>10', 14.008542101439463)	('>50', 5.180559745766477)	('>100', 11.393264927690346)	('>500', 3.8401289483601864)	('>1k', 4.5018237000855565)	('>5k', 0.3508433763820491)	('>10k+', 0.23366501820058214)
SRR11647704_2	(1.0, 36.985165826020996)	(2.0, 10.48957069492129)	(3.0, 5.107799993350484)	(4.0, 3.1512787127930784)	(5.0, 2.2002896729080836)	(6.0, 1.7857648549610299)	(7.0, 1.4722795760825491)	(8.0, 1.1487340418164265)	(9.0, 0.9908845987932479)	('>10', 12.993443015221468)	('>50', 4.940639219448492)	('>100', 10.5161438138471)	('>500', 3.4325214112621967)	('>1k', 3.9638508694197547)	('>5k', 0.4114545129771817)	('>10k+', 0.4101791861764954)
