Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR11647692_1	59.1793646088181	46.0	125.0	125	9.090909090909092	20.517642
SRR11647692_2	55.95579589830912	46.0	125.0	125	9.090909090909092	20.517642
SRR11647693_1	56.66236263911025	47.0	125.0	125	9.090909090909092	17.268953
SRR11647693_2	53.97903524161953	47.0	125.0	125	9.090909090909092	17.268953
SRR11647694_1	51.190292394585526	46.0	125.0	125	9.090909090909092	17.682636
SRR11647694_2	47.433105428582955	46.0	125.0	125	0.0	17.682636
SRR11647702_1	58.155803691596425	47.0	125.0	125	9.090909090909092	18.046549
SRR11647702_2	55.05697854829262	47.0	125.0	125	9.090909090909092	18.046549
SRR11647703_1	56.25858582439972	47.0	125.0	125	9.090909090909092	19.20217
SRR11647703_2	52.89418273991113	47.0	125.0	125	9.090909090909092	19.20217
SRR11647704_1	56.891269581578186	48.0	125.0	125	9.090909090909092	17.078094999999998
SRR11647704_2	53.26526453905727	48.0	125.0	125	9.090909090909092	17.078094999999998
