Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
SRR11647692_1_val_1 - polya	(1, 0.17287351875790757)	(2, 0.18497096077767544)	(3, 0.1882463358934224)	(4, 0.19482145647547996)	(5, 0.19828204625551027)	(6, 0.20151355474024277)	(7, 0.20473531508474985)	(8, 0.2111008506519605)	(9, 0.21818774859585352)	(10, 0.2272486449353976)	(12, 0.23420881705635993)	(14, 0.24123235208878763)	(16, 0.2480511761764811)	(18, 0.2540779638708578)	(20, 0.26170832063231897)	(22, 0.2686221890872105)	(24, 0.2751388208279154)	(26, 0.2810778752602632)	(28, 0.2858910194965729)	(30, 0.29046289726230307)	(32, 0.2951883082365839)	(34, 0.2996017787236507)	(36, 0.30321590171223156)	(38, 0.3068763283668834)	(40, 0.3107999548076219)	(42, 0.31478450712476946)	(44, 0.3188762889843968)	(46, 0.32394288486656797)	(48, 0.32847333303633997)	(50, 0.33285999613778683)	(52, 0.3374367479736297)	(54, 0.34206224051059975)	(56, 0.34627343708798874)	(58, 0.35067715943483013)	(60, 0.3556706442653105)	(62, 0.3605910180441)	(64, 0.3647510368853054)	(66, 0.36892567793684905)	(68, 0.3730467042171527)	(70, 0.3778695965936879)	(72, 0.3824512224996435)	(74, 0.38641627853634014)	(76, 0.3902716679955006)	(78, 0.3940588204730831)	(80, 0.397950765458089)	(82, 0.40178422160174226)	(84, 0.40587600346136965)	(86, 0.4106623403120594)	(88, 0.4149125294503501)	(90, 0.42014971778646637)	(92, 0.42493849167221254)	(94, 0.4300148356946091)	(96, 0.4352422758904999)	(98, 0.4400213016360206)	(100, 0.44523655665662965)	(102, 0.4501569304354192)	(104, 0.454197534558863)	(106, 0.4576776206193442)	(108, 0.4616889803221117)	(110, 0.4653469699417071)	(112, 0.4686613376183558)	(114, 0.470737691486374)
SRR11647692_2_val_2 - polya	(1, 0.505567796511862)	(2, 0.5492102203011454)	(3, 0.565280029462779)	(4, 0.5821735564734621)	(5, 0.5946073093310076)	(6, 0.6045699086414046)	(7, 0.6124025393125436)	(8, 0.6242026630554356)	(9, 0.6358175721340443)	(10, 0.6508004636605417)	(12, 0.664182223155011)	(14, 0.6782755968859371)	(16, 0.6936386658812266)	(18, 0.7092235050666447)	(20, 0.7291413925822696)	(22, 0.7450747277807472)	(24, 0.7593801235615767)	(26, 0.7717334542622623)	(28, 0.7823418678625945)	(30, 0.7925408595734584)	(32, 0.801977059311682)	(34, 0.8112621628764111)	(36, 0.8194140451399331)	(38, 0.827768201313133)	(40, 0.8367145570050283)	(42, 0.8454586387872456)	(44, 0.8562035263507339)	(46, 0.8691977972712421)	(48, 0.8808370767004144)	(50, 0.8930441852977185)	(52, 0.906123752445199)	(54, 0.9194324008879776)	(56, 0.9314859762767309)	(58, 0.9431276927409596)	(60, 0.9557954009639156)	(62, 0.9684484869765334)	(64, 0.9803363439814543)	(66, 0.9935207036363585)	(68, 1.0100145568977987)	(70, 1.0278439053701236)	(72, 1.0418641680493592)	(74, 1.0535570622497714)	(76, 1.0658250967234844)	(78, 1.0777275759387435)	(80, 1.0884700264671756)	(82, 1.0994586175363)	(84, 1.1123822144401736)	(86, 1.1293634747128856)	(88, 1.1460474167087218)	(90, 1.1663771631488715)	(92, 1.185144770117895)	(94, 1.2058303236762733)	(96, 1.2243322938241534)	(98, 1.2408285841206501)	(100, 1.259350050548981)	(102, 1.2757707927587305)	(104, 1.2883458936495449)	(106, 1.298642366762663)	(108, 1.309723565163929)	(110, 1.3206707266370952)	(112, 1.3330386795481193)	(114, 1.3399452368978415)
SRR11647693_1_val_1 - polya	(1, 0.1988959324200891)	(2, 0.21023461045184053)	(3, 0.2132806495962232)	(4, 0.21934956408921374)	(5, 0.2221350105311302)	(6, 0.22473514660684848)	(7, 0.22733528268256675)	(8, 0.23345052476710684)	(9, 0.2401274888991852)	(10, 0.24815953508408778)	(12, 0.2540865713279578)	(14, 0.2603118414424281)	(16, 0.26667030338260334)	(18, 0.27272184502876273)	(20, 0.2794335548545033)	(22, 0.2858528217585873)	(24, 0.2935403064813401)	(26, 0.30169975354300393)	(28, 0.3066857605835238)	(30, 0.31169203594534667)	(32, 0.31667804298586655)	(34, 0.32042478695243615)	(36, 0.3239543703336172)	(38, 0.3274434170721924)	(40, 0.33115541534509974)	(42, 0.334548911426104)	(44, 0.3381219269243627)	(46, 0.3428241774666417)	(48, 0.3470313018742348)	(50, 0.3508707010239035)	(52, 0.35463192236283225)	(54, 0.358865106040672)	(56, 0.36259737263488234)	(58, 0.36620513382680325)	(60, 0.3707104921049966)	(62, 0.37511161330220355)	(64, 0.37872806091753997)	(66, 0.3822142121816433)	(68, 0.3857466910372962)	(70, 0.38981483267024075)	(72, 0.39347471240265486)	(74, 0.39690005870284945)	(76, 0.40026170456466337)	(78, 0.403762333201126)	(80, 0.40679389497314944)	(82, 0.4098659933877787)	(84, 0.4132276392495926)	(86, 0.417298676357009)	(88, 0.4211670302513961)	(90, 0.4253365134908552)	(92, 0.42951468315373)	(94, 0.43354518361854044)	(96, 0.43751198364497035)	(98, 0.44142956060537886)	(100, 0.44527475070399114)	(102, 0.4494094882497882)	(104, 0.4528232526520954)	(106, 0.45564054931320214)	(108, 0.45918750554121424)	(110, 0.4624507052709854)	(112, 0.4648249943378997)	(114, 0.46533170237047283)
SRR11647693_2_val_2 - polya	(1, 0.7078103165407975)	(2, 0.7462737994248082)	(3, 0.7610117644865075)	(4, 0.7764967619619434)	(5, 0.7876501296274966)	(6, 0.7964639539197977)	(7, 0.8031988275413131)	(8, 0.8140800206065127)	(9, 0.8246716662245277)	(10, 0.8381703682122768)	(12, 0.8498246529614595)	(14, 0.8624054895416331)	(16, 0.8757652087547334)	(18, 0.8885834742415986)	(20, 0.9042103499661548)	(22, 0.918537157652852)	(24, 0.9327886830032811)	(26, 0.9468780617832868)	(28, 0.9574262752842242)	(30, 0.9682119176918529)	(32, 0.9780536354216596)	(34, 0.9867053131435373)	(36, 0.9940771911488588)	(38, 1.0014490691541804)	(40, 1.00964905285845)	(42, 1.0178142908690575)	(44, 1.027149300566291)	(46, 1.0389078223964603)	(48, 1.0490709377926422)	(50, 1.0595004368402337)	(52, 1.0706190588121247)	(54, 1.0822357023931732)	(56, 1.0923524901978054)	(58, 1.102217371723387)	(60, 1.113017491503375)	(62, 1.1242027093881184)	(64, 1.133763566094156)	(66, 1.1443262569674526)	(68, 1.1565683230344201)	(70, 1.1701770530520994)	(72, 1.1818950382396627)	(74, 1.192350596557501)	(76, 1.203185462031151)	(78, 1.2138465990364904)	(80, 1.2229644481483355)	(82, 1.2328582844186353)	(84, 1.2442809312100702)	(86, 1.258257386485674)	(88, 1.2717995205905006)	(90, 1.2883008296055547)	(92, 1.3047442291311717)	(94, 1.3212050015036199)	(96, 1.3366349849640906)	(98, 1.349409818333878)	(100, 1.363588956822511)	(102, 1.3764940865435316)	(104, 1.3870480909934124)	(106, 1.3957663646281426)	(108, 1.4059265845498525)	(110, 1.4156640651986727)	(112, 1.4257316299372835)	(114, 1.4276078973950401)
SRR11647694_1_val_1 - polya	(1, 0.26951716014333454)	(2, 0.2834918307559369)	(3, 0.28725837491943074)	(4, 0.29418067230098693)	(5, 0.2974325685382376)	(6, 0.30115952439971266)	(7, 0.3045584629016042)	(8, 0.311673046321537)	(9, 0.31979995917880516)	(10, 0.32994021996731027)	(12, 0.33759772867207094)	(14, 0.34554083869853797)	(16, 0.3529834394780542)	(18, 0.3596512406323473)	(20, 0.36742468650730564)	(22, 0.37462692973885126)	(24, 0.3813795629688987)	(26, 0.38758644317825974)	(28, 0.3929761077245204)	(30, 0.3984251547238091)	(32, 0.40410324832763456)	(34, 0.40900371457037843)	(36, 0.41324531835809664)	(38, 0.41738512365490965)	(40, 0.421680454423939)	(42, 0.42574956632429006)	(44, 0.43004772482917786)	(46, 0.4353921456017029)	(48, 0.43999287184344793)	(50, 0.4446077367644854)	(52, 0.44928763961026785)	(54, 0.4541145847206912)	(56, 0.45863896209425736)	(58, 0.46311809569408785)	(60, 0.4682165034469252)	(62, 0.4729840661043205)	(64, 0.4771182159294165)	(66, 0.4812919540565313)	(68, 0.48537803237203325)	(70, 0.48988827106630695)	(72, 0.49405635372170476)	(74, 0.4975825403372278)	(76, 0.5017675894077765)	(78, 0.5056246211187416)	(80, 0.5093487492443582)	(82, 0.5134913822770297)	(84, 0.5175350445546545)	(86, 0.5220763883433714)	(88, 0.5266460094906733)	(90, 0.5313400510157482)	(92, 0.5358644283893144)	(94, 0.5403492174608617)	(96, 0.5448764225702863)	(98, 0.5493159678680981)	(100, 0.5543069216583133)	(102, 0.5590151018626806)	(104, 0.5630361422534373)	(106, 0.5663870092457348)	(108, 0.5697407039738906)	(110, 0.5730548104000279)	(112, 0.5758627521074974)	(114, 0.5764000219206084)
SRR11647694_2_val_2 - polya	(1, 1.0265868815338726)	(2, 1.0645407522263755)	(3, 1.0794994749177285)	(4, 1.0969296387493919)	(5, 1.1082009938812887)	(6, 1.117374169006194)	(7, 1.1245339961998624)	(8, 1.1365405626549634)	(9, 1.1486376166575358)	(10, 1.1642127857660372)	(12, 1.1777123967544152)	(14, 1.191435398875613)	(16, 1.2058002970366855)	(18, 1.2203518257644177)	(20, 1.238293809786466)	(22, 1.252715262664708)	(24, 1.2663449495025758)	(26, 1.2780348095415275)	(28, 1.2893909967491783)	(30, 1.300232536030586)	(32, 1.3098072496473954)	(34, 1.3193819632642048)	(36, 1.3273759725361245)	(38, 1.335132451995932)	(40, 1.343624142778944)	(42, 1.3521950101659932)	(44, 1.361896971896434)	(46, 1.3738243617474977)	(48, 1.38488080895415)	(50, 1.396319000501697)	(52, 1.40887980318506)	(54, 1.4211352103957071)	(56, 1.4325196749619429)	(58, 1.443397974809511)	(60, 1.4549266539045291)	(62, 1.4662658746970294)	(64, 1.4765899383163354)	(66, 1.4881299283547877)	(68, 1.5019292793441643)	(70, 1.5174507214713548)	(72, 1.5300454569850195)	(74, 1.5406296723033057)	(76, 1.5516125983776377)	(78, 1.5626153186029788)	(80, 1.5719864352379775)	(82, 1.5818128173461914)	(84, 1.5930502396477864)	(86, 1.6080287564901488)	(88, 1.6221928854052692)	(90, 1.6398973396152052)	(92, 1.6565951198595226)	(94, 1.6744692382209672)	(96, 1.6903695969531938)	(98, 1.7042113639804477)	(100, 1.7194783098803748)	(102, 1.7344822763454637)	(104, 1.7460505437425007)	(106, 1.7553735888679052)	(108, 1.7652508702215717)	(110, 1.7747209576116174)	(112, 1.7838771663213717)	(114, 1.7856586399122134)
SRR11647702_1_val_1 - polya	(1, 0.17697315668630242)	(2, 0.18913077106064038)	(3, 0.1926693467772588)	(4, 0.1984486506906074)	(5, 0.20152687878265008)	(6, 0.20459956051777017)	(7, 0.2074282025482959)	(8, 0.21330734088625125)	(9, 0.2198575884118412)	(10, 0.22825754597111803)	(12, 0.23497418420438593)	(14, 0.24141350459152383)	(16, 0.24700977872642665)	(18, 0.252231673769054)	(20, 0.2579998849685574)	(22, 0.2630026989127421)	(24, 0.26877645646916815)	(26, 0.27424793757331245)	(28, 0.27856023008063346)	(30, 0.2831193354710102)	(32, 0.287975170956746)	(34, 0.2919241770856368)	(36, 0.2952963620945772)	(38, 0.2987240106727437)	(40, 0.30234855492166246)	(42, 0.30575956442906105)	(44, 0.30962814838257413)	(46, 0.31454499379445855)	(48, 0.3189654402617703)	(50, 0.3226787262214506)	(52, 0.3265473101749637)	(54, 0.33085960268228476)	(56, 0.33465331081734273)	(58, 0.3385856778754658)	(60, 0.34271771378280236)	(62, 0.34700504768397167)	(64, 0.3510095173820885)	(66, 0.35462851527408457)	(68, 0.35828633766453893)	(70, 0.3625570324949405)	(72, 0.3664533482330666)	(74, 0.36982276006354575)	(76, 0.3736386536262941)	(78, 0.3774822789736555)	(80, 0.3806769805610728)	(82, 0.38400202153617113)	(84, 0.3875988340004769)	(86, 0.3915755719139806)	(88, 0.39533600190750307)	(90, 0.39959005766713684)	(92, 0.403644444577557)	(94, 0.40790681987257466)	(96, 0.41220247330912796)	(98, 0.4160904695118701)	(100, 0.41994796075153806)	(102, 0.4239025132373514)	(104, 0.4273911717416664)	(106, 0.4307605835721456)	(108, 0.4346263943471974)	(110, 0.438231526346887)	(112, 0.44158707228505967)	(114, 0.4435643485279664)
SRR11647702_2_val_2 - polya	(1, 0.790993692516517)	(2, 0.8332569322667245)	(3, 0.8492859037730368)	(4, 0.8665905373715471)	(5, 0.8783876385459161)	(6, 0.8869512136344095)	(7, 0.8935735637999933)	(8, 0.9050267908451611)	(9, 0.9155870544257904)	(10, 0.9297274913999576)	(12, 0.9421235991219674)	(14, 0.9549717349331689)	(16, 0.9676701191074604)	(18, 0.9798998361217921)	(20, 0.9945865892528354)	(22, 1.0072211903225168)	(24, 1.0195063709060745)	(26, 1.0299640268836359)	(28, 1.0394538435782033)	(30, 1.049897633663458)	(32, 1.0598561175179853)	(34, 1.0687885253418317)	(36, 1.0768113306303717)	(38, 1.0841380681251256)	(40, 1.0927820653889968)	(42, 1.102083305948196)	(44, 1.1111100018397266)	(46, 1.121531606497291)	(48, 1.1310241963703198)	(50, 1.1410852878279152)	(52, 1.1519977450731296)	(54, 1.1626412040075977)	(56, 1.172255813732924)	(58, 1.181620837396733)	(60, 1.1916236921066412)	(62, 1.2025195102810877)	(64, 1.212810775550971)	(66, 1.224125343673074)	(68, 1.2379413187672688)	(70, 1.2540174343074235)	(72, 1.26561763981104)	(74, 1.2751490541825272)	(76, 1.2853155264216518)	(78, 1.2954237619130895)	(80, 1.304145408173877)	(82, 1.3130500842131103)	(84, 1.323779511679879)	(86, 1.3368578213033682)	(88, 1.3496366276530374)	(90, 1.3654492912393685)	(92, 1.3809985028718759)	(94, 1.3957518122859904)	(96, 1.4098534247616994)	(98, 1.4225989529698329)	(100, 1.4358935705133038)	(102, 1.449609711182892)	(104, 1.460555446569642)	(106, 1.470286529790343)	(108, 1.4810270499709564)	(110, 1.4922417836684525)	(112, 1.5038198037443788)	(114, 1.5102175264545972)
SRR11647703_1_val_1 - polya	(1, 0.1652323791685796)	(2, 0.17698221408470166)	(3, 0.18047850642559654)	(4, 0.18700213982470287)	(5, 0.1903056410827168)	(6, 0.19338508783900424)	(7, 0.1964384817462537)	(8, 0.2030715371113195)	(9, 0.21018917546849145)	(10, 0.21916438196207028)	(12, 0.22584433245540442)	(14, 0.232493019529893)	(16, 0.2389098362479437)	(18, 0.24492022852100215)	(20, 0.25174086439914134)	(22, 0.257313568808362)	(24, 0.2627507984025852)	(26, 0.26772168199902885)	(28, 0.2719604805375057)	(30, 0.276462412851266)	(32, 0.2811388992535807)	(34, 0.28540375064109547)	(36, 0.289147545047851)	(38, 0.29312060452614064)	(40, 0.29780230149826287)	(42, 0.3018092296803019)	(44, 0.30651176893165444)	(46, 0.31333501009469744)	(48, 0.31841792094200433)	(50, 0.3225733503635597)	(52, 0.3267001216511733)	(54, 0.3312411332384905)	(56, 0.33562582773158)	(58, 0.33984899456063405)	(60, 0.3442284784839159)	(62, 0.3486157782619092)	(64, 0.3528571820852898)	(66, 0.35740079895751087)	(68, 0.361405121854646)	(70, 0.36599823914003926)	(72, 0.3704715133198577)	(74, 0.3742804398492082)	(76, 0.37815449850115357)	(78, 0.3825313771395316)	(80, 0.3860641434690796)	(82, 0.3896959106249719)	(84, 0.3936898123824919)	(86, 0.3983376406508648)	(88, 0.4024357538045366)	(90, 0.40721124103319556)	(92, 0.4114526448565762)	(94, 0.41587902390812637)	(96, 0.4201412700107374)	(98, 0.4240700396456625)	(100, 0.4280743625427977)	(102, 0.4319796846135886)	(104, 0.43541866068659996)	(106, 0.4383704484826013)	(108, 0.4419448993706101)	(110, 0.44556624538688716)	(112, 0.4484945856187544)	(114, 0.45021407365526006)
SRR11647703_2_val_2 - polya	(1, 0.6146283933640475)	(2, 0.6534627701400377)	(3, 0.667630309446883)	(4, 0.683501705080811)	(5, 0.6946314821898295)	(6, 0.703150763825244)	(7, 0.710190243635302)	(8, 0.7220286582381532)	(9, 0.7339869159465789)	(10, 0.7497254420504134)	(12, 0.7632468707011171)	(14, 0.7777869657492051)	(16, 0.7919883737597997)	(18, 0.8063747569985638)	(20, 0.8237910865804432)	(22, 0.8382243649474757)	(24, 0.8518421891396197)	(26, 0.863870789540448)	(28, 0.8748364337005274)	(30, 0.8863960828186723)	(32, 0.8964029821341546)	(34, 0.9057455337991687)	(36, 0.9146972927286133)	(38, 0.9231644686659519)	(40, 0.9329447081948038)	(42, 0.9428578172537494)	(44, 0.9537661451459452)	(46, 0.9680691592677878)	(48, 0.9802436556232287)	(50, 0.9918892791431989)	(52, 1.0039126689742197)	(54, 1.01586050554303)	(56, 1.026919939959646)	(58, 1.0381200597610674)	(60, 1.050078317469493)	(62, 1.062409130919162)	(64, 1.073630092999813)	(66, 1.0861953820908234)	(68, 1.1007771616973723)	(70, 1.1172086935856167)	(72, 1.1309489661682393)	(74, 1.1421126119810072)	(76, 1.1540083428517418)	(78, 1.165833731030074)	(80, 1.1767264272128468)	(82, 1.1871267245488024)	(84, 1.2000150689678835)	(86, 1.216253809773247)	(88, 1.2315285951642057)	(90, 1.2494216918834797)	(92, 1.2668875218785314)	(94, 1.2855231247953873)	(96, 1.3016368119253685)	(98, 1.3165859367033526)	(100, 1.332274962394015)	(102, 1.3479639880846772)	(104, 1.3605865934435712)	(106, 1.3714480262074988)	(108, 1.3835834432893828)	(110, 1.3965499462555777)	(112, 1.4106731957190584)	(114, 1.4188173163283262)
