Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647692_1_val_1	(1, 0.022045419119826774)	(2, 0.00035093304811574787)	(3, 5.848884135262464e-05)	(4, 3.8992560901749765e-05)	(5, 1.462221033815616e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.4371600816672846e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 2.437571122231419e-06)	(46, 1.9501965152084733e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.926629615047969e-05)	(56, 0.0)	(58, 0.0)	(60, 9.7607844039649e-06)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 4.885671858539866e-06)	(70, 2.4436790027248246e-06)	(72, 0.0)	(74, 1.4672416656332802e-05)	(76, 9.78497134079744e-06)	(78, 6.117753740933e-05)	(80, 0.00011750434576358767)	(82, 0.0010897943793107948)	(84, 0.0008280882842069551)	(86, 0.0013186179168557482)	(88, 0.0014491592987991397)	(90, 0.0015945745606382852)	(92, 0.0)	(94, 0.0)	(96, 1.2284816391994141e-05)	(98, 0.00040810440274338596)	(100, 0.0)	(102, 4.677514084425732e-05)	(104, 0.0001034795261692207)	(106, 0.00011343711168596327)	(108, 0.00033819962269758877)	(110, 0.0003534526927422642)	(112, 0.00030448504239508626)	(114, 0.00040679897009414894)	(116, 0.0002686653578185985)	(118, 0.0)	(120, 0.0)	(122, 0.0008952058194660411)	(124, 0.0)
SRR11647692_2_val_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 1.484283258539063e-05)	(106, 4.957919411102299e-06)	(108, 5.964420887411889e-05)	(110, 8.225694922286003e-05)	(112, 0.00035528640525343494)	(114, 0.0001483364357856975)	(116, 0.0001012295057385868)	(118, 7.664605254051134e-06)	(120, 8.569938069991775e-05)	(122, 0.000124858021500877)	(124, 0.0)
SRR11647693_1_val_1	(1, 0.022353062922656028)	(2, 0.00033587503873420976)	(3, 7.528233626801253e-05)	(4, 6.949138732431927e-05)	(5, 4.632759154954617e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.7373325222306897e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 8.687815260906242e-06)	(46, 3.185718251312914e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 3.186966673802575e-05)	(56, 0.0)	(58, 0.0)	(60, 2.0290669639926125e-05)	(62, 0.0)	(64, 0.0)	(66, 5.801377316591487e-06)	(68, 8.704488364971537e-06)	(70, 5.804742509458683e-06)	(72, 0.0)	(74, 2.3233884948357465e-05)	(76, 8.7156663754472e-06)	(78, 4.649936099706255e-05)	(80, 0.00013664022842990086)	(82, 0.0010266286234355583)	(84, 0.0008175375478121271)	(86, 0.0012806438052537772)	(88, 0.001409307140059535)	(90, 0.001482781944796407)	(92, 0.0)	(94, 0.0)	(96, 1.4587634558164618e-05)	(98, 0.0004904329235328371)	(100, 0.0)	(102, 4.969372587479227e-05)	(104, 0.00015212317436832167)	(106, 0.0001112667772365625)	(108, 0.000304838076315802)	(110, 0.00031109105649897834)	(112, 0.0003145163400056848)	(114, 0.0003829008046572048)	(116, 0.0002481342959526106)	(118, 0.0)	(120, 0.0)	(122, 0.0008478193728590037)	(124, 0.0)
SRR11647693_2_val_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 8.809810981394149e-06)	(106, 1.1769249504970655e-05)	(108, 6.19328133965512e-05)	(110, 7.393599887002134e-05)	(112, 0.0003947227995331706)	(114, 0.00012819834752926307)	(116, 0.00010799332709231896)	(118, 1.8160150370887778e-05)	(120, 7.98987964967205e-05)	(122, 0.00014502868264485263)	(124, 4.413443826547597e-06)
SRR11647694_1_val_1	(1, 0.02179053252543789)	(2, 0.00035063924645137534)	(3, 7.352113232044966e-05)	(4, 6.221018888653433e-05)	(5, 2.8277358584788328e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 5.655622047447163e-06)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 2.262712775963632e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.5465608229216955e-05)	(56, 0.0)	(58, 0.0)	(60, 8.492686084589475e-06)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 2.8336366269069664e-06)	(70, 0.0)	(72, 0.0)	(74, 1.7018217178942895e-05)	(76, 2.8372950862929253e-05)	(78, 4.825029939310773e-05)	(80, 0.00012492785771125862)	(82, 0.0009969580282658335)	(84, 0.0007586685985532673)	(86, 0.0013303506190223764)	(88, 0.0013735942627783086)	(90, 0.0015222151798825864)	(92, 0.0)	(94, 0.0)	(96, 8.549668443857746e-06)	(98, 0.00041349449846995627)	(100, 2.8536222211105777e-06)	(102, 6.568306561486946e-05)	(104, 0.00010575217218534377)	(106, 0.00010585194162786097)	(108, 0.00031217704711673853)	(110, 0.0003527432657367303)	(112, 0.00031310665311709595)	(114, 0.0004173922935738196)	(116, 0.00028294913027933637)	(118, 0.0)	(120, 0.0)	(122, 0.0009446655740644322)	(124, 0.0)
SRR11647694_2_val_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 5.767924278920784e-06)	(106, 1.7352124257173635e-05)	(108, 4.932751937911394e-05)	(110, 8.448190611688911e-05)	(112, 0.000368886313190628)	(114, 0.00012668653661517852)	(116, 0.00010398629377459016)	(118, 1.5033374241149092e-05)	(120, 7.97339339956361e-05)	(122, 0.00013328324483976038)	(124, 0.0)
SRR11647702_1_val_1	(1, 0.02224643761654629)	(2, 0.00031059598766556776)	(3, 4.4370855380795394e-05)	(4, 7.764899691639194e-05)	(5, 1.6639070767798273e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.6642202167197494e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 1.6646816724956883e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 1.6654383133861934e-05)	(56, 0.0)	(58, 0.0)	(60, 1.110871471448687e-05)	(62, 0.0)	(64, 0.0)	(66, 5.5583738054742035e-06)	(68, 0.0)	(70, 5.561639371067573e-06)	(72, 5.563439258064191e-06)	(74, 2.2261265389873644e-05)	(76, 5.56733355899592e-06)	(78, 2.7846566532269855e-05)	(80, 0.00011700017892670221)	(82, 0.0010171914835935653)	(84, 0.0007834174010833073)	(86, 0.001246759540862251)	(88, 0.001384107763951583)	(90, 0.0014545907750355593)	(92, 0.0)	(94, 0.0)	(96, 2.7964244134450857e-06)	(98, 0.0003777449783212157)	(100, 0.0)	(102, 6.164152098883983e-05)	(104, 0.00013459763509151028)	(106, 0.00010945912653076484)	(108, 0.00031186666132466235)	(110, 0.00033757701397602594)	(112, 0.00031555798046836974)	(114, 0.00040936358501994654)	(116, 0.00030865104711141976)	(118, 0.0)	(120, 0.0)	(122, 0.0009996700492019694)	(124, 0.0)
SRR11647702_2_val_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 5.641102562521609e-06)	(106, 1.9788521204658457e-05)	(108, 5.385774830732184e-05)	(110, 9.100121671470535e-05)	(112, 0.0003797492678334182)	(114, 0.0001636094753193384)	(116, 9.829762108481659e-05)	(118, 1.460754436428084e-05)	(120, 8.929861740438983e-05)	(122, 0.0001729341568604615)	(124, 0.0)
SRR11647703_1_val_1	(1, 0.0212434931055564)	(2, 0.0004637407128757713)	(3, 6.252683769111524e-05)	(4, 7.29479773063011e-05)	(5, 4.168455846074349e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 7.816783149329298e-06)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 2.6061409541759627e-06)	(46, 1.5637903306413118e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.3467830949219003e-05)	(56, 0.0)	(58, 0.0)	(60, 1.3044992727807904e-05)	(62, 0.0)	(64, 0.0)	(66, 7.833175503550465e-06)	(68, 2.611873871148113e-06)	(70, 5.225499643986709e-06)	(72, 2.61369125709297e-06)	(74, 1.0458697284014893e-05)	(76, 1.307843806306763e-05)	(78, 4.7100671090361694e-05)	(80, 0.00013612329189155694)	(82, 0.0009454046863684115)	(84, 0.000806950611452416)	(86, 0.0012083387852740565)	(88, 0.0014501816450850093)	(90, 0.001597819241726412)	(92, 0.0)	(94, 0.0)	(96, 7.884037166297286e-06)	(98, 0.00043915331031398617)	(100, 0.0)	(102, 7.110234521605382e-05)	(104, 0.000144956928684222)	(106, 0.00010024736036169248)	(108, 0.00036974111598591297)	(110, 0.0003067683572036139)	(112, 0.00029403453984005106)	(114, 0.00035308508089431403)	(116, 0.00022106392420266705)	(118, 0.0)	(120, 0.0)	(122, 0.0007712544569148408)	(124, 0.0)
SRR11647703_2_val_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 1.3248139318704897e-05)	(106, 1.3278541468008623e-05)	(108, 6.391128261822157e-05)	(110, 8.014837494628056e-05)	(112, 0.00043725749310461034)	(114, 0.00016181364181773678)	(116, 0.0001140964879769875)	(118, 2.1963840216027548e-05)	(120, 0.00010351970638901526)	(122, 0.00016567087132435135)	(124, 4.1485637174582516e-06)
SRR11647704_1_val_1	(1, 0.02165986639430425)	(2, 0.0003456673295277118)	(3, 8.202275615911805e-05)	(4, 5.8587682970798615e-05)	(5, 2.9293841485399308e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.9298125034260496e-06)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 2.9304474130918675e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 3.2246305489479134e-05)	(56, 0.0)	(58, 0.0)	(60, 5.865282381820792e-06)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 2.9349759885211916e-06)	(70, 2.935723795362437e-06)	(72, 2.9365131150255092e-06)	(74, 2.056114779611519e-05)	(76, 1.7628952851953228e-05)	(78, 5.290286390535466e-05)	(80, 0.00013817848244099875)	(82, 0.001046979622600314)	(84, 0.0008178698321328054)	(86, 0.0013008240720496435)	(88, 0.001407335012419437)	(90, 0.0015787632775538004)	(92, 0.0)	(94, 0.0)	(96, 1.7698470276967788e-05)	(98, 0.00035712608655242905)	(100, 0.0)	(102, 4.728634595530034e-05)	(104, 9.169139327201684e-05)	(106, 0.00010657885516368781)	(108, 0.00029934140741082784)	(110, 0.0003116115361558414)	(112, 0.00029132024700984294)	(114, 0.00038433040259056565)	(116, 0.00026903312990542676)	(118, 0.0)	(120, 0.0)	(122, 0.0008734179149976393)	(124, 0.0)
SRR11647704_2_val_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 5.964994785998058e-06)	(106, 1.196142631396567e-05)	(108, 3.599770442638873e-05)	(110, 4.817842639322599e-05)	(112, 0.00036000906738804014)	(114, 0.00015219011004136346)	(116, 0.00011662573512576858)	(118, 2.4848985724972106e-05)	(120, 6.02742790585551e-05)	(122, 9.088866697093051e-05)	(124, 4.765534737793607e-06)
