Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647692_1_val_1	(1, 32.552857633188594)	(2, 32.719384576512034)	(3, 32.78761380831862)	(4, 32.73357967208621)	(5, 32.76467692177517)	(6, 36.210113559009926)	(7, 36.69150864850127)	(8, 36.876997527969124)	(9, 36.9808917442708)	(10, 37.011428768341005)	(12, 37.023266154349905)	(14, 37.030877404756524)	(16, 37.022253907468894)	(18, 37.01023269590569)	(20, 36.981622912823795)	(22, 36.96324900258506)	(24, 36.96135495048982)	(26, 36.92358332478126)	(28, 36.929015046936)	(30, 36.89175355789047)	(32, 36.88455966311897)	(34, 36.871736304153956)	(36, 36.834234214280826)	(38, 36.72123234164072)	(40, 36.61734064674772)	(42, 36.5510888743059)	(44, 36.48123364803393)	(46, 36.40374327007592)	(48, 36.36265010685414)	(50, 36.335941537168154)	(52, 36.28501213689296)	(54, 36.21329639049971)	(56, 36.15071862401385)	(58, 36.11837452074475)	(60, 36.0525270960629)	(62, 35.981479774397954)	(64, 35.92717454675549)	(66, 35.84372685277084)	(68, 35.79722913057056)	(70, 35.73213490739499)	(72, 35.72521242231622)	(74, 35.685778703522644)	(76, 35.617192058002274)	(78, 35.576769222904375)	(80, 35.48663906768719)	(82, 35.41703322077128)	(84, 35.35525153373156)	(86, 35.247602638035445)	(88, 35.17903880276637)	(90, 35.002068070050065)	(92, 34.85545048869421)	(94, 34.77417404799081)	(96, 34.702130053949396)	(98, 34.545360889941634)	(100, 34.40178087124518)	(102, 34.27956329931145)	(104, 34.16975739078994)	(106, 34.02776070277176)	(108, 33.89080752230378)	(110, 33.75463256106221)	(112, 33.58813170716125)	(114, 33.40021459650194)	(116, 33.0684373608719)	(118, 32.9493216437424)	(120, 32.79135141125711)	(122, 32.74070121274035)	(124, 33.86726039050402)
SRR11647692_2_val_2	(1, 31.194512976578046)	(2, 31.46643554476068)	(3, 31.567695764832745)	(4, 31.360842812506124)	(5, 31.382415495565716)	(6, 35.24724524868334)	(7, 35.45455290301078)	(8, 35.429311214933136)	(9, 35.49162196088325)	(10, 35.39581160919667)	(12, 35.43401242614931)	(14, 35.43884913651461)	(16, 35.41162545656633)	(18, 35.371771013846555)	(20, 35.359830695522035)	(22, 35.35336045106985)	(24, 35.335734484081)	(26, 35.28777894902244)	(28, 35.26930842337103)	(30, 35.24173707042108)	(32, 35.235897151845414)	(34, 35.21732149337546)	(36, 35.184340173349696)	(38, 35.152197479565224)	(40, 35.11649106251578)	(42, 35.05691906265319)	(44, 34.99828296146855)	(46, 34.92866011794165)	(48, 34.88845347870602)	(50, 34.81982478271223)	(52, 34.77020813992253)	(54, 34.69769592384789)	(56, 34.62676493502545)	(58, 34.57012466470443)	(60, 34.50411597253702)	(62, 34.40237959254199)	(64, 34.345453518132295)	(66, 34.274206194909965)	(68, 34.17513100822037)	(70, 34.10559988350397)	(72, 34.01795724433144)	(74, 33.9207897547398)	(76, 33.858755952126174)	(78, 33.75975123687526)	(80, 33.657752137745156)	(82, 33.53774194217344)	(84, 33.40889687902768)	(86, 33.292741138501825)	(88, 33.19464009317148)	(90, 33.12099239828336)	(92, 32.97097309188356)	(94, 32.8181296651295)	(96, 32.67900572203034)	(98, 32.438594222505515)	(100, 32.283644859369886)	(102, 32.14666972508378)	(104, 32.06258632281324)	(106, 31.90128644622996)	(108, 31.682656431383528)	(110, 31.598006479515824)	(112, 31.362568275413032)	(114, 31.144054001045127)	(116, 30.872499738801917)	(118, 30.784979114861528)	(120, 30.698546365467003)	(122, 30.755683634506795)	(124, 32.3459223316914)
SRR11647693_1_val_1	(1, 32.58251618700526)	(2, 32.73564787138905)	(3, 32.80103839821889)	(4, 32.748041660318336)	(5, 32.77759333605392)	(6, 36.21236510056823)	(7, 36.68474682000173)	(8, 36.871095792892966)	(9, 36.972905365991735)	(10, 37.00230248130001)	(12, 37.01573979922895)	(14, 37.020860909108336)	(16, 37.009333330322036)	(18, 37.00023719726873)	(20, 36.97221802834786)	(22, 36.948641938194626)	(24, 36.947642308249925)	(26, 36.911675411815565)	(28, 36.91679046944267)	(30, 36.8821713009495)	(32, 36.87756272199306)	(34, 36.8672664259571)	(36, 36.82738523767141)	(38, 36.70966477866135)	(40, 36.60293552418145)	(42, 36.52835988874524)	(44, 36.4564011869431)	(46, 36.38681126497825)	(48, 36.339316652525284)	(50, 36.31641206757763)	(52, 36.262639238320006)	(54, 36.187670326661646)	(56, 36.12315237593894)	(58, 36.08439060401231)	(60, 36.019939695334806)	(62, 35.94871181028712)	(64, 35.8922498997023)	(66, 35.81068458451063)	(68, 35.76242089173024)	(70, 35.69692864586885)	(72, 35.68932549192944)	(74, 35.64726097666713)	(76, 35.57969698382743)	(78, 35.538358483817035)	(80, 35.44700785334889)	(82, 35.37439283707751)	(84, 35.311638882147165)	(86, 35.20397325456197)	(88, 35.13398496065277)	(90, 34.9545503507422)	(92, 34.80195076245695)	(94, 34.72857038581166)	(96, 34.655797048558256)	(98, 34.49888328349699)	(100, 34.35840968692404)	(102, 34.23695373608636)	(104, 34.12371930446166)	(106, 33.98548490657902)	(108, 33.84932236385845)	(110, 33.70659643707891)	(112, 33.53817316050744)	(114, 33.354675275486954)	(116, 33.03340163134955)	(118, 32.9174798573605)	(120, 32.76330976810937)	(122, 32.73530919649553)	(124, 33.8073427588678)
SRR11647693_2_val_2	(1, 31.35511760925074)	(2, 31.612672495720055)	(3, 31.69912644114279)	(4, 31.519156835517418)	(5, 31.540236295038888)	(6, 35.44534059379348)	(7, 35.634902385158675)	(8, 35.59710474558421)	(9, 35.64902459861919)	(10, 35.557052776450206)	(12, 35.58929417424166)	(14, 35.591671156099835)	(16, 35.5619632695165)	(18, 35.52430501808311)	(20, 35.516435873803964)	(22, 35.50036957592977)	(24, 35.479568594984286)	(26, 35.43464367892291)	(28, 35.41697093794049)	(30, 35.3957374274108)	(32, 35.3883571466246)	(34, 35.366153719947945)	(36, 35.33867242322166)	(38, 35.306508880229785)	(40, 35.272286516771004)	(42, 35.21549508051143)	(44, 35.16229597567032)	(46, 35.09571685543568)	(48, 35.05208513804139)	(50, 34.98954209455009)	(52, 34.9400287285429)	(54, 34.86710699962489)	(56, 34.79912761368776)	(58, 34.74461177585202)	(60, 34.686554369857774)	(62, 34.58581735754487)	(64, 34.52513494968076)	(66, 34.450939050936384)	(68, 34.35126639130775)	(70, 34.28619487084406)	(72, 34.19461624817015)	(74, 34.09829442475806)	(76, 34.03556044990343)	(78, 33.94229380815882)	(80, 33.838795864329825)	(82, 33.7216518371101)	(84, 33.59086111253367)	(86, 33.472132186371944)	(88, 33.37613644768561)	(90, 33.298045857571665)	(92, 33.14752799476469)	(94, 32.99773141419743)	(96, 32.855639877884805)	(98, 32.621810440591986)	(100, 32.46505337143244)	(102, 32.327029912426255)	(104, 32.237086083229215)	(106, 32.07619907752009)	(108, 31.85489384258893)	(110, 31.76470433840106)	(112, 31.52713268154899)	(114, 31.308774966342938)	(116, 31.039016856468358)	(118, 30.949330115106157)	(120, 30.85155991239416)	(122, 30.935848352494293)	(124, 32.60971538601198)
SRR11647694_1_val_1	(1, 32.535618076041324)	(2, 32.69721192596467)	(3, 32.76318402152789)	(4, 32.71521792992656)	(5, 32.74574724079432)	(6, 36.22467430279769)	(7, 36.69750289998451)	(8, 36.89268052449523)	(9, 36.99593348961664)	(10, 37.0244098925285)	(12, 37.03715158547473)	(14, 37.04110812521056)	(16, 37.031551791876836)	(18, 37.021629436413576)	(20, 36.99244686217742)	(22, 36.970855023068545)	(24, 36.968749107804086)	(26, 36.934212090357434)	(28, 36.93997364508935)	(30, 36.90504673583895)	(32, 36.90081772075349)	(34, 36.88704783124082)	(36, 36.84747761318184)	(38, 36.73142367537669)	(40, 36.62748578163102)	(42, 36.55471462533878)	(44, 36.48349540868625)	(46, 36.41593696530357)	(48, 36.368381645736406)	(50, 36.34524228638865)	(52, 36.29127321631952)	(54, 36.21454795832111)	(56, 36.15155540660047)	(58, 36.11112491103096)	(60, 36.045631252555395)	(62, 35.97068576172953)	(64, 35.914322697494605)	(66, 35.82977120478826)	(68, 35.781370978909266)	(70, 35.7155574098399)	(72, 35.70718876539422)	(74, 35.66434688208807)	(76, 35.59571565948403)	(78, 35.55456926207127)	(80, 35.45811944198475)	(82, 35.388152240423565)	(84, 35.322419943990724)	(86, 35.21594577109386)	(88, 35.14346408629197)	(90, 34.96432901525401)	(92, 34.81568258995331)	(94, 34.736382458745894)	(96, 34.664924980474666)	(98, 34.50945042113054)	(100, 34.36513326939149)	(102, 34.23569891571933)	(104, 34.116792426855696)	(106, 33.97621837576783)	(108, 33.84362128616388)	(110, 33.696601855853984)	(112, 33.52446261748928)	(114, 33.34281803292332)	(116, 33.0268862003374)	(118, 32.91599877020465)	(120, 32.761468551116096)	(122, 32.73116608586189)	(124, 33.80216412127801)
SRR11647694_2_val_2	(1, 30.812873731244405)	(2, 31.127653837172524)	(3, 31.228011031110693)	(4, 30.983491791167634)	(5, 30.98629667892038)	(6, 34.70876022954655)	(7, 34.952884152016594)	(8, 34.89335906799183)	(9, 34.959881214734246)	(10, 34.80188933474743)	(12, 34.86100363358402)	(14, 34.87621563657622)	(16, 34.85172885790972)	(18, 34.80456920829786)	(20, 34.79254498797768)	(22, 34.785615800158624)	(24, 34.764056128463785)	(26, 34.70835153252761)	(28, 34.67851971108982)	(30, 34.65534993470557)	(32, 34.64332834641877)	(34, 34.61120477603852)	(36, 34.573551329714526)	(38, 34.542689474721506)	(40, 34.498134202346165)	(42, 34.44074999635907)	(44, 34.369206247145804)	(46, 34.28443973710645)	(48, 34.2239544434687)	(50, 34.15306877172462)	(52, 34.09825124236977)	(54, 34.01256611386634)	(56, 33.92665431717445)	(58, 33.854733665005334)	(60, 33.78592062990195)	(62, 33.67401378246004)	(64, 33.60599248935816)	(66, 33.51501645918425)	(68, 33.405907892773186)	(70, 33.328261691046826)	(72, 33.23098938350233)	(74, 33.12514604117165)	(76, 33.05287343227012)	(78, 32.93742963273617)	(80, 32.82210611385195)	(82, 32.68978696232208)	(84, 32.55665340420058)	(86, 32.432948123649325)	(88, 32.32580457921987)	(90, 32.24334643638389)	(92, 32.08771828919145)	(94, 31.940089888344634)	(96, 31.795629034124104)	(98, 31.548355015856032)	(100, 31.38339643151439)	(102, 31.23857073819307)	(104, 31.155503121215244)	(106, 30.996496316265038)	(108, 30.783205322101722)	(110, 30.69657909257471)	(112, 30.45755004226315)	(114, 30.245774305683536)	(116, 29.989452601690495)	(118, 29.91350454708985)	(120, 29.858709765690215)	(122, 29.994122660987944)	(124, 31.878734326031612)
SRR11647702_1_val_1	(1, 32.56214207625542)	(2, 32.71643495928669)	(3, 32.780318785738295)	(4, 32.72745873191534)	(5, 32.756274607452426)	(6, 36.203978146688165)	(7, 36.68644630657832)	(8, 36.885952813924774)	(9, 36.991031818174)	(10, 37.02978892839559)	(12, 37.042562576633316)	(14, 37.049613882043296)	(16, 37.0428587243612)	(18, 37.03235181673417)	(20, 37.00726020645604)	(22, 36.98680022690036)	(24, 36.986178418093516)	(26, 36.95217274901046)	(28, 36.960103594413205)	(30, 36.92604251417117)	(32, 36.92353460522182)	(34, 36.911029217267924)	(36, 36.87341705468701)	(38, 36.76183350948864)	(40, 36.661738809502715)	(42, 36.590571637441975)	(44, 36.523415854769084)	(46, 36.45428498121184)	(48, 36.40800705217276)	(50, 36.38399475458259)	(52, 36.33274782886132)	(54, 36.261592009040406)	(56, 36.19958571893579)	(58, 36.16174125537454)	(60, 36.098327935214456)	(62, 36.0259818220773)	(64, 35.97316436288767)	(66, 35.892066255522565)	(68, 35.84841599801993)	(70, 35.783927221508065)	(72, 35.77854288978977)	(74, 35.73499667276346)	(76, 35.662101393519066)	(78, 35.61933601267249)	(80, 35.52890818014737)	(82, 35.458534414537525)	(84, 35.39123870689929)	(86, 35.28523552668132)	(88, 35.22184539387607)	(90, 35.044073382888904)	(92, 34.89581505964527)	(94, 34.81994300189024)	(96, 34.742789362110685)	(98, 34.58915067626343)	(100, 34.4516870219022)	(102, 34.329773137870404)	(104, 34.222292550947756)	(106, 34.07800603639221)	(108, 33.93771897818664)	(110, 33.799797716282676)	(112, 33.63893991475268)	(114, 33.457996946242574)	(116, 33.129011517415734)	(118, 33.008768920414596)	(120, 32.84871038092298)	(122, 32.787059645059145)	(124, 33.7157985934349)
SRR11647702_2_val_2	(1, 31.20901584721739)	(2, 31.492447220728867)	(3, 31.58233680551916)	(4, 31.361627296684006)	(5, 31.397742677103356)	(6, 35.24901944569376)	(7, 35.42469286909882)	(8, 35.40716521648845)	(9, 35.46545326797728)	(10, 35.369631882190056)	(12, 35.404641873674734)	(14, 35.41069322639513)	(16, 35.38048352363161)	(18, 35.34311164378323)	(20, 35.33254791720087)	(22, 35.32251307809353)	(24, 35.304922884777724)	(26, 35.2599581058849)	(28, 35.24162116935666)	(30, 35.221883219672186)	(32, 35.2147782121977)	(34, 35.195301706296874)	(36, 35.167930151127045)	(38, 35.1330689323269)	(40, 35.098851776817966)	(42, 35.040618933462156)	(44, 34.98943655837026)	(46, 34.92189640788126)	(48, 34.87018609257591)	(50, 34.80232841681422)	(52, 34.74624272198811)	(54, 34.67605706227429)	(56, 34.615015742717404)	(58, 34.55547881680616)	(60, 34.50154519977454)	(62, 34.38973160142669)	(64, 34.32381350580188)	(66, 34.24657199687515)	(68, 34.148847611271314)	(70, 34.07131465456126)	(72, 33.981010792794386)	(74, 33.868619537869876)	(76, 33.80162477376076)	(78, 33.70098286069283)	(80, 33.59620340703637)	(82, 33.47256858992818)	(84, 33.331713919606415)	(86, 33.20533726183791)	(88, 33.10662286725292)	(90, 33.02441103578653)	(92, 32.87089752742397)	(94, 32.71506401903379)	(96, 32.56342771892598)	(98, 32.32462911406779)	(100, 32.159118793236274)	(102, 32.01157771708952)	(104, 31.92207102802672)	(106, 31.75513330221939)	(108, 31.518940525542995)	(110, 31.43195918363051)	(112, 31.192826604694183)	(114, 30.969683279725807)	(116, 30.696170415268234)	(118, 30.593686894583293)	(120, 30.495383046596103)	(122, 30.547960910902805)	(124, 31.95988779069426)
SRR11647703_1_val_1	(1, 32.4910673378089)	(2, 32.6580404641388)	(3, 32.7265121451348)	(4, 32.66825677625485)	(5, 32.70070419287779)	(6, 36.131927511178105)	(7, 36.63075010477153)	(8, 36.83016069553604)	(9, 36.93786140186525)	(10, 36.96693614691598)	(12, 36.98221431917731)	(14, 36.986762469245264)	(16, 36.97281960970852)	(18, 36.96330388475595)	(20, 36.93563514398548)	(22, 36.91530538846263)	(24, 36.91398067283508)	(26, 36.87529153475623)	(28, 36.8822678079958)	(30, 36.84696147913944)	(32, 36.839913470026374)	(34, 36.8304567925741)	(36, 36.786138916740555)	(38, 36.667235478042016)	(40, 36.55751928191576)	(42, 36.478576030718756)	(44, 36.40543342260277)	(46, 36.32959203996484)	(48, 36.28296534831863)	(50, 36.258831050947585)	(52, 36.20417436341545)	(54, 36.12581945774862)	(56, 36.05912115715189)	(58, 36.01673648655759)	(60, 35.954437231361005)	(62, 35.87841587886276)	(64, 35.82381314429476)	(66, 35.73692834273678)	(68, 35.69029769638974)	(70, 35.62495577983108)	(72, 35.615167088268365)	(74, 35.575551958683654)	(76, 35.503327627679084)	(78, 35.461966697438754)	(80, 35.364301823084304)	(82, 35.291403231422514)	(84, 35.22591575081621)	(86, 35.1176951199687)	(88, 35.048367821367876)	(90, 34.85898245697557)	(92, 34.70218121626398)	(94, 34.62989728428477)	(96, 34.55315759733322)	(98, 34.396717415447455)	(100, 34.24953203974294)	(102, 34.12422000087554)	(104, 33.99976223931421)	(106, 33.852574274485136)	(108, 33.712918232838284)	(110, 33.57214724971324)	(112, 33.40304192995907)	(114, 33.22173055139794)	(116, 32.88348986491924)	(118, 32.76164023970767)	(120, 32.605216041264725)	(122, 32.558092026955265)	(124, 33.54777501673056)
SRR11647703_2_val_2	(1, 31.205477517719977)	(2, 31.496227156666567)	(3, 31.59137471453242)	(4, 31.395814422221537)	(5, 31.418359724087825)	(6, 35.278734169181675)	(7, 35.47660154548627)	(8, 35.42688082942267)	(9, 35.477965464239105)	(10, 35.36149226863468)	(12, 35.388880508555786)	(14, 35.3956164466217)	(16, 35.3656242504921)	(18, 35.323414883440336)	(20, 35.315590018444766)	(22, 35.305786864031376)	(24, 35.287675188473244)	(26, 35.23911195986635)	(28, 35.219540682614564)	(30, 35.19761398479295)	(32, 35.19228846875859)	(34, 35.17261663610775)	(36, 35.14171913442427)	(38, 35.106654003217045)	(40, 35.06674891473609)	(42, 35.003323600382544)	(44, 34.94990070469481)	(46, 34.87754012464208)	(48, 34.82866397195331)	(50, 34.76028389438237)	(52, 34.70522353150594)	(54, 34.62894641300279)	(56, 34.560305944438696)	(58, 34.49748600915911)	(60, 34.434611468688345)	(62, 34.32693384865409)	(64, 34.26476451833385)	(66, 34.189752133494046)	(68, 34.09482895299936)	(70, 34.021376612142745)	(72, 33.92024903389295)	(74, 33.816683665693546)	(76, 33.75401127203102)	(78, 33.655255384012236)	(80, 33.53784169438035)	(82, 33.40695208962707)	(84, 33.265292886063975)	(86, 33.139668888943)	(88, 33.043407072842314)	(90, 32.96031237605108)	(92, 32.80175816779485)	(94, 32.650682646003325)	(96, 32.493101114718144)	(98, 32.24915276417585)	(100, 32.082666696640956)	(102, 31.941211202655808)	(104, 31.83766247294995)	(106, 31.662805926587826)	(108, 31.43712986181726)	(110, 31.345863929672937)	(112, 31.10470692683152)	(114, 30.878380408611278)	(116, 30.59482696782947)	(118, 30.4944640680284)	(120, 30.394968877695614)	(122, 30.454939645583522)	(124, 31.885871670119606)
