Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11647692_1_val_1	(0.0, 42876.0)	(1.0, 26792.0)	(2.0, 9335.0)	(3.0, 7709.5)	(4.0, 7305.0)	(5.0, 6991.5)	(6.0, 6598.0)	(7.0, 6117.0)	(8.0, 5643.0)	(9.0, 5278.5)	(10.0, 5051.5)	(11.0, 4894.0)	(12.0, 4791.5)	(13.0, 4851.0)	(14.0, 5155.5)	(15.0, 5535.5)	(16.0, 6189.5)	(17.0, 7298.0)	(18.0, 8687.5)	(19.0, 10913.5)	(20.0, 14448.0)	(21.0, 19710.5)	(22.0, 28085.5)	(23.0, 38617.0)	(24.0, 54306.0)	(25.0, 74730.5)	(26.0, 106782.0)	(27.0, 136754.5)	(28.0, 155399.5)	(29.0, 183910.0)	(30.0, 222561.5)	(31.0, 263116.5)	(32.0, 300974.5)	(33.0, 335487.0)	(34.0, 383080.0)	(35.0, 444196.5)	(36.0, 499713.5)	(37.0, 536320.5)	(38.0, 559650.5)	(39.0, 581422.0)	(40.0, 617545.0)	(41.0, 655407.0)	(42.0, 664708.0)	(43.0, 674691.0)	(44.0, 705755.5)	(45.0, 720740.0)	(46.0, 743487.0)	(47.0, 748344.0)	(48.0, 713290.0)	(49.0, 683305.0)	(50.0, 662572.5)	(51.0, 658993.5)	(52.0, 637339.0)	(53.0, 613989.5)	(54.0, 606306.5)	(55.0, 574190.0)	(56.0, 523125.0)	(57.0, 494133.0)	(58.0, 489205.0)	(59.0, 467391.5)	(60.0, 426968.0)	(61.0, 387753.0)	(62.0, 343876.5)	(63.0, 309541.0)	(64.0, 281305.5)	(65.0, 233530.5)	(66.0, 181606.0)	(67.0, 149198.0)	(68.0, 120657.5)	(69.0, 88677.0)	(70.0, 66605.5)	(71.0, 50212.5)	(72.0, 37976.5)	(73.0, 29989.0)	(74.0, 24551.0)	(75.0, 19381.0)	(76.0, 15022.5)	(77.0, 12940.5)	(78.0, 10896.5)	(79.0, 8084.5)	(80.0, 5166.0)	(81.0, 3299.5)	(82.0, 2128.5)	(83.0, 1401.0)	(84.0, 851.0)	(85.0, 471.5)	(86.0, 266.0)	(87.0, 146.5)	(88.0, 84.5)	(89.0, 59.5)	(90.0, 45.5)	(91.0, 38.0)	(92.0, 36.5)	(93.0, 30.0)	(94.0, 21.0)	(95.0, 20.0)	(96.0, 11.5)	(97.0, 2.5)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.0)
SRR11647692_2_val_2	(0.0, 80118.0)	(1.0, 43258.0)	(2.0, 4727.0)	(3.0, 2597.5)	(4.0, 1937.0)	(5.0, 1658.5)	(6.0, 1493.5)	(7.0, 1399.0)	(8.0, 1434.0)	(9.0, 1509.5)	(10.0, 1591.0)	(11.0, 1736.0)	(12.0, 1919.0)	(13.0, 2127.0)	(14.0, 2400.0)	(15.0, 2728.5)	(16.0, 3340.0)	(17.0, 4260.5)	(18.0, 5465.5)	(19.0, 7316.0)	(20.0, 10531.5)	(21.0, 15460.5)	(22.0, 23075.0)	(23.0, 33208.5)	(24.0, 48220.5)	(25.0, 67635.0)	(26.0, 99738.0)	(27.0, 129264.0)	(28.0, 147622.5)	(29.0, 176677.5)	(30.0, 216359.5)	(31.0, 256736.5)	(32.0, 293608.5)	(33.0, 328938.0)	(34.0, 376541.5)	(35.0, 435936.5)	(36.0, 487764.0)	(37.0, 526410.5)	(38.0, 553008.5)	(39.0, 574647.5)	(40.0, 610615.0)	(41.0, 648145.5)	(42.0, 660067.5)	(43.0, 674570.0)	(44.0, 707662.0)	(45.0, 722374.5)	(46.0, 747048.5)	(47.0, 753176.5)	(48.0, 720098.5)	(49.0, 689610.0)	(50.0, 666732.5)	(51.0, 661702.0)	(52.0, 641610.0)	(53.0, 619004.5)	(54.0, 609761.0)	(55.0, 581799.0)	(56.0, 534720.5)	(57.0, 505069.0)	(58.0, 495135.0)	(59.0, 471123.0)	(60.0, 432095.5)	(61.0, 395347.0)	(62.0, 353354.0)	(63.0, 317159.0)	(64.0, 288158.0)	(65.0, 241583.5)	(66.0, 190965.0)	(67.0, 156990.5)	(68.0, 127431.0)	(69.0, 95732.0)	(70.0, 71813.0)	(71.0, 54398.0)	(72.0, 41219.5)	(73.0, 32438.0)	(74.0, 26223.0)	(75.0, 20697.0)	(76.0, 16315.5)	(77.0, 13713.5)	(78.0, 11356.5)	(79.0, 8535.5)	(80.0, 5823.0)	(81.0, 3961.5)	(82.0, 2644.0)	(83.0, 1743.0)	(84.0, 1098.5)	(85.0, 656.0)	(86.0, 390.5)	(87.0, 222.0)	(88.0, 152.0)	(89.0, 118.5)	(90.0, 84.0)	(91.0, 63.0)	(92.0, 46.0)	(93.0, 40.0)	(94.0, 46.0)	(95.0, 46.5)	(96.0, 50.5)	(97.0, 49.0)	(98.0, 38.0)	(99.0, 38.0)	(100.0, 47.5)
SRR11647693_1_val_1	(0.0, 38035.0)	(1.0, 24074.0)	(2.0, 9099.5)	(3.0, 8214.5)	(4.0, 8360.5)	(5.0, 8192.5)	(6.0, 7854.5)	(7.0, 7244.5)	(8.0, 6473.0)	(9.0, 6111.5)	(10.0, 5851.0)	(11.0, 5403.0)	(12.0, 5019.5)	(13.0, 4880.5)	(14.0, 4944.0)	(15.0, 5200.5)	(16.0, 5690.5)	(17.0, 6327.5)	(18.0, 7324.0)	(19.0, 9049.0)	(20.0, 11692.5)	(21.0, 15906.5)	(22.0, 22359.0)	(23.0, 29962.0)	(24.0, 40873.5)	(25.0, 54668.0)	(26.0, 75724.5)	(27.0, 98996.5)	(28.0, 118651.5)	(29.0, 142210.0)	(30.0, 171465.5)	(31.0, 204281.0)	(32.0, 234324.5)	(33.0, 263292.0)	(34.0, 300058.0)	(35.0, 343895.5)	(36.0, 386404.0)	(37.0, 423431.0)	(38.0, 452322.0)	(39.0, 474260.0)	(40.0, 502330.5)	(41.0, 540784.0)	(42.0, 566888.0)	(43.0, 586068.5)	(44.0, 602536.5)	(45.0, 611190.0)	(46.0, 628022.5)	(47.0, 629392.0)	(48.0, 604962.5)	(49.0, 580289.0)	(50.0, 563940.0)	(51.0, 553189.0)	(52.0, 531413.5)	(53.0, 507892.0)	(54.0, 492815.0)	(55.0, 474794.5)	(56.0, 448974.0)	(57.0, 426946.0)	(58.0, 417737.0)	(59.0, 405741.5)	(60.0, 384934.5)	(61.0, 352845.5)	(62.0, 315552.5)	(63.0, 283018.5)	(64.0, 253973.5)	(65.0, 214902.5)	(66.0, 172675.5)	(67.0, 148780.0)	(68.0, 122277.0)	(69.0, 86858.5)	(70.0, 62160.5)	(71.0, 46023.5)	(72.0, 35364.0)	(73.0, 28109.0)	(74.0, 22761.5)	(75.0, 17801.0)	(76.0, 13547.5)	(77.0, 12118.5)	(78.0, 10368.0)	(79.0, 7262.5)	(80.0, 4882.0)	(81.0, 3267.5)	(82.0, 2127.5)	(83.0, 1515.5)	(84.0, 1004.5)	(85.0, 558.0)	(86.0, 284.5)	(87.0, 148.5)	(88.0, 87.0)	(89.0, 58.5)	(90.0, 45.0)	(91.0, 41.0)	(92.0, 38.5)	(93.0, 28.5)	(94.0, 21.5)	(95.0, 20.0)	(96.0, 16.0)	(97.0, 9.0)	(98.0, 3.5)	(99.0, 1.0)	(100.0, 1.0)
SRR11647693_2_val_2	(0.0, 103523.0)	(1.0, 54474.0)	(2.0, 3938.0)	(3.0, 2001.0)	(4.0, 1398.0)	(5.0, 1211.5)	(6.0, 1127.0)	(7.0, 1112.5)	(8.0, 1148.0)	(9.0, 1181.5)	(10.0, 1249.5)	(11.0, 1320.5)	(12.0, 1432.5)	(13.0, 1617.5)	(14.0, 1854.5)	(15.0, 2111.0)	(16.0, 2553.5)	(17.0, 3219.0)	(18.0, 4236.5)	(19.0, 5844.5)	(20.0, 8420.0)	(21.0, 12448.0)	(22.0, 18546.5)	(23.0, 26070.5)	(24.0, 36797.5)	(25.0, 50556.0)	(26.0, 71280.0)	(27.0, 93958.0)	(28.0, 113993.5)	(29.0, 138344.0)	(30.0, 167602.5)	(31.0, 200824.0)	(32.0, 232196.0)	(33.0, 261109.0)	(34.0, 297665.5)	(35.0, 342243.5)	(36.0, 385350.5)	(37.0, 422556.0)	(38.0, 450226.5)	(39.0, 472032.5)	(40.0, 500800.5)	(41.0, 536927.0)	(42.0, 561704.5)	(43.0, 584760.0)	(44.0, 601716.5)	(45.0, 608350.0)	(46.0, 625425.0)	(47.0, 629213.5)	(48.0, 608114.0)	(49.0, 584569.5)	(50.0, 566482.0)	(51.0, 554246.0)	(52.0, 534072.0)	(53.0, 511486.0)	(54.0, 496175.0)	(55.0, 480089.5)	(56.0, 456388.5)	(57.0, 433600.0)	(58.0, 422017.0)	(59.0, 408712.0)	(60.0, 388175.0)	(61.0, 356725.0)	(62.0, 320002.5)	(63.0, 286462.0)	(64.0, 256172.5)	(65.0, 217256.5)	(66.0, 176973.5)	(67.0, 152367.5)	(68.0, 125568.5)	(69.0, 91359.5)	(70.0, 65934.0)	(71.0, 49295.5)	(72.0, 37880.0)	(73.0, 29698.0)	(74.0, 23625.5)	(75.0, 18517.0)	(76.0, 14349.5)	(77.0, 12365.5)	(78.0, 10471.0)	(79.0, 7624.5)	(80.0, 5190.5)	(81.0, 3675.0)	(82.0, 2541.0)	(83.0, 1742.5)	(84.0, 1178.0)	(85.0, 728.0)	(86.0, 442.0)	(87.0, 281.5)	(88.0, 174.5)	(89.0, 106.5)	(90.0, 71.0)	(91.0, 62.0)	(92.0, 59.0)	(93.0, 50.0)	(94.0, 47.5)	(95.0, 37.5)	(96.0, 34.0)	(97.0, 33.0)	(98.0, 25.5)	(99.0, 27.5)	(100.0, 27.5)
SRR11647694_1_val_1	(0.0, 39727.0)	(1.0, 23960.0)	(2.0, 8507.5)	(3.0, 9709.0)	(4.0, 11044.0)	(5.0, 11487.5)	(6.0, 11039.0)	(7.0, 10026.0)	(8.0, 9061.0)	(9.0, 8522.5)	(10.0, 8125.5)	(11.0, 7669.0)	(12.0, 7256.5)	(13.0, 7043.0)	(14.0, 7184.5)	(15.0, 7341.5)	(16.0, 7714.5)	(17.0, 8454.5)	(18.0, 9693.5)	(19.0, 11724.0)	(20.0, 14717.5)	(21.0, 19568.5)	(22.0, 27104.0)	(23.0, 36524.5)	(24.0, 48423.5)	(25.0, 64431.5)	(26.0, 91449.5)	(27.0, 120266.0)	(28.0, 141486.0)	(29.0, 164840.5)	(30.0, 194623.5)	(31.0, 227923.0)	(32.0, 261833.0)	(33.0, 295652.5)	(34.0, 336448.0)	(35.0, 380573.5)	(36.0, 414554.5)	(37.0, 446284.5)	(38.0, 481102.5)	(39.0, 502973.5)	(40.0, 526402.5)	(41.0, 556309.5)	(42.0, 569761.5)	(43.0, 582276.0)	(44.0, 600355.5)	(45.0, 608563.5)	(46.0, 619287.5)	(47.0, 617316.5)	(48.0, 588503.0)	(49.0, 565421.0)	(50.0, 552169.5)	(51.0, 545283.0)	(52.0, 528684.0)	(53.0, 511043.0)	(54.0, 515931.0)	(55.0, 502669.0)	(56.0, 463468.0)	(57.0, 440659.5)	(58.0, 431344.5)	(59.0, 410310.5)	(60.0, 379055.5)	(61.0, 346291.0)	(62.0, 313739.0)	(63.0, 282890.0)	(64.0, 250702.0)	(65.0, 212690.5)	(66.0, 171357.0)	(67.0, 137405.5)	(68.0, 109078.5)	(69.0, 81168.0)	(70.0, 59053.5)	(71.0, 43286.0)	(72.0, 32603.5)	(73.0, 25042.0)	(74.0, 19460.5)	(75.0, 14693.5)	(76.0, 10935.5)	(77.0, 8689.0)	(78.0, 6498.5)	(79.0, 4357.0)	(80.0, 2725.0)	(81.0, 1576.0)	(82.0, 894.0)	(83.0, 473.5)	(84.0, 234.0)	(85.0, 135.5)	(86.0, 86.0)	(87.0, 63.5)	(88.0, 48.0)	(89.0, 36.5)	(90.0, 26.5)	(91.0, 19.0)	(92.0, 16.0)	(93.0, 17.5)	(94.0, 9.5)	(95.0, 5.0)	(96.0, 7.5)	(97.0, 3.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11647694_2_val_2	(0.0, 162853.0)	(1.0, 84904.5)	(2.0, 4882.0)	(3.0, 2263.0)	(4.0, 1490.5)	(5.0, 1147.5)	(6.0, 992.5)	(7.0, 936.5)	(8.0, 893.0)	(9.0, 925.0)	(10.0, 1030.0)	(11.0, 1145.0)	(12.0, 1302.0)	(13.0, 1537.5)	(14.0, 1808.5)	(15.0, 2161.0)	(16.0, 2786.0)	(17.0, 3704.5)	(18.0, 4960.0)	(19.0, 6903.5)	(20.0, 10145.5)	(21.0, 14998.5)	(22.0, 22125.0)	(23.0, 31378.0)	(24.0, 43383.0)	(25.0, 59339.0)	(26.0, 85347.0)	(27.0, 113515.5)	(28.0, 135176.5)	(29.0, 159590.0)	(30.0, 189996.5)	(31.0, 223380.5)	(32.0, 258011.0)	(33.0, 291673.0)	(34.0, 332592.5)	(35.0, 376448.0)	(36.0, 409754.0)	(37.0, 442296.0)	(38.0, 475958.5)	(39.0, 498107.0)	(40.0, 522787.5)	(41.0, 551237.0)	(42.0, 564103.0)	(43.0, 578128.0)	(44.0, 596161.5)	(45.0, 603367.5)	(46.0, 616450.0)	(47.0, 618397.5)	(48.0, 592500.5)	(49.0, 569591.5)	(50.0, 554519.5)	(51.0, 546284.5)	(52.0, 530945.5)	(53.0, 513855.0)	(54.0, 515482.5)	(55.0, 502876.5)	(56.0, 468828.0)	(57.0, 447774.5)	(58.0, 435524.0)	(59.0, 413382.5)	(60.0, 382799.0)	(61.0, 351169.0)	(62.0, 320321.0)	(63.0, 288584.5)	(64.0, 255490.0)	(65.0, 217662.0)	(66.0, 178791.0)	(67.0, 146063.0)	(68.0, 116852.0)	(69.0, 88819.0)	(70.0, 66368.0)	(71.0, 49929.5)	(72.0, 37951.5)	(73.0, 28999.0)	(74.0, 22235.5)	(75.0, 16875.0)	(76.0, 12904.5)	(77.0, 10059.0)	(78.0, 7466.5)	(79.0, 5209.0)	(80.0, 3433.5)	(81.0, 2171.5)	(82.0, 1311.0)	(83.0, 782.5)	(84.0, 479.0)	(85.0, 319.5)	(86.0, 209.0)	(87.0, 138.5)	(88.0, 101.5)	(89.0, 78.0)	(90.0, 62.5)	(91.0, 58.0)	(92.0, 48.5)	(93.0, 42.5)	(94.0, 41.5)	(95.0, 46.5)	(96.0, 53.0)	(97.0, 49.5)	(98.0, 53.5)	(99.0, 61.5)	(100.0, 50.0)
SRR11647702_1_val_1	(0.0, 30443.0)	(1.0, 19589.0)	(2.0, 8853.5)	(3.0, 9557.5)	(4.0, 10835.5)	(5.0, 11421.5)	(6.0, 10895.5)	(7.0, 9678.0)	(8.0, 8398.5)	(9.0, 7440.5)	(10.0, 6707.0)	(11.0, 6175.5)	(12.0, 5731.5)	(13.0, 5653.0)	(14.0, 5733.5)	(15.0, 5812.0)	(16.0, 6136.0)	(17.0, 6649.0)	(18.0, 7470.0)	(19.0, 8895.5)	(20.0, 10964.0)	(21.0, 14145.5)	(22.0, 19283.0)	(23.0, 26633.0)	(24.0, 36629.5)	(25.0, 47556.5)	(26.0, 62947.5)	(27.0, 85066.5)	(28.0, 106710.0)	(29.0, 128719.5)	(30.0, 156335.5)	(31.0, 192805.5)	(32.0, 232126.0)	(33.0, 270937.0)	(34.0, 313419.0)	(35.0, 362538.5)	(36.0, 413413.5)	(37.0, 461997.5)	(38.0, 497411.5)	(39.0, 518768.0)	(40.0, 551115.0)	(41.0, 586064.5)	(42.0, 610088.5)	(43.0, 635867.0)	(44.0, 640154.5)	(45.0, 621126.0)	(46.0, 618694.0)	(47.0, 616117.5)	(48.0, 595728.0)	(49.0, 582333.5)	(50.0, 581152.0)	(51.0, 564224.0)	(52.0, 525003.0)	(53.0, 492536.5)	(54.0, 484230.0)	(55.0, 487507.5)	(56.0, 481192.5)	(57.0, 468447.5)	(58.0, 465922.5)	(59.0, 461249.5)	(60.0, 439953.0)	(61.0, 397410.5)	(62.0, 345122.0)	(63.0, 289466.0)	(64.0, 242763.5)	(65.0, 215902.0)	(66.0, 188629.5)	(67.0, 165942.0)	(68.0, 138608.5)	(69.0, 105121.5)	(70.0, 81932.5)	(71.0, 61872.5)	(72.0, 45626.0)	(73.0, 36477.0)	(74.0, 30336.5)	(75.0, 23561.5)	(76.0, 18166.5)	(77.0, 15655.0)	(78.0, 13368.5)	(79.0, 10304.0)	(80.0, 7189.0)	(81.0, 4670.5)	(82.0, 2794.5)	(83.0, 1878.0)	(84.0, 1238.0)	(85.0, 711.5)	(86.0, 391.0)	(87.0, 196.5)	(88.0, 99.0)	(89.0, 73.0)	(90.0, 54.5)	(91.0, 36.0)	(92.0, 29.5)	(93.0, 25.5)	(94.0, 24.0)	(95.0, 20.5)	(96.0, 15.0)	(97.0, 9.0)	(98.0, 2.5)	(99.0, 1.0)	(100.0, 0.5)
SRR11647702_2_val_2	(0.0, 123932.0)	(1.0, 65519.0)	(2.0, 5048.5)	(3.0, 2364.0)	(4.0, 1556.5)	(5.0, 1265.0)	(6.0, 1083.5)	(7.0, 1007.5)	(8.0, 1030.0)	(9.0, 1077.5)	(10.0, 1157.0)	(11.0, 1233.5)	(12.0, 1324.5)	(13.0, 1505.0)	(14.0, 1725.5)	(15.0, 2000.0)	(16.0, 2484.5)	(17.0, 3159.5)	(18.0, 3954.0)	(19.0, 5294.0)	(20.0, 7515.5)	(21.0, 10581.0)	(22.0, 15346.5)	(23.0, 22571.0)	(24.0, 32669.0)	(25.0, 43787.5)	(26.0, 59032.0)	(27.0, 80306.0)	(28.0, 101756.0)	(29.0, 125187.0)	(30.0, 153415.0)	(31.0, 189012.5)	(32.0, 228003.5)	(33.0, 267837.0)	(34.0, 311237.0)	(35.0, 359682.0)	(36.0, 409370.5)	(37.0, 457905.5)	(38.0, 494204.5)	(39.0, 515896.5)	(40.0, 548795.0)	(41.0, 583542.0)	(42.0, 605924.5)	(43.0, 632476.0)	(44.0, 638593.5)	(45.0, 621529.5)	(46.0, 619510.5)	(47.0, 615856.0)	(48.0, 597223.5)	(49.0, 584974.0)	(50.0, 582844.5)	(51.0, 567666.0)	(52.0, 530260.0)	(53.0, 497301.5)	(54.0, 487476.5)	(55.0, 489588.0)	(56.0, 483836.5)	(57.0, 471530.5)	(58.0, 466288.5)	(59.0, 461208.0)	(60.0, 442672.5)	(61.0, 402211.5)	(62.0, 351174.5)	(63.0, 296470.0)	(64.0, 249881.5)	(65.0, 220306.0)	(66.0, 192946.0)	(67.0, 169183.5)	(68.0, 141631.5)	(69.0, 109915.0)	(70.0, 85889.0)	(71.0, 65574.0)	(72.0, 48867.5)	(73.0, 38788.5)	(74.0, 31990.0)	(75.0, 25123.0)	(76.0, 19503.0)	(77.0, 16279.0)	(78.0, 13456.5)	(79.0, 10254.0)	(80.0, 7552.0)	(81.0, 5270.5)	(82.0, 3355.0)	(83.0, 2251.5)	(84.0, 1538.0)	(85.0, 963.5)	(86.0, 579.0)	(87.0, 345.5)	(88.0, 208.0)	(89.0, 127.0)	(90.0, 80.0)	(91.0, 61.5)	(92.0, 51.0)	(93.0, 49.5)	(94.0, 53.5)	(95.0, 49.0)	(96.0, 47.5)	(97.0, 41.5)	(98.0, 31.5)	(99.0, 30.0)	(100.0, 37.0)
SRR11647703_1_val_1	(0.0, 38017.0)	(1.0, 24173.0)	(2.0, 9406.0)	(3.0, 8245.0)	(4.0, 7951.0)	(5.0, 7776.0)	(6.0, 7428.5)	(7.0, 6765.0)	(8.0, 6204.5)	(9.0, 5987.0)	(10.0, 5825.5)	(11.0, 5673.5)	(12.0, 5603.0)	(13.0, 5632.5)	(14.0, 5845.5)	(15.0, 6181.0)	(16.0, 6672.5)	(17.0, 7359.5)	(18.0, 8456.5)	(19.0, 10355.0)	(20.0, 13091.0)	(21.0, 17108.0)	(22.0, 23767.0)	(23.0, 33109.0)	(24.0, 45832.5)	(25.0, 60268.5)	(26.0, 82993.5)	(27.0, 112961.0)	(28.0, 140031.5)	(29.0, 167282.0)	(30.0, 199968.0)	(31.0, 236549.0)	(32.0, 272288.0)	(33.0, 305950.0)	(34.0, 344722.5)	(35.0, 394496.0)	(36.0, 446923.0)	(37.0, 489939.5)	(38.0, 521154.0)	(39.0, 549089.0)	(40.0, 583371.0)	(41.0, 621810.0)	(42.0, 639132.5)	(43.0, 644808.5)	(44.0, 640761.0)	(45.0, 640753.0)	(46.0, 648114.0)	(47.0, 640654.0)	(48.0, 624346.0)	(49.0, 609357.5)	(50.0, 601942.0)	(51.0, 587380.5)	(52.0, 563904.5)	(53.0, 548363.5)	(54.0, 528796.5)	(55.0, 509410.0)	(56.0, 492594.0)	(57.0, 471963.0)	(58.0, 466409.5)	(59.0, 461729.0)	(60.0, 445075.0)	(61.0, 412399.0)	(62.0, 374437.5)	(63.0, 333249.0)	(64.0, 298020.0)	(65.0, 257330.5)	(66.0, 209250.0)	(67.0, 177905.5)	(68.0, 143918.0)	(69.0, 105953.0)	(70.0, 78448.0)	(71.0, 59574.5)	(72.0, 47069.5)	(73.0, 38823.0)	(74.0, 31616.0)	(75.0, 23660.0)	(76.0, 17028.0)	(77.0, 13495.5)	(78.0, 10743.5)	(79.0, 7684.0)	(80.0, 5038.5)	(81.0, 3179.5)	(82.0, 1933.5)	(83.0, 1169.5)	(84.0, 696.5)	(85.0, 407.5)	(86.0, 216.5)	(87.0, 120.5)	(88.0, 80.0)	(89.0, 54.5)	(90.0, 34.0)	(91.0, 28.0)	(92.0, 23.5)	(93.0, 14.5)	(94.0, 12.5)	(95.0, 12.0)	(96.0, 7.5)	(97.0, 4.5)	(98.0, 3.0)	(99.0, 1.5)	(100.0, 0.0)
SRR11647703_2_val_2	(0.0, 97220.0)	(1.0, 51541.0)	(2.0, 4289.5)	(3.0, 2256.5)	(4.0, 1611.5)	(5.0, 1397.0)	(6.0, 1291.0)	(7.0, 1234.0)	(8.0, 1307.0)	(9.0, 1377.5)	(10.0, 1452.0)	(11.0, 1560.0)	(12.0, 1718.0)	(13.0, 1937.5)	(14.0, 2199.5)	(15.0, 2605.5)	(16.0, 3182.5)	(17.0, 3867.5)	(18.0, 4877.0)	(19.0, 6736.5)	(20.0, 9523.5)	(21.0, 13335.5)	(22.0, 19548.0)	(23.0, 28638.0)	(24.0, 40976.0)	(25.0, 55380.0)	(26.0, 78189.0)	(27.0, 107437.0)	(28.0, 134538.5)	(29.0, 162979.5)	(30.0, 196324.5)	(31.0, 232856.0)	(32.0, 268325.5)	(33.0, 303429.5)	(34.0, 342305.0)	(35.0, 391679.0)	(36.0, 443286.0)	(37.0, 486630.5)	(38.0, 520075.0)	(39.0, 547739.5)	(40.0, 580827.0)	(41.0, 616682.0)	(42.0, 633561.0)	(43.0, 643498.5)	(44.0, 641485.5)	(45.0, 637739.5)	(46.0, 645222.5)	(47.0, 640665.0)	(48.0, 624985.0)	(49.0, 611069.5)	(50.0, 603846.5)	(51.0, 590468.0)	(52.0, 569489.0)	(53.0, 553218.5)	(54.0, 533090.0)	(55.0, 513151.0)	(56.0, 497068.0)	(57.0, 478171.0)	(58.0, 470305.0)	(59.0, 465562.5)	(60.0, 449600.5)	(61.0, 417142.0)	(62.0, 380157.0)	(63.0, 338878.0)	(64.0, 301367.0)	(65.0, 260652.5)	(66.0, 215651.5)	(67.0, 182740.5)	(68.0, 148230.5)	(69.0, 112152.5)	(70.0, 84415.0)	(71.0, 64628.5)	(72.0, 50441.0)	(73.0, 41216.0)	(74.0, 33427.0)	(75.0, 25017.5)	(76.0, 18572.5)	(77.0, 14555.5)	(78.0, 11366.5)	(79.0, 8264.5)	(80.0, 5638.5)	(81.0, 3745.5)	(82.0, 2393.0)	(83.0, 1503.5)	(84.0, 945.5)	(85.0, 615.0)	(86.0, 391.0)	(87.0, 236.5)	(88.0, 148.0)	(89.0, 111.0)	(90.0, 78.5)	(91.0, 57.0)	(92.0, 56.5)	(93.0, 46.5)	(94.0, 39.0)	(95.0, 41.0)	(96.0, 39.5)	(97.0, 34.0)	(98.0, 31.0)	(99.0, 31.5)	(100.0, 35.5)
