Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
SRR11647692_1_val_1	(20.0, 30.0)	(21.0, 985.0)	(22.0, 8644.0)	(23.0, 25670.0)	(24.0, 47780.0)	(25.0, 80139.0)	(26.0, 122227.0)	(27.0, 176943.0)	(28.0, 248780.0)	(29.0, 337741.0)	(30.0, 450749.0)	(31.0, 602206.0)	(32.0, 817728.0)	(33.0, 1149121.0)	(34.0, 1703536.0)	(35.0, 2753052.0)	(36.0, 5021553.0)	(37.0, 6969850.0)		
SRR11647692_2_val_2	(19.0, 2.0)	(20.0, 446.0)	(21.0, 13221.0)	(22.0, 88270.0)	(23.0, 222953.0)	(24.0, 325901.0)	(25.0, 399478.0)	(26.0, 471599.0)	(27.0, 545836.0)	(28.0, 630844.0)	(29.0, 737321.0)	(30.0, 873332.0)	(31.0, 1054822.0)	(32.0, 1298941.0)	(33.0, 1633791.0)	(34.0, 2111191.0)	(35.0, 2790698.0)	(36.0, 3778847.0)	(37.0, 3539241.0)	
SRR11647693_1_val_1	(20.0, 16.0)	(21.0, 845.0)	(22.0, 7395.0)	(23.0, 21818.0)	(24.0, 41038.0)	(25.0, 69149.0)	(26.0, 104384.0)	(27.0, 150811.0)	(28.0, 211156.0)	(29.0, 286589.0)	(30.0, 384285.0)	(31.0, 515734.0)	(32.0, 703018.0)	(33.0, 988878.0)	(34.0, 1464400.0)	(35.0, 2343436.0)	(36.0, 4200102.0)	(37.0, 5775273.0)		
SRR11647693_2_val_2	(19.0, 1.0)	(20.0, 324.0)	(21.0, 10345.0)	(22.0, 68478.0)	(23.0, 170866.0)	(24.0, 249208.0)	(25.0, 309832.0)	(26.0, 367908.0)	(27.0, 428415.0)	(28.0, 499395.0)	(29.0, 587119.0)	(30.0, 699453.0)	(31.0, 850983.0)	(32.0, 1057770.0)	(33.0, 1343307.0)	(34.0, 1749882.0)	(35.0, 2345297.0)	(36.0, 3261229.0)	(37.0, 3268515.0)	
SRR11647694_1_val_1	(20.0, 25.0)	(21.0, 730.0)	(22.0, 6721.0)	(23.0, 19800.0)	(24.0, 36924.0)	(25.0, 61797.0)	(26.0, 96478.0)	(27.0, 143642.0)	(28.0, 204907.0)	(29.0, 286741.0)	(30.0, 393647.0)	(31.0, 540116.0)	(32.0, 741595.0)	(33.0, 1045131.0)	(34.0, 1536593.0)	(35.0, 2412416.0)	(36.0, 4232841.0)	(37.0, 5921887.0)		
SRR11647694_2_val_2	(19.0, 1.0)	(20.0, 518.0)	(21.0, 16920.0)	(22.0, 111425.0)	(23.0, 273475.0)	(24.0, 388206.0)	(25.0, 466969.0)	(26.0, 538624.0)	(27.0, 611812.0)	(28.0, 697207.0)	(29.0, 797700.0)	(30.0, 924006.0)	(31.0, 1078209.0)	(32.0, 1271953.0)	(33.0, 1514205.0)	(34.0, 1823743.0)	(35.0, 2218623.0)	(36.0, 2703182.0)	(37.0, 2245213.0)	
SRR11647702_1_val_1	(20.0, 21.0)	(21.0, 826.0)	(22.0, 7012.0)	(23.0, 20849.0)	(24.0, 39815.0)	(25.0, 66543.0)	(26.0, 102098.0)	(27.0, 147516.0)	(28.0, 208801.0)	(29.0, 285373.0)	(30.0, 385600.0)	(31.0, 519899.0)	(32.0, 711549.0)	(33.0, 1004164.0)	(34.0, 1495675.0)	(35.0, 2412990.0)	(36.0, 4390416.0)	(37.0, 6230706.0)		
SRR11647702_2_val_2	(18.0, 1.0)	(19.0, 2.0)	(20.0, 505.0)	(21.0, 14440.0)	(22.0, 86219.0)	(23.0, 206602.0)	(24.0, 296577.0)	(25.0, 361425.0)	(26.0, 423519.0)	(27.0, 488063.0)	(28.0, 563932.0)	(29.0, 659005.0)	(30.0, 779031.0)	(31.0, 939562.0)	(32.0, 1155087.0)	(33.0, 1448764.0)	(34.0, 1859359.0)	(35.0, 2433314.0)	(36.0, 3258762.0)	(37.0, 3055684.0)
SRR11647703_1_val_1	(20.0, 26.0)	(21.0, 961.0)	(22.0, 8278.0)	(23.0, 24640.0)	(24.0, 46523.0)	(25.0, 77867.0)	(26.0, 120324.0)	(27.0, 174364.0)	(28.0, 243807.0)	(29.0, 333383.0)	(30.0, 448823.0)	(31.0, 599788.0)	(32.0, 818918.0)	(33.0, 1149078.0)	(34.0, 1694898.0)	(35.0, 2689375.0)	(36.0, 4715067.0)	(37.0, 6045639.0)		
SRR11647703_2_val_2	(19.0, 3.0)	(20.0, 471.0)	(21.0, 13896.0)	(22.0, 86565.0)	(23.0, 211362.0)	(24.0, 308630.0)	(25.0, 381324.0)	(26.0, 451198.0)	(27.0, 525126.0)	(28.0, 611303.0)	(29.0, 715114.0)	(30.0, 849767.0)	(31.0, 1028784.0)	(32.0, 1267358.0)	(33.0, 1592421.0)	(34.0, 2037077.0)	(35.0, 2645348.0)	(36.0, 3459939.0)	(37.0, 3006073.0)	
