Sample	Unique Reads	Duplicate Reads
SRR11647692_1_val_1	8375294.0	12141440.0
SRR11647692_2_val_2	9036720.0	11480014.0
SRR11647693_1_val_1	7483793.0	9784534.0
SRR11647693_2_val_2	7947209.0	9321118.0
SRR11647694_1_val_1	8631107.0	9050884.0
SRR11647694_2_val_2	9294941.0	8387050.0
SRR11647702_1_val_1	7550516.0	10479337.0
SRR11647702_2_val_2	8106840.0	9923013.0
SRR11647703_1_val_1	8397095.0	10794664.0
SRR11647703_2_val_2	9043130.0	10148629.0
SRR11647704_1_val_1	7360889.0	9707545.0
SRR11647704_2_val_2	7978116.0	9090318.0
