Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11647692_1_val_1	(1.0, 31.71733810060651)	(2.0, 9.68411687140612)	(3.0, 4.649552795382502)	(4.0, 2.8508128027191058)	(5.0, 2.1370646957530792)	(6.0, 1.6353528807173403)	(7.0, 1.3234922496149488)	(8.0, 1.139828457984187)	(9.0, 0.9558913949066865)	('>10', 13.847605841631447)	('>50', 5.386567225009939)	('>100', 12.385140549380598)	('>500', 4.316932144440693)	('>1k', 6.134354703266516)	('>5k', 1.0524922345728858)	('>10k+', 0.7834570526073771)
SRR11647692_2_val_2	(1.0, 35.269779201602404)	(2.0, 9.37369128722869)	(3.0, 4.480534270474053)	(4.0, 2.7869082254362962)	(5.0, 2.0841513607686846)	(6.0, 1.5432696296070423)	(7.0, 1.2620829510392821)	(8.0, 1.013139765499953)	(9.0, 0.9633929576640325)	('>10', 12.919579774848788)	('>50', 5.3051386098521025)	('>100', 11.817394108981079)	('>500', 3.917631416601247)	('>1k', 5.55740865578972)	('>5k', 0.8996909446147601)	('>10k+', 0.8062068399920285)
SRR11647693_1_val_1	(1.0, 33.26806158414852)	(2.0, 10.9079302929637)	(3.0, 5.065828091016608)	(4.0, 3.2433611815751475)	(5.0, 2.334426376661141)	(6.0, 1.7820944916759593)	(7.0, 1.3910650831524076)	(8.0, 1.1996198048812847)	(9.0, 1.0278516808511289)	('>10', 14.322418771065523)	('>50', 5.732430784333745)	('>100', 11.986120018381222)	('>500', 3.5215858748258535)	('>1k', 3.7633289170815023)	('>5k', 0.21719195163963598)	('>10k+', 0.23668509574654395)
SRR11647693_2_val_2	(1.0, 36.219460987142384)	(2.0, 10.685137446657487)	(3.0, 5.111281537473801)	(4.0, 2.970078081998104)	(5.0, 2.1473170293380432)	(6.0, 1.7288737306859456)	(7.0, 1.3260466043600572)	(8.0, 1.1497380786288607)	(9.0, 0.9996544371804297)	('>10', 13.71023757989373)	('>50', 5.472564708554842)	('>100', 11.392633020540636)	('>500', 3.2541662543932204)	('>1k', 3.1056434197656424)	('>5k', 0.11647197326740864)	('>10k+', 0.6106951101192659)
SRR11647694_1_val_1	(1.0, 39.26751726665685)	(2.0, 10.495486767091053)	(3.0, 4.848636116258058)	(4.0, 2.9783917243306095)	(5.0, 2.1565518673968866)	(6.0, 1.6222018992384772)	(7.0, 1.2713288469046637)	(8.0, 1.0682190674556902)	(9.0, 0.9614501966007302)	('>10', 13.100936161947683)	('>50', 5.184473262732574)	('>100', 10.32485384447348)	('>500', 3.0073622814430157)	('>1k', 3.0848358695421867)	('>5k', 0.4295664641350806)	('>10k+', 0.19818836379297314)
SRR11647694_2_val_2	(1.0, 43.58810956797259)	(2.0, 10.041769182058271)	(3.0, 4.396306129403361)	(4.0, 2.7803308615429443)	(5.0, 1.928271627583558)	(6.0, 1.5724696165177194)	(7.0, 1.239531253882803)	(8.0, 1.0369973103337826)	(9.0, 0.9109495693165718)	('>10', 11.977822598970434)	('>50', 4.7277848912155065)	('>100', 9.462996405789236)	('>500', 2.5729626983873466)	('>1k', 2.575343332674227)	('>5k', 0.26064271890971225)	('>10k+', 0.9277122354420514)
SRR11647702_1_val_1	(1.0, 31.3660603715753)	(2.0, 10.911238773776747)	(3.0, 5.508588665787635)	(4.0, 3.5320691396830166)	(5.0, 2.5404951144557373)	(6.0, 2.1200692025985206)	(7.0, 1.6430059231543863)	(8.0, 1.366787787920427)	(9.0, 1.179703497607629)	('>10', 14.894077930541073)	('>50', 5.310008433881364)	('>100', 11.255458029719573)	('>500', 3.6820788780350564)	('>1k', 4.129927722536865)	('>5k', 0.30555920725673386)	('>10k+', 0.2548713214699758)
SRR11647702_2_val_2	(1.0, 34.80969917496797)	(2.0, 10.670933719065868)	(3.0, 5.2950602323634)	(4.0, 3.3359512489142067)	(5.0, 2.4884353241880532)	(6.0, 1.98455351466654)	(7.0, 1.5897611548402752)	(8.0, 1.3676565230369566)	(9.0, 1.1114165761348722)	('>10', 13.892945438537637)	('>50', 5.018495907430022)	('>100', 10.598436228835055)	('>500', 3.4121649580603397)	('>1k', 3.4021796613550004)	('>5k', 0.26779840004681676)	('>10k+', 0.7545119375570728)
SRR11647703_1_val_1	(1.0, 32.48371878964667)	(2.0, 12.315435202396587)	(3.0, 5.911524227927913)	(4.0, 3.614808626253125)	(5.0, 2.570629330685474)	(6.0, 1.8900337322084408)	(7.0, 1.522041518422902)	(8.0, 1.34455580404603)	(9.0, 1.1078322896781938)	('>10', 14.46535023025602)	('>50', 5.131983272061324)	('>100', 10.804779152314099)	('>500', 3.198647408020424)	('>1k', 3.133891029548547)	('>5k', 0.2158592721839398)	('>10k+', 0.2889101143504251)
SRR11647703_2_val_2	(1.0, 36.2419792893499)	(2.0, 12.16686040784345)	(3.0, 5.534437444555136)	(4.0, 3.3921304670115995)	(5.0, 2.3991858741585)	(6.0, 1.776893468771427)	(7.0, 1.4907930515372583)	(8.0, 1.2760365152719746)	(9.0, 1.0970843717196812)	('>10', 13.341010131006287)	('>50', 4.963764682820118)	('>100', 10.031884238998286)	('>500', 2.9083360210322047)	('>1k', 2.6594355630472815)	('>5k', 0.1325420653452691)	('>10k+', 0.5876264075314606)
