Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR11647692_1_val_1	(20, 190.0)	(25, 341.0)	(30, 602.0)	(35, 1198.0)	(40, 2492.0)	(45, 4501.0)	(50, 6767.0)	(55, 9377.0)	(60, 12642.0)	(65, 15791.0)	(70, 18095.0)	(75, 17957.0)	(80, 20428.0)	(85, 22306.0)	(90, 25285.0)	(95, 30676.0)	(100, 38458.0)	(105, 53704.0)	(110, 90363.0)	(115, 249090.0)	(120, 8822458.0)	(125, 11074013.0)
SRR11647692_2_val_2	(20, 71.0)	(25, 104.0)	(30, 274.0)	(35, 688.0)	(40, 1391.0)	(45, 2244.0)	(50, 3554.0)	(55, 5393.0)	(60, 8624.0)	(65, 11845.0)	(70, 15751.0)	(75, 20483.0)	(80, 26703.0)	(85, 33035.0)	(90, 43664.0)	(95, 58568.0)	(100, 81811.0)	(105, 126832.0)	(110, 216223.0)	(115, 497811.0)	(120, 8237006.0)	(125, 11124659.0)
SRR11647693_1_val_1	(20, 102.0)	(25, 139.0)	(30, 274.0)	(35, 765.0)	(40, 1710.0)	(45, 3174.0)	(50, 4927.0)	(55, 7118.0)	(60, 9485.0)	(65, 11997.0)	(70, 13832.0)	(75, 14815.0)	(80, 15886.0)	(85, 18434.0)	(90, 20890.0)	(95, 25116.0)	(100, 31796.0)	(105, 45214.0)	(110, 77016.0)	(115, 203174.0)	(120, 6818594.0)	(125, 9943869.0)
SRR11647693_2_val_2	(20, 98.0)	(25, 130.0)	(30, 214.0)	(35, 569.0)	(40, 1140.0)	(45, 1878.0)	(50, 2884.0)	(55, 4360.0)	(60, 7219.0)	(65, 9523.0)	(70, 12830.0)	(75, 16268.0)	(80, 20822.0)	(85, 26207.0)	(90, 33930.0)	(95, 46408.0)	(100, 64916.0)	(105, 99443.0)	(110, 170185.0)	(115, 396169.0)	(120, 7167516.0)	(125, 9185618.0)
SRR11647694_1_val_1	(20, 90.0)	(25, 135.0)	(30, 283.0)	(35, 889.0)	(40, 1852.0)	(45, 3412.0)	(50, 5019.0)	(55, 7216.0)	(60, 9494.0)	(65, 12600.0)	(70, 14246.0)	(75, 14960.0)	(80, 16944.0)	(85, 19560.0)	(90, 22969.0)	(95, 27582.0)	(100, 34887.0)	(105, 48736.0)	(110, 81844.0)	(115, 212540.0)	(120, 7112459.0)	(125, 10034274.0)
SRR11647694_2_val_2	(20, 97.0)	(25, 110.0)	(30, 250.0)	(35, 680.0)	(40, 1283.0)	(45, 2250.0)	(50, 3512.0)	(55, 5521.0)	(60, 9590.0)	(65, 12673.0)	(70, 17498.0)	(75, 22721.0)	(80, 30161.0)	(85, 37938.0)	(90, 49588.0)	(95, 67308.0)	(100, 94521.0)	(105, 143969.0)	(110, 241309.0)	(115, 530126.0)	(120, 7582869.0)	(125, 8828017.0)
SRR11647702_1_val_1	(20, 1361.0)	(25, 1132.0)	(30, 1010.0)	(35, 1578.0)	(40, 2427.0)	(45, 3714.0)	(50, 6081.0)	(55, 7796.0)	(60, 10238.0)	(65, 12774.0)	(70, 14826.0)	(75, 16422.0)	(80, 18165.0)	(85, 20982.0)	(90, 23868.0)	(95, 26688.0)	(100, 33644.0)	(105, 47353.0)	(110, 79967.0)	(115, 227131.0)	(120, 7389773.0)	(125, 10082923.0)
SRR11647702_2_val_2	(20, 1357.0)	(25, 1151.0)	(30, 983.0)	(35, 1258.0)	(40, 1783.0)	(45, 2519.0)	(50, 4252.0)	(55, 5605.0)	(60, 8499.0)	(65, 11644.0)	(70, 15913.0)	(75, 20428.0)	(80, 26507.0)	(85, 33231.0)	(90, 42801.0)	(95, 56346.0)	(100, 77479.0)	(105, 120317.0)	(110, 204915.0)	(115, 485569.0)	(120, 7827792.0)	(125, 9079504.0)
SRR11647703_1_val_1	(20, 886.0)	(25, 766.0)	(30, 714.0)	(35, 1606.0)	(40, 2642.0)	(45, 4140.0)	(50, 6614.0)	(55, 8886.0)	(60, 11953.0)	(65, 14940.0)	(70, 17524.0)	(75, 18771.0)	(80, 20211.0)	(85, 22311.0)	(90, 25585.0)	(95, 29858.0)	(100, 37301.0)	(105, 53388.0)	(110, 92015.0)	(115, 259603.0)	(120, 7986474.0)	(125, 10575571.0)
SRR11647703_2_val_2	(20, 947.0)	(25, 702.0)	(30, 684.0)	(35, 1188.0)	(40, 1843.0)	(45, 2625.0)	(50, 4295.0)	(55, 6051.0)	(60, 8953.0)	(65, 12101.0)	(70, 16778.0)	(75, 21815.0)	(80, 27830.0)	(85, 34762.0)	(90, 45663.0)	(95, 60670.0)	(100, 84136.0)	(105, 128777.0)	(110, 220719.0)	(115, 521851.0)	(120, 8385547.0)	(125, 9603822.0)
