Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR11647692_1_val_1	59.17823051222362	46.0	123.30355009232952	125	18.181818181818183	20.516734
SRR11647692_2_val_2	55.95439677806044	46.0	123.06696472742689	125	18.181818181818183	20.516734
SRR11647693_1_val_1	56.66174197316194	47.0	123.46426700745243	125	18.181818181818183	17.268327
SRR11647693_2_val_2	53.97811846753096	47.0	123.07776555308456	125	18.181818181818183	17.268327
SRR11647694_1_val_1	51.18702103373949	46.0	123.4180319965099	125	18.181818181818183	17.681991
SRR11647694_2_val_2	47.43272938511174	46.0	122.67489399242427	122	9.090909090909092	17.681991
SRR11647702_1_val_1	58.12214485448435	47.0	123.35644980022855	125	9.090909090909092	18.029853
SRR11647702_2_val_2	55.03657407202885	47.0	122.8170695568067	125	9.090909090909092	18.029853
SRR11647703_1_val_1	56.24635252198979	47.0	123.30065323871564	125	9.090909090909092	19.191758999999998
SRR11647703_2_val_2	52.880140200967205	47.0	122.81183423572587	125	9.090909090909092	19.191758999999998
SRR11647704_1_val_1	56.87425851981528	48.0	123.36722261690791	125	9.090909090909092	17.068434
SRR11647704_2_val_2	53.258071620600134	48.0	122.68693888378981	122	9.090909090909092	17.068434
