#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	2722331	21003757	8.43672	1.34848	34.6	57.8
chr2	1	242193529	2914237	16787706	6.93153	1.48201	34.5	57.9
chr3	1	198295559	1321216	14259657	7.19111	0.82205	34.8	59.3
chr4	1	190214555	1226583	9464188	4.97553	0.796237	35.1	58.6
chr5	1	181538259	1348192	11303130	6.22631	0.916321	34.7	58.5
chr6	1	170805979	1405611	11636561	6.81274	1.01471	34.7	58.4
chr7	1	159345973	1291623	11865671	7.44648	0.997664	34.6	58.3
chr8	1	145138636	924874	8537455	5.88228	0.786106	34.8	59.3
chr9	1	138394717	876718	8785479	6.34813	0.78108	34.6	57.8
chr10	1	133797422	1044745	9867799	7.37518	0.964065	34.8	58.9
chr11	1	135086622	1781179	10048157	7.43831	1.62655	34.6	59.4
chr12	1	133275309	1741137	11102569	8.33055	1.60547	34.7	56.7
chr13	1	114364328	541484	4691246	4.10202	0.585297	35	58.8
chr14	1	107043718	1677424	6971440	6.5127	1.92477	34	49.5
chr15	1	101991189	945595	7496221	7.34987	1.14452	34.8	58.6
chr16	1	90338345	725024	7285511	8.06469	0.986962	34.2	57.2
chr17	1	83257441	1559775	9970053	11.975	2.30264	34.1	58.9
chr18	1	80373285	334571	4089381	5.08799	0.514211	35	59.1
chr19	1	58617616	1352297	7804551	13.3143	2.83278	33.8	59.1
chr20	1	64444167	576447	4870390	7.55753	1.10067	34.4	58.9
chr21	1	46709983	1718340	2560510	5.48172	4.52477	33.8	10.6
chr22	1	50818468	707475	3974495	7.82097	1.70648	33.9	52.7
chrX	1	156040895	797248	6317517	4.04863	0.630225	34.6	57.5
chrY	1	57227415	14420	208943	0.36511	0.030771	33.6	9.08
chrM	1	16569	1944996	16569	100	14458.5	34.5	58.9
GL000008.2	1	209709	29	2523	1.2031	0.017057	35.1	41.7
GL000009.2	1	201709	61	5501	2.7272	0.0371277	34.5	29
GL000194.1	1	191469	787	21400	11.1767	0.50627	34.9	52.5
GL000195.1	1	182896	573	22242	12.161	0.385454	35.1	46.2
GL000205.2	1	185591	318	18020	9.70952	0.210005	34.6	48.8
GL000213.1	1	164239	5	498	0.303217	0.0037689	37.1	1
GL000214.1	1	137718	28	2485	1.80441	0.0250294	35.1	19.9
GL000216.2	1	176608	52	5255	2.97552	0.0364083	34.4	56.6
GL000218.1	1	161147	613	22092	13.7092	0.468243	35	48.3
GL000219.1	1	179198	1629	30880	17.2323	1.12502	35.4	58.7
GL000220.1	1	161802	507151	28405	17.5554	385.082	33.5	2.56
GL000221.1	1	155397	75	5959	3.83469	0.0577167	34.5	37.2
GL000224.1	1	179693	237	8983	4.99908	0.162538	35.4	17.4
GL000225.1	1	211173	17	1502	0.711265	0.00994919	34.4	49.5
KI270330.1	1	1652	4	282	17.0702	0.300847	31	60
KI270438.1	1	112505	9	758	0.673748	0.0095818	33.8	60
KI270442.1	1	392061	10	984	0.250981	0.00301484	30	60
KI270466.1	1	1233	4	265	21.4923	0.402271	36	45
KI270467.1	1	3920	6	450	11.4796	0.18852	36.5	50
KI270519.1	1	138126	2	167	0.120904	0.0018027	30.6	60
KI270706.1	1	175055	113	9268	5.29434	0.0797921	35.3	53.7
KI270707.1	1	32032	11	1026	3.20305	0.0416459	36.2	43.8
KI270708.1	1	127682	1	119	0.0932003	0.000932003	26.7	60
KI270709.1	1	66860	1	125	0.186958	0.00186958	30.9	60
KI270710.1	1	40176	2	224	0.557547	0.00619773	36.7	1
KI270711.1	1	42210	772	12543	29.7157	2.25785	35	32.6
KI270712.1	1	176043	59	3092	1.75639	0.0411774	33.8	18.9
KI270713.1	1	40745	20	1845	4.52816	0.06067	33.9	54.1
KI270714.1	1	41717	8	593	1.42148	0.0234677	33.1	60
KI270717.1	1	40062	22	2003	4.99975	0.0673955	33.5	3.64
KI270718.1	1	38054	79	6290	16.5291	0.255558	35.1	15.1
KI270719.1	1	176845	8	705	0.398654	0.00515706	34.4	0.875
KI270720.1	1	39050	6	439	1.1242	0.0188732	34.7	10.2
KI270721.1	1	100316	2739	5070	5.05403	3.33892	33.2	3.72
KI270722.1	1	194050	4	353	0.181912	0.0024942	32.3	60
KI270723.1	1	38115	2	175	0.459137	0.0065591	36.7	1
KI270725.1	1	172810	18	1579	0.91372	0.0128754	34.1	23.8
KI270726.1	1	43739	131	636	1.45408	0.362468	33.8	56.3
KI270727.1	1	448248	50	4714	1.05165	0.0137803	34.6	16.3
KI270728.1	1	1872759	63	3736	0.199492	0.00410517	34.2	37.5
KI270729.1	1	280839	3	317	0.112876	0.00133172	33.9	20.7
KI270731.1	1	150754	49	2336	1.54954	0.0401117	35.3	8.18
KI270733.1	1	179772	726605	34404	19.1376	497.056	33.5	16.7
KI270734.1	1	165050	57	3091	1.87277	0.0423993	33.4	11.3
KI270738.1	1	99375	5	477	0.48	0.00617862	32.3	60
KI270741.1	1	157432	174	6531	4.14846	0.136973	35.5	7.08
KI270742.1	1	186739	133	9651	5.16818	0.0880962	35.5	40.5
KI270743.1	1	210658	9	789	0.374541	0.00523597	33.3	13.6
KI270744.1	1	168472	95	5846	3.47001	0.0693884	34	42
KI270745.1	1	41891	172	9400	22.4392	0.496049	33.7	19.4
KI270746.1	1	66486	2	197	0.296303	0.00363986	34.2	60
KI270748.1	1	93321	7	647	0.693306	0.00926908	34.9	17.9
KI270749.1	1	158759	2	197	0.124087	0.00155582	37.6	60
KI270751.1	1	150742	29	1899	1.25977	0.0238354	34.1	29.4
KI270755.1	1	36723	4	449	1.22267	0.0135338	34.4	1
KI270757.1	1	71251	1	125	0.175436	0.00175436	37.5	0
GL000208.1	1	92689	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270337.1	1	1121	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270435.1	1	92983	0	0	0	0	0	0
KI270448.1	1	7992	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270538.1	1	91309	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270589.1	1	44474	0	0	0	0	0	0
